APN,YEAR,_merge,CommercialFloorArea_SqFt_x,Residential_Units_x,TouristAccommodation_Units_x,CommercialFloorArea_SqFt_y,Residential_Units_y,TouristAccommodation_Units_y
033-441-023,2022.0,left_only,0.0,0.0,0.0,,,
090-191-047,2022.0,left_only,0.0,2.0,0.0,,,
090-191-048,2022.0,left_only,0.0,2.0,0.0,,,
123-041-25,,right_only,,,,0,1,0
123-041-28,,right_only,,,,0,1,0
123-053-07,,right_only,,,,0,0,0
126-082-68,,right_only,,,,0,0,0
1318-22-002-114,,right_only,,,,0,0,0
1318-22-310-012,,right_only,,,,0,1,0
1318-22-310-013,,right_only,,,,0,1,0
1318-22-710-010,,right_only,,,,0,1,0
033-441-028,,right_only,,,,0,0,0
033-703-020,,right_only,,,,0,0,0
880-045-052,,right_only,,,,0,0,0
880-264-054,,right_only,,,,0,0,0
880-266-001,,right_only,,,,0,0,0
880-274-005,,right_only,,,,0,0,0
880-273-069,,right_only,,,,0,0,0
880-273-061,,right_only,,,,0,0,0
880-355-007,,right_only,,,,0,0,0
880-356-051,,right_only,,,,0,0,0
880-357-085,,right_only,,,,0,0,0
880-357-090,,right_only,,,,0,0,0
880-355-036,,right_only,,,,0,0,0
881-035-012,,right_only,,,,0,0,0
881-035-009,,right_only,,,,0,0,0
881-035-006,,right_only,,,,0,0,0
881-093-019,,right_only,,,,0,0,0
881-278-093,,right_only,,,,0,0,0
880-164-020,,right_only,,,,0,0,0
085-343-026,,right_only,,,,0,0,0
094-440-011,,right_only,,,,0,0,0
094-122-062,,right_only,,,,0,1,0
090-191-050,,right_only,,,,0,2,0
117-190-061,,right_only,,,,0,0,0
117-160-022,,right_only,,,,0,0,0
880-263-092,,right_only,,,,0,0,0
880-273-065,,right_only,,,,0,0,0
880-266-057,,right_only,,,,0,0,0
880-357-006,,right_only,,,,0,0,0
881-035-002,,right_only,,,,0,0,0
126-080-28,,right_only,,,,0,0,0
1318-22-310-014,,right_only,,,,0,0,0
033-841-058,,right_only,,,,0,0,0
880-096-030,,right_only,,,,0,0,0
880-273-045,,right_only,,,,0,0,0
880-350-088,,right_only,,,,0,0,0
880-355-067,,right_only,,,,0,0,0
881-035-008,,right_only,,,,0,0,0
881-091-031,,right_only,,,,0,0,0
033-703-019,,right_only,,,,0,0,0
098-167-019,,right_only,,,,0,0,0
090-191-052,,right_only,,,,0,0,0
090-173-016,,right_only,,,,0,1,0
123-041-24,,right_only,,,,0,0,0
123-041-27,,right_only,,,,0,0,0
123-071-38,,right_only,,,,0,0,0
132-240-22,,right_only,,,,0,0,0
880-273-062,,right_only,,,,0,0,0
881-035-001,,right_only,,,,0,0,0
881-035-004,,right_only,,,,0,0,0
881-035-005,,right_only,,,,0,0,0
880-273-058,,right_only,,,,0,0,0
094-070-016,,right_only,,,,0,0,0
1318-22-002-113,,right_only,,,,0,0,0
880-035-039,,right_only,,,,0,0,0
880-263-052,,right_only,,,,0,0,0
880-265-001,,right_only,,,,0,0,0
880-356-060,,right_only,,,,0,0,0
880-354-038,,right_only,,,,0,0,0
880-149-077,,right_only,,,,0,0,0
098-167-020,,right_only,,,,0,0,0
090-191-049,,right_only,,,,0,2,0
117-160-023,,right_only,,,,0,0,0
123-041-26,,right_only,,,,0,1,0
123-041-29,,right_only,,,,0,0,0
1319-19-411-030,,right_only,,,,0,2,0
1318-22-710-009,,right_only,,,,0,1,0
033-841-057,,right_only,,,,0,0,0
033-441-029,,right_only,,,,0,0,0
880-356-079,,right_only,,,,0,0,0
880-273-070,,right_only,,,,0,0,0
880-353-081,,right_only,,,,0,0,0
881-035-011,,right_only,,,,0,0,0
881-035-007,,right_only,,,,0,0,0
881-091-030,,right_only,,,,0,0,0
090-074-028,,right_only,,,,0,1,0
090-191-051,,right_only,,,,0,0,0
