APN,YEAR,_merge
007-011-06,2021,left_only
007-011-09,2021,left_only
007-021-05,2021,left_only
007-031-17,2021,left_only
010-180-004,2021,left_only
010-190-001,2021,left_only
010-210-004,2021,left_only
010-230-001,2021,left_only
010-230-002,2021,left_only
010-250-001,2021,left_only
010-250-006,2021,left_only
013-020-006,2021,left_only
013-040-002,2021,left_only
014-021-011,2021,left_only
014-021-012,2021,left_only
014-050-002,2021,left_only
014-080-001,2021,left_only
014-080-002,2021,left_only
014-080-004,2021,left_only
014-091-010,2021,left_only
014-091-011,2021,left_only
014-231-010,2021,left_only
014-232-007,2021,left_only
014-233-008,2021,left_only
014-233-012,2021,left_only
014-233-015,2021,left_only
014-234-011,2021,left_only
014-236-011,2021,left_only
014-238-006,2021,left_only
014-243-010,2021,left_only
014-244-012,2021,left_only
014-248-018,2021,left_only
014-262-007,2021,left_only
014-273-005,2021,left_only
014-274-004,2021,left_only
014-282-004,2021,left_only
014-282-007,2021,left_only
014-283-005,2021,left_only
014-283-008,2021,left_only
014-291-008,2021,left_only
014-291-012,2021,left_only
014-292-005,2021,left_only
014-292-008,2021,left_only
014-292-014,2021,left_only
014-292-015,2021,left_only
014-302-014,2021,left_only
014-321-001,2021,left_only
014-322-004,2021,left_only
014-331-003,2021,left_only
014-331-005,2021,left_only
014-332-007,2021,left_only
014-351-002,2021,left_only
014-352-002,2021,left_only
015-032-018,2021,left_only
015-033-023,2021,left_only
015-034-017,2021,left_only
015-034-019,2021,left_only
015-061-008,2021,left_only
015-062-010,2021,left_only
015-062-012,2021,left_only
015-062-013,2021,left_only
015-063-004,2021,left_only
015-064-024,2021,left_only
015-101-004,2021,left_only
015-101-022,2021,left_only
015-102-011,2021,left_only
015-102-013,2021,left_only
015-102-027,2021,left_only
015-103-010,2021,left_only
015-103-030,2021,left_only
015-104-013,2021,left_only
015-114-002,2021,left_only
015-151-008,2021,left_only
015-151-014,2021,left_only
015-151-015,2021,left_only
015-151-017,2021,left_only
015-152-012,2021,left_only
015-152-013,2021,left_only
015-152-019,2021,left_only
015-153-001,2021,left_only
015-153-008,2021,left_only
015-153-012,2021,left_only
015-161-003,2021,left_only
015-161-013,2021,left_only
015-161-018,2021,left_only
015-162-011,2021,left_only
015-163-003,2021,left_only
015-164-010,2021,left_only
015-164-014,2021,left_only
015-201-022,2021,left_only
015-202-001,2021,left_only
015-202-013,2021,left_only
015-203-012,2021,left_only
015-204-015,2021,left_only
015-204-023,2021,left_only
015-211-009,2021,left_only
015-211-013,2021,left_only
015-211-017,2021,left_only
015-212-001,2021,left_only
015-212-025,2021,left_only
015-213-022,2021,left_only
015-214-004,2021,left_only
015-214-006,2021,left_only
015-215-008,2021,left_only
015-251-006,2021,left_only
015-251-021,2021,left_only
015-251-026,2021,left_only
015-252-013,2021,left_only
015-252-014,2021,left_only
015-252-016,2021,left_only
015-253-012,2021,left_only
015-253-024,2021,left_only
015-254-011,2021,left_only
015-254-015,2021,left_only
015-254-017,2021,left_only
015-262-003,2021,left_only
015-263-015,2021,left_only
015-263-017,2021,left_only
015-263-018,2021,left_only
015-301-001,2021,left_only
015-302-015,2021,left_only
015-302-021,2021,left_only
015-302-024,2021,left_only
015-302-027,2021,left_only
015-304-001,2021,left_only
015-311-004,2021,left_only
015-312-002,2021,left_only
015-313-021,2021,left_only
015-313-041,2021,left_only
015-314-017,2021,left_only
015-314-018,2021,left_only
015-315-013,2021,left_only
015-322-017,2021,left_only
015-322-026,2021,left_only
015-323-022,2021,left_only
015-323-032,2021,left_only
015-324-010,2021,left_only
015-324-021,2021,left_only
015-331-012,2021,left_only
015-340-006,2021,left_only
015-351-006,2021,left_only
015-351-015,2021,left_only
015-351-028,2021,left_only
015-381-007,2021,left_only
015-381-020,2021,left_only
015-381-021,2021,left_only
015-391-010,2021,left_only
015-391-014,2021,left_only
015-391-019,2021,left_only
015-420-009,2021,left_only
016-051-049,2021,left_only
016-061-006,2021,left_only
016-081-030,2021,left_only
016-151-007,2021,left_only
016-151-033,2021,left_only
016-161-018,2021,left_only
016-161-030,2021,left_only
016-181-019,2021,left_only
016-181-020,2021,left_only
016-191-022,2021,left_only
016-202-022,2021,left_only
016-232-008,2021,left_only
016-251-004,2021,left_only
016-284-002,2021,left_only
016-284-004,2021,left_only
016-292-031,2021,left_only
016-312-001,2021,left_only
016-323-002,2021,left_only
016-371-009,2021,left_only
016-373-004,2021,left_only
016-381-003,2021,left_only
016-381-012,2021,left_only
016-382-004,2021,left_only
016-422-005,2021,left_only
016-434-008,2021,left_only
016-443-002,2021,left_only
016-443-007,2021,left_only
016-451-007,2021,left_only
016-461-012,2021,left_only
016-513-001,2021,left_only
016-522-017,2021,left_only
016-532-004,2021,left_only
018-191-017,2021,left_only
018-191-020,2021,left_only
018-282-002,2021,left_only
018-291-018,2021,left_only
018-292-004,2021,left_only
018-292-007,2021,left_only
018-320-018,2021,left_only
021-031-011,2021,left_only
021-210-005,2021,left_only
021-251-017,2021,left_only
021-251-020,2021,left_only
021-301-006,2021,left_only
021-301-023,2021,left_only
021-321-012,2021,left_only
021-321-026,2021,left_only
021-420-001,2021,left_only
021-420-016,2021,left_only
021-420-030,2021,left_only
022-031-005,2021,left_only
022-031-006,2021,left_only
022-031-008,2021,left_only
022-031-014,2021,left_only
022-032-003,2021,left_only
