Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
PCCA-ALLOC-2385,Receiving,092-200-023,Active,,
PCCA-ALLOC-2384,Receiving,090-272-017,Active,,
PCCA-ALLOC-2383,Receiving,083-350-036,Active,,
PCCA-ALLOC-2382,Receiving,092-010-051,Active,,
PCCA-ALLOC-2381,Receiving,098-252-001,Active,,
PCCA-ALLOC-2380,Receiving,112-280-009,Active,,
PCCA-ALLOC-2379,Receiving,111-150-009,Active,,
PCCA-ALLOC-2378,Receiving,094-175-007,Active,,
PCCA-ALLOC-2377,Receiving,094-102-010,Active,,
TRPA-ALLOC-2372,Receiving,092-170-033,Active,,
DCNV-ALLOC-2371,Receiving,1318-15-611-059,Active,,
DCNV-ALLOC-2370,Receiving,1418-34-110-047,Active,,
CSLT-ALLOC-2369,Receiving,031-256-002,Active,,
CSLT-ALLOC-2368,Receiving,032-313-035,Active,,
CSLT-ALLOC-2367,Receiving,022-192-013,Active,,
CSLT-ALLOC-2366,Receiving,031-215-002,Active,,
CSLT-ALLOC-2364,Receiving,025-282-018,Active,,
CSLT-ALLOC-2363,Receiving,023-633-008,Active,,
CSLT-ALLOC-2362,Receiving,023-162-002,Active,,
TRPA-ALLOC-2357,Receiving,090-115-037,Active,,
TRPA-ALLOC-2356,Receiving,132-231-09,Active,,
EDCCA-ALLOC-2355,Receiving,033-441-003,Active,,
EDCCA-ALLOC-2354,Receiving,015-313-017,Active,,
EDCCA-ALLOC-2353,Receiving,036-423-001,Active,,
TRPA-ALLOC-2348,Receiving,098-191-018,Active,,
TRPA-ALLOC-2347,Receiving,094-122-023,Active,,
TRPA-ALLOC-2346,Receiving,093-130-026,Active,,
TRPA-ALLOC-2345,Receiving,026-152-002,Active,,
TRPA-ALLOC-2344,Receiving,090-142-001,Active,,
TRPA-ALLOC-2329,Receiving,023-151-030,Active,,
TRPA-ALLOC-2328,Receiving,094-052-011,Active,,
TRPA-ALLOC-2326,Receiving,093-160-079,Active,,
EDCCA-ALLOC-2325,Receiving,034-382-005,Active,,
EDCCA-ALLOC-2324,Receiving,080-114-010,Active,,
EDCCA-ALLOC-2317,Receiving,080-176-001,Active,,
EDCCA-ALLOC-2316,Receiving,014-242-008,Active,,
EDCCA-ALLOC-2315,Receiving,016-483-005,Active,,
EDCCA-ALLOC-2312,Receiving,016-382-016,Active,,
