APN,Name,Year_Closed,Old_Units,Reason,
1318-22-002-011,Lakeside Inn,2020,124,Closure,
123-052-04,Biltmore,2020,94,Closure,
029-161-005,Fair Bridge Inn,2022,21,Closure,
025-580-007,Hansens Resort,2022,8,Closure,
023-211-041,Matterhorn,2022,18,Closure,
032-221-003,Ridgewood Inn,2022,12,Closure,
098-200-024,Edwards Tahoe Lodge,2022,9,Closure,
117-110-018,Parking Lot,2022,7,Data Error,
031-072-001,Surga Pine Inn/Lake Tahoe Lodging Company ,2022,8,Unclear,
090-142-007,Laundrette in old hotel? Units in back?,2022,6,Unclear,
029-052-009,Stateline Lodge conversion to Residential,2012,30,Conversion,
,,,,,
