File_Number,APN,Deed_Restriction_Type,Units,Date_Type,LTinfo_Transaction_ID,LTInfo_Deed_Restriction,DR_Desc,Center,Notes,Issued Date,Acknowledged Date,Pre-Grade Date,Finaled Date
ERSP2022-1998,023-151-030,Achievable,1,"Permitted, Not Constructed",TRPA-ALLOC-2329,,,Non-Center,,2023-10-09,,,
20021919STD,023-162-017,Affordable,18,Constructed,,DOC-2005-0023565-00,The eighteen (18) residential units on this property are deed restricted as affordable housing.,OLD,Sky Forest Apartments ,2003-04-23,2005-04-14,2005-04-14,2005-04-14
ERSP2020-2084,023-231-003,Achievable,70,"Reserved, Application in review",TRPA-ALLOC-1333,,,Center,"Crossings at the ""Y"" South Lake Tahoe",,,,
19980083STD,023-393-031,Affordable,45,Constructed,,98-0009502-00,45 units on property must be occupied by persons of very low incomes who are 62 years in age or older.,OLD,Tahoe Senior Plaza,1998-04-27,1998-06-08,1998-06-11,1999-10-15
CORR2012-0143,023-632-005,Affordable,1,Constructed,,DOC-2011-0058156-00,City of South Lake Tahoe deed restriction restricting one of the residential units on the property as affordable housing as it received a bonus unit. The unit must be rented to lower income persons.,OLD,800 Taylor Way,2012-02-15,2012-03-22,2012-03-22,2012-03-22
ERSP2022-2018,023-655-012,Achievable,1,"Permitted, Not Constructed",TRPA-ALLOC-2119,2023-0008087,The accessory dwelling unit (ADU) on APN 023-655-012 is permanently restricted to Achievable Area Median Income housing and shall not be used as a vacation rental.  See recorded deed restriction for formula for calculating El Dorado County's achievable area median income percentage.,Non-Center,,2023-04-19,,,
ERSP2022-1992,025-041-023,Affordable,19,"Permitted, Not Constructed",TRPA-ALLOC-1871,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,LTCC Dorms,2023-03-22,2023-05-17,2023-05-18,
,025-041-023,Affordable,21,"Reserved, Application not submitted",TRPA-ALLOC-1872,,,Non-Center,"LTCC Dorms, Phase 2",,,,
ERSP2022-1992,025-041-023,Affordable,1,"Permitted, Not Constructed",TRPA-ALLOC-2274,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,,2023-03-22,2023-05-17,2023-05-18,
19911592STD ,025-241-012,Affordable,28,Constructed,,Doc# 014391,Deed restriction documenting a 28 unit affordable housing complex on the property.  11 units are designated as HOME-assisted units.,OLD,Tahoe Pines Apartments,1994-05-04,1994-05-12,1994-05-12,2012-08-16
CORR2010-0553,025-393-025,Affordable,1,Constructed,,DOC-2009-0047796-00,City of South Lake Tahoe deed restriction. One of the two units on this parcel is deed restricted affordable housing and must be rented to lower income persons.,OLD,226 Becka Drive.,2010-08-26,2010-09-30,2010-09-30,2010-09-30
20061455STD  ,025-510-002,Affordable,32,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04
20061455STD  ,025-510-002,Moderate,1,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04
21030151,026-082-013,Moderate,1,Constructed,TRPA-ALLOC-1259,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-16
21030150,026-082-014,Moderate,1,Constructed,TRPA-ALLOC-1260,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-02
21040011,026-082-015,Moderate,1,Constructed,TRPA-ALLOC-1261,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-02
