CSV_APN,FC_APN,Year,match,APN_changed
015-264-17,015-264-25,2012,within,True
015-304-31,015-304-33,2012,within,True
016-091-42,016-091-50,2012,within,True
016-300-57,016-300-59,2012,within,True
027-313-16,027-313-02,2012,within,True
027-621-15,027-631-12,2012,within,True
029-381-50,029-620-16,2012,within,True
033-255-06,033-245-11,2012,within,True
033-255-08,033-246-08,2012,within,True
035-296-14,035-301-01,2012,closest_15.2m,True
036-350-08,036-530-28,2012,within,True
036-543-11,036-472-09,2012,within,True
092-190-053,092-190-065,2012,within,True
097-122-002,097-122-028,2012,within,True
097-122-015,097-122-028,2012,within,True
097-130-029,097-130-042,2012,within,True
112-180-009,112-180-077,2012,within,True
112-190-040,112-190-063,2012,within,True
117-020-009,117-020-025,2012,within,True
117-071-025,117-071-044,2012,within,True
117-110-072,117-110-008,2012,within,True
122-181-37,122-251-19,2012,within,True
123-021-04,123-201-02,2012,within,True
123-032-01,123-032-20,2012,within,True
123-032-29,123-032-11,2012,within,True
126-080-25,126-080-26,2012,within,True
130-312-30,130-312-27,2012,within,True
1319-30-514-002,1319-30-514-000,2012,within,True
1319-30-514-003,1319-30-514-000,2012,within,True
1319-30-514-004,1319-30-514-000,2012,within,True
1319-30-514-005,1319-30-514-000,2012,within,True
1319-30-514-007,1319-30-514-000,2012,within,True
1319-30-514-008,1319-30-510-001,2012,within,True
1319-30-514-009,1319-30-514-000,2012,within,True
1319-30-514-011,1319-30-514-000,2012,within,True
1319-30-514-012,1319-30-514-000,2012,within,True
1319-30-514-014,1319-30-514-000,2012,within,True
1319-30-514-015,1319-30-514-000,2012,within,True
1319-30-514-017,1319-30-514-000,2012,within,True
1319-30-514-018,1319-30-514-000,2012,within,True
1319-30-514-019,1319-30-514-000,2012,within,True
1319-30-514-020,1319-30-514-000,2012,within,True
1319-30-514-021,1319-30-514-000,2012,within,True
1319-30-514-022,1319-30-514-000,2012,within,True
1319-30-514-024,1319-30-510-001,2012,within,True
1319-30-515-001,1319-30-515-000,2012,within,True
1319-30-515-002,1319-30-515-000,2012,within,True
1319-30-515-003,1319-30-515-000,2012,within,True
1319-30-515-004,1319-30-515-000,2012,within,True
1319-30-519-004,1319-30-519-003,2012,within,True
1319-30-519-005,1319-30-519-001,2012,within,True
1319-30-519-007,1319-30-519-012,2012,within,True
1319-30-519-013,1319-30-519-012,2012,within,True
1319-30-520-001,1319-30-520-000,2012,within,True
1319-30-520-002,1319-30-520-024,2012,within,True
1319-30-520-006,1319-30-520-027,2012,within,True
1319-30-520-007,1319-30-520-011,2012,within,True
1319-30-520-008,1319-30-520-031,2012,within,True
1319-30-520-009,1319-30-520-032,2012,within,True
1319-30-520-010,1319-30-520-011,2012,within,True
1319-30-520-013,1319-30-520-024,2012,within,True
1319-30-520-014,1319-30-520-003,2012,within,True
1319-30-520-015,1319-30-520-000,2012,within,True
1319-30-520-019,1319-30-520-031,2012,within,True
1319-30-520-020,1319-30-520-032,2012,within,True
1319-30-520-021,1319-30-520-011,2012,within,True
1319-30-520-023,1319-30-520-000,2012,within,True
1319-30-520-025,1319-30-520-003,2012,within,True
1319-30-520-026,1319-30-520-000,2012,within,True
