OID,APN,Year,Residential_Units_CSV,Residential_Units_FC
1155002,014-284-05,2017,1,0.0
1155757,014-302-15,2017,1,0.0
1116961,015-062-21,2016,1,0.0
1155111,015-062-21,2017,1,0.0
1157373,016-131-07,2017,1,0.0
1164011,022-051-86,2017,1,0.0
1102271,022-061-10,2016,1,0.0
1163976,022-061-10,2017,1,0.0
1164308,022-171-33,2017,1,0.0
1164884,022-221-16,2017,1,0.0
1107377,022-342-12,2016,1,0.0
1165306,022-342-12,2017,1,0.0
1109946,023-102-41,2016,1,0.0
1166756,023-102-41,2017,1,0.0
1170255,023-182-06,2017,2,0.0
1116471,023-451-02,2016,1,0.0
1169516,023-451-02,2017,1,0.0
1120238,023-471-14,2016,1,0.0
1170424,023-471-14,2017,1,0.0
1109447,023-551-16,2016,1,0.0
1166360,023-551-16,2017,1,0.0
1110170,023-553-01,2016,1,0.0
1167086,023-553-01,2017,1,0.0
1116014,023-571-12,2016,1,0.0
1169164,023-571-12,2017,1,0.0
1120471,023-602-02,2016,1,0.0
1170622,023-602-02,2017,1,0.0
1167453,023-644-13,2017,1,0.0
1167866,023-653-24,2017,1,0.0
1115661,023-681-06,2016,1,0.0
1168915,023-681-06,2017,1,0.0
1115547,023-682-04,2016,1,0.0
1168809,023-682-04,2017,1,0.0
1170430,023-693-03,2017,1,0.0
1170584,023-694-05,2017,1,0.0
1170887,023-696-08,2017,1,0.0
1109548,023-755-10,2016,1,0.0
1166725,023-755-10,2017,1,0.0
1115789,023-772-08,2016,1,0.0
1168977,023-772-08,2017,1,0.0
1166989,023-892-02,2017,1,0.0
1109647,023-892-09,2016,1,0.0
1166722,023-892-09,2017,1,0.0
1167970,023-902-13,2017,1,0.0
1101393,025-223-04,2016,1,0.0
1163129,025-223-04,2017,1,0.0
1161553,025-261-13,2017,1,0.0
1162552,025-377-09,2017,1,0.0
1164781,025-542-08,2017,1,0.0
1124969,025-592-12,2016,1,0.0
1171319,025-592-12,2017,1,0.0
1124748,025-644-01,2016,1,0.0
1171087,025-644-01,2017,1,0.0
1101471,025-681-14,2016,1,0.0
1163224,025-681-14,2017,1,0.0
1132928,025-742-17,2016,1,0.0
1172973,025-742-17,2017,1,0.0
1160956,026-061-14,2017,1,0.0
1183599,026-061-30,2017,1,0.0
1161011,026-064-18,2017,1,0.0
1161984,026-115-05,2017,1,0.0
1163854,026-221-13,2017,1,0.0
1147092,027-101-13,2016,1,0.0
1159228,027-101-13,2017,1,0.0
1132457,027-364-15,2016,1,0.0
1160009,027-364-15,2017,1,0.0
1135078,028-123-07,2016,1,0.0
1160657,028-123-07,2017,1,0.0
1094463,028-190-31,2016,1,0.0
1161569,028-190-31,2017,1,0.0
1158351,029-421-02,2017,1,0.0
1157557,029-605-01,2017,1,0.0
1098623,030-352-09,2016,1,0.0
1162253,030-352-09,2017,1,0.0
1162363,030-352-23,2017,1,0.0
1169782,031-045-08,2017,1,0.0
1109938,031-163-17,2016,1,0.0
1166952,031-163-17,2017,1,0.0
1167293,031-204-02,2017,1,0.0
1168569,031-222-11,2017,1,0.0
1107749,031-322-11,2016,1,0.0
1165804,031-322-11,2017,1,0.0
1107121,031-334-03,2016,1,0.0
1165182,031-334-03,2017,1,0.0
1125225,032-242-06,2016,1,0.0
1171552,032-242-06,2017,1,0.0
1171516,032-274-07,2017,1,0.0
1183485,032-322-14,2017,1,0.0
1097833,033-291-18,2016,1,0.0
1176104,033-291-18,2017,1,0.0
1102494,033-423-02,2016,1,0.0
1177762,033-423-02,2017,1,0.0
1175112,033-523-21,2017,1,0.0
1146950,033-574-01,2016,1,0.0
1174078,033-574-01,2017,1,0.0
1183501,033-574-07,2017,1,0.0
1147369,033-631-28,2016,1,0.0
1183079,033-631-28,2017,1,0.0
1096348,033-644-08,2016,1,0.0
1175304,033-644-08,2017,2,0.0
1177932,033-836-01,2017,1,0.0
1173676,033-854-06,2017,1,0.0
1174085,033-864-07,2017,1,0.0
1135765,033-882-07,2016,1,0.0
1174304,033-882-07,2017,1,0.0
1106604,034-095-04,2016,1,0.0
1179282,034-095-04,2017,1,0.0
1106785,034-098-03,2016,1,0.0
1179480,034-098-03,2017,1,0.0
1180396,034-161-37,2017,1,0.0
1108738,034-161-41,2016,1,0.0
1180368,034-161-41,2017,1,0.0
1178653,034-254-14,2017,1,0.0
1179754,034-453-06,2017,1,0.0
1179201,034-512-11,2017,1,0.0
1182499,034-701-05,2017,1,0.0
1102594,034-713-19,2016,1,0.0
1177885,034-713-19,2017,1,0.0
1103116,034-722-39,2016,1,0.0
1178384,034-722-39,2017,1,0.0
1178147,034-723-01,2017,1,0.0
1178559,034-727-12,2017,1,0.0
1180832,035-144-04,2017,1,0.0
1180770,035-211-10,2017,1,0.0
1111383,035-241-03,2016,1,0.0
1181086,035-241-03,2017,1,0.0
1111759,035-271-19,2016,1,0.0
1181459,035-271-19,2017,1,0.0
1181387,035-272-09,2017,1,0.0
1181266,035-292-02,2017,1,0.0
1146860,036-421-12,2016,1,0.0
1181911,036-421-12,2017,1,0.0
1182199,036-547-01,2017,1,0.0
1171626,080-114-08,2017,1,0.0
1129613,080-155-11,2016,1,0.0
1172535,080-155-11,2017,1,0.0
