APN,COUNTY,JURISDICTION,PARCEL_ACRES,COMBINED_YEAR_BUILT,combined_source,match_method,in_residential_subdiv,tier,OriginalYrBuilt,CountyYearBuilt,OriginalYrBuilt_source_APN
029-381-019,EL,CSLT,0.1092048125011755,2025,county,unmatched,True,1,,2025.0,
031-155-001,EL,CSLT,0.1147551693878275,2025,county,unmatched,True,1,,2025.0,
031-166-015,EL,CSLT,0.1151497793563989,2025,county,unmatched,True,1,,2025.0,
029-381-020,EL,CSLT,0.1196038768796394,2025,county,unmatched,True,1,,2025.0,
124-921-17,WA,WA,0.2136200573823528,2025,county,unmatched,True,1,,2025.0,
027-241-030,EL,CSLT,0.5608315015833153,2025,county,unmatched,True,1,,2025.0,
1418-27-210-037,DG,DG,0.7568326730367273,2025,county,unmatched,True,1,,2025.0,
122-181-78,WA,WA,0.8733736899083712,2025,county,unmatched,True,1,,2025.0,
125-541-13,WA,WA,0.1847732170015062,2024,county,unmatched,True,1,,2024.0,
125-511-05,WA,WA,0.745904576891128,2024,county,unmatched,True,1,,2024.0,
1318-22-313-000,DG,DG,0.0706666188656108,2023,county,unmatched,True,1,,2023.0,
1318-22-711-000,DG,DG,0.0706975756308999,2023,county,unmatched,True,1,,2023.0,
1318-22-317-000,DG,DG,0.0707435012230173,2023,county,unmatched,True,1,,2023.0,
090-092-055,PL,PL,0.1378834678965778,2023,county,unmatched,True,1,,2023.0,
112-300-007,PL,PL,0.3946922955767171,2023,county,unmatched,True,1,,2023.0,
122-201-21,WA,WA,0.4592547322586331,2023,county,unmatched,True,1,,2023.0,
1318-22-315-000,DG,DG,0.0674902594175938,2022,county,unmatched,True,1,,2022.0,
1318-22-316-000,DG,DG,0.0703343420101585,2022,county,unmatched,True,1,,2022.0,
1318-22-314-000,DG,DG,0.0709708319780345,2022,county,unmatched,True,1,,2022.0,
117-150-047,PL,PL,0.0238580326122654,2021,county,unmatched,True,1,,2021.0,
111-270-017,PL,PL,0.2317308602327388,2021,county,unmatched,True,1,,2021.0,
026-310-001,EL,CSLT,0.0725656373635435,2020,county,unmatched,True,1,,2020.0,
026-310-002,EL,CSLT,0.0725661007655712,2020,county,unmatched,True,1,,2020.0,
1418-15-110-017,DG,DG,0.0570426332879721,2019,county,unmatched,True,1,,2019.0,
1319-30-310-023,DG,DG,0.116609392260218,2019,county,unmatched,True,1,,2019.0,
1318-22-301-001,DG,DG,2.740668603595652,2019,county,unmatched,True,1,,2019.0,
015-104-021,EL,EL,0.1434190044113393,2017,county,unmatched,True,1,,2017.0,
084-110-021,PL,PL,1.0624702366768617,2017,county,unmatched,True,1,,2017.0,
084-172-006,PL,PL,1.4720496784197663,2017,county,unmatched,True,1,,2017.0,
132-600-03,WA,WA,0.0316245222107312,2016,county,unmatched,True,1,,2016.0,
132-600-02,WA,WA,0.0316313823947114,2016,county,unmatched,True,1,,2016.0,
092-084-007,PL,PL,0.0657665693913166,2016,county,unmatched,True,1,,2016.0,
1418-03-301-008,DG,DG,0.5617398089794722,2016,county,unmatched,True,1,,2016.0,
130-302-16,WA,WA,1.161105370238318,2016,county,unmatched,True,1,,2016.0,
033-661-025,EL,EL,0.1937720672058007,2015,county,unmatched,True,1,,2015.0,
1318-10-310-052,DG,DG,0.2263518285298303,2015,county,unmatched,True,1,,2015.0,
1318-26-101-091,DG,DG,0.2842028775021003,2015,county,unmatched,True,1,,2015.0,
085-072-017,PL,PL,0.2010544511293776,2023,original,genealogy_new_from_old,True,2,2023.0,,085-072-018
098-360-006,PL,PL,0.0661397357721863,2021,original,direct,True,2,2021.0,2021.0,098-360-006
1418-10-610-003,DG,DG,0.3276601782427599,2021,original,direct,True,2,2021.0,2021.0,1418-10-610-003
090-152-060,PL,PL,0.1321343673894259,2019,original,direct,True,2,2019.0,2019.0,090-152-060
026-139-045,EL,CSLT,0.1581765818809655,2019,original,direct,True,2,2019.0,2019.0,026-139-45
027-690-019,EL,CSLT,1.1095961995155164,2018,original,direct,True,2,2018.0,2018.0,027-690-19
094-520-016,PL,PL,0.0275701317902242,2017,original,direct,True,2,2017.0,2017.0,094-520-016
1418-15-110-021,DG,DG,0.0575427304590054,2017,original,direct,True,2,2017.0,2017.0,1418-15-110-021
032-323-014,EL,EL,0.2646017188457421,2015,original,direct,True,2,2015.0,,032-323-014
029-620-009,EL,CSLT,0.0220627437141731,2014,original,direct,True,2,2014.0,2014.0,029-620-009
