APN,YEAR,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,COUNTY,JURISDICTION,PARCEL_ACRES,APN_canon,OriginalYrBuilt,OriginalYrBuilt_source_APN,match_method,CountyYearBuilt,COMBINED_YEAR_BUILT,combined_source
048-042-02,2025,0,0,0.0,WA,WA,828.6359584440098,048-042-002,1990.0,048-042-02,direct,,1990.0,original
048-140-04,2025,0,0,0.0,WA,WA,645.6975690538051,048-140-004,1953.0,048-041-15,genealogy_old_from_new,,1953.0,original
122-162-19,2025,0,0,0.0,WA,WA,0.5022794864985693,122-162-019,1965.0,122-162-19,direct,,1965.0,original
122-162-23,2025,0,0,0.0,WA,WA,12.018661288415034,122-162-023,1965.0,122-162-23,direct,1968.0,1965.0,original
122-193-31,2025,0,0,0.0,WA,WA,1.5521337126315615,122-193-031,1981.0,122-193-31,direct,,1981.0,original
122-201-21,2025,0,0,0.0,WA,WA,0.4592547322586331,122-201-021,,,unmatched,2023.0,2023.0,county
122-202-19,2025,0,0,0.0,WA,WA,0.4133818338419691,122-202-019,1972.0,122-202-19,direct,,1972.0,original
122-251-17,2025,0,0,0.0,WA,WA,0.8459988758488727,122-251-017,1970.0,122-251-17,direct,,1970.0,original
122-591-01,2025,0,0,0.0,WA,WA,0.6110405027035817,122-591-001,1980.0,122-128-16,genealogy_new_from_old,,1980.0,original
123-044-06,2025,0,0,0.0,WA,WA,0.5413129755708979,123-044-006,1980.0,123-044-06,direct,,1980.0,original
123-044-08,2025,0,0,0.0,WA,WA,0.688901897787015,123-044-008,1996.0,123-044-08,direct,1996.0,1996.0,original
123-051-03,2025,0,0,0.0,WA,WA,0.2747491427100541,123-051-003,1961.0,123-051-03,direct,1961.0,1961.0,original
123-052-02,2025,0,0,0.0,WA,WA,0.2726008126693085,123-052-002,1993.0,123-052-02,direct,1993.0,1993.0,original
123-052-03,2025,0,0,0.0,WA,WA,0.280328244607444,123-052-003,1967.0,123-052-03,direct,,1967.0,original
123-053-03,2025,0,0,0.0,WA,WA,0.1717123388985107,123-053-003,1980.0,123-053-03,direct,,1980.0,original
123-165-07,2025,0,0,0.0,WA,WA,0.0195408125986399,123-165-007,1972.0,123-165-07,direct,,1972.0,original
123-201-02,2025,0,0,0.0,WA,WA,1.759266659127191,123-201-002,1928.0,123-201-02,direct,,1928.0,original
123-260-00,2025,0,0,0.0,WA,WA,0.4219530022005596,123-260-000,1970.0,123-260-00,direct,1970.0,1970.0,original
123-270-00,2025,0,0,0.0,WA,WA,23.78887817590715,123-270-000,1980.0,123-270-00,direct,1980.0,1980.0,original
123-274-06,2025,0,0,0.0,WA,WA,0.0248546111446956,123-274-006,1980.0,123-274-06,direct,1980.0,1980.0,original
124-031-62,2025,0,0,0.0,WA,WA,3.121775902141453,124-031-062,1969.0,124-031-62,direct,1969.0,1969.0,original
124-032-33,2025,0,0,0.0,WA,WA,5.092419103293169,124-032-033,1982.0,124-032-33,direct,,1982.0,original
124-032-36,2025,0,0,0.0,WA,WA,6.429937985775931,124-032-036,1947.0,124-032-34,genealogy_new_from_old,1972.0,1947.0,original
124-032-37,2025,0,0,0.0,WA,WA,4.221252014921441,124-032-037,1934.0,124-032-35,genealogy_old_from_new,1961.0,1934.0,original
124-071-49,2025,0,0,0.0,WA,WA,1.3050630975806212,124-071-049,1979.0,124-071-49,direct,1979.0,1979.0,original
124-921-17,2025,0,0,0.0,WA,WA,0.2136200573823528,124-921-017,,,unmatched,2025.0,2025.0,county
125-010-18,2025,0,0,0.0,WA,WA,185.2541265343836,125-010-018,1986.0,125-010-18,direct,,1986.0,original
125-030-14,2025,0,0,0.0,WA,WA,2.001837479267973,125-030-014,1984.0,125-030-14,direct,1984.0,1984.0,original
125-172-17,2025,0,0,0.0,WA,WA,0.3111446953833123,125-172-017,1992.0,125-172-17,direct,,1992.0,original
125-181-08,2025,0,0,0.0,WA,WA,0.1785627955176893,125-181-008,1985.0,125-181-08,direct,,1985.0,original
125-181-21,2025,0,0,0.0,WA,WA,0.1774041890784566,125-181-021,1979.0,125-181-21,direct,,1979.0,original
125-244-40,2025,0,0,0.0,WA,WA,0.4449570283580777,125-244-040,1981.0,125-244-20,genealogy_old_from_new,,1981.0,original
125-361-01,2025,0,0,0.0,WA,WA,0.1489379700200927,125-361-001,1987.0,125-361-01,direct,1987.0,1987.0,original
125-463-01,2025,0,0,0.0,WA,WA,0.376883011531239,125-463-001,1981.0,125-463-01,direct,1981.0,1981.0,original
125-472-08,2025,0,0,0.0,WA,WA,0.6369685468332682,125-472-008,1962.0,125-472-08,direct,,1962.0,original
125-511-05,2025,0,0,0.0,WA,WA,0.745904576891128,125-511-005,,,unmatched,2024.0,2024.0,county
125-531-23,2025,0,0,0.0,WA,WA,0.577050284387011,125-531-023,1983.0,125-531-23,direct,,1983.0,original
125-541-13,2025,0,0,0.0,WA,WA,0.1847732170015062,125-541-013,,,unmatched,2024.0,2024.0,county
126-010-06,2025,0,0,0.0,WA,WA,0.3284954751365548,126-010-006,1966.0,126-010-06,direct,,1966.0,original
126-010-56,2025,0,0,0.0,WA,WA,0.0659425782429484,126-010-056,1968.0,126-010-56,direct,1968.0,1968.0,original
126-010-60,2025,0,0,0.0,WA,WA,363.7249296993968,126-010-060,1967.0,126-010-60,direct,1982.0,1967.0,original
126-210-02,2025,0,0,0.0,WA,WA,1.6777995342720815,126-210-002,1969.0,126-210-02,direct,,1969.0,original
126-251-20,2025,0,0,0.0,WA,WA,0.3672958731493085,126-251-020,1974.0,126-251-20,direct,,1974.0,original
126-271-20,2025,0,0,0.0,WA,WA,1.1444936645613304,126-271-020,2007.0,126-271-18,genealogy_old_from_new,,2007.0,original
126-540-34,2025,0,0,0.0,WA,WA,26.76933912583627,126-540-034,1972.0,126-570-16,genealogy_new_from_old,,1972.0,original
127-010-04,2025,0,0,0.0,WA,WA,3.3884916422325566,127-010-004,1965.0,127-010-04,direct,1965.0,1965.0,original
127-010-07,2025,0,0,0.0,WA,WA,17.981321695129555,127-010-007,1964.0,127-010-07,direct,1989.0,1964.0,original
127-030-16,2025,0,0,0.0,WA,WA,6.005881644039454,127-030-016,1981.0,127-030-16,direct,1988.0,1981.0,original
127-030-39,2025,0,0,0.0,WA,WA,4.603628029911704,127-030-039,1965.0,127-030-21,genealogy_old_from_new,2009.0,1965.0,original
127-040-03,2025,0,0,0.0,WA,WA,0.3442512941695075,127-040-003,1981.0,127-040-03,direct,,1981.0,original
127-079-01,2025,0,0,0.0,WA,WA,24.537837338442028,127-079-001,1982.0,127-079-01,direct,1982.0,1982.0,original
127-280-01,2025,0,0,0.0,WA,WA,13.914282673956082,127-280-001,1975.0,127-280-01,direct,1975.0,1975.0,original
128-351-01,2025,0,0,0.0,WA,WA,16.29461810416135,128-351-001,1971.0,128-351-01,direct,,1971.0,original
129-091-02,2025,0,0,0.0,WA,WA,0.0144164645293891,129-091-002,,,unmatched,1983.0,1983.0,county
129-091-03,2025,0,0,0.0,WA,WA,0.0144165148363894,129-091-003,1983.0,129-022-07,genealogy_new_from_old,1983.0,1983.0,original
129-091-04,2025,0,0,0.0,WA,WA,0.0144166093337366,129-091-004,,,unmatched,1983.0,1983.0,county
130-010-08,2025,0,0,0.0,WA,WA,87.32300015196795,130-010-008,1980.0,130-010-08,direct,2000.0,1980.0,original
130-050-01,2025,0,0,0.0,WA,WA,1.4530403327955967,130-050-001,1995.0,130-050-01,direct,2008.0,1995.0,original
130-241-56,2025,0,0,0.0,WA,WA,0.6894686778483405,130-241-056,1976.0,130-312-28,genealogy_old_from_new,,1976.0,original
130-302-16,2025,0,0,0.0,WA,WA,1.161105370238318,130-302-016,,,unmatched,2016.0,2016.0,county
130-311-02,2025,0,0,0.0,WA,WA,1.2984901697494642,130-311-002,1968.0,130-311-02,direct,,1968.0,original
130-312-10,2025,0,0,0.0,WA,WA,1.1253345077395278,130-312-010,1982.0,130-312-10,direct,,1982.0,original
130-312-28,2025,0,0,0.0,WA,WA,0.5340228997261969,130-312-028,1976.0,130-312-28,direct,,1976.0,original
131-012-07,2025,0,0,0.0,WA,WA,20.53234540729086,131-012-007,1969.0,131-012-07,direct,,1969.0,original
131-020-00,2025,0,0,0.0,WA,WA,2.693256853743227,131-020-000,1970.0,131-020-00,direct,1970.0,1970.0,original
132-011-03,2025,0,0,0.0,WA,WA,1.225199170192221,132-011-003,,,unmatched,1982.0,1982.0,county
132-011-07,2025,0,0,0.0,WA,WA,3.365457222658103,132-011-007,1981.0,132-011-07,direct,1981.0,1981.0,original
132-011-08,2025,0,0,0.0,WA,WA,2.9404109208816105,132-011-008,1990.0,132-011-08,direct,1990.0,1990.0,original
132-020-17,2025,0,0,0.0,WA,WA,0.3877558889443717,132-020-017,1979.0,132-020-17,direct,1979.0,1979.0,original
132-020-19,2025,0,0,0.0,WA,WA,0.1829176380963392,132-020-019,1978.0,132-020-19,direct,1978.0,1978.0,original
132-020-21,2025,0,0,0.0,WA,WA,0.155662931145097,132-020-021,1969.0,132-020-21,direct,1969.0,1969.0,original
132-020-26,2025,0,0,0.0,WA,WA,1.2541140170955258,132-020-026,2004.0,132-020-26,direct,2004.0,2004.0,original
132-040-00,2025,0,0,0.0,WA,WA,2.812630931294254,132-040-000,1974.0,132-040-00,direct,,1974.0,original
132-060-00,2025,0,0,0.0,WA,WA,19.523038080999072,132-060-000,1985.0,132-060-00,direct,1985.0,1985.0,original
132-201-02,2025,0,0,0.0,WA,WA,6.506907837662268,132-201-002,1965.0,132-201-02,direct,1965.0,1965.0,original
132-221-07,2025,0,0,0.0,WA,WA,0.2093159137441593,132-221-007,1978.0,132-221-07,direct,1978.0,1978.0,original
132-221-11,2025,0,0,0.0,WA,WA,0.1854887905043781,132-221-011,1966.0,132-221-10,genealogy_old_from_new,,1966.0,original
132-222-18,2025,0,0,0.0,WA,WA,0.2284614480730496,132-222-018,1965.0,132-222-18,direct,1965.0,1965.0,original
132-223-06,2025,0,0,0.0,WA,WA,0.1768563917694918,132-223-006,1973.0,132-223-06,direct,1973.0,1973.0,original
132-223-07,2025,0,0,0.0,WA,WA,0.4712549282680095,132-223-007,1967.0,132-223-07,direct,1967.0,1967.0,original
132-223-14,2025,0,0,0.0,WA,WA,0.8545642537440494,132-223-014,2006.0,132-223-14,direct,2006.0,2006.0,original
132-231-06,2025,0,0,0.0,WA,WA,1.1068520965951056,132-231-006,2002.0,132-231-06,direct,2002.0,2002.0,original
132-232-03,2025,0,0,0.0,WA,WA,0.6297725092289302,132-232-003,1978.0,132-232-03,direct,1978.0,1978.0,original
132-260-02,2025,0,0,0.0,WA,WA,0.011023029106059,132-260-002,1969.0,132-260-02,direct,1969.0,1969.0,original
132-260-03,2025,0,0,0.0,WA,WA,0.0110231875179343,132-260-003,1974.0,132-260-03,direct,1974.0,1974.0,original
132-260-04,2025,0,0,0.0,WA,WA,0.0110231114693625,132-260-004,1974.0,132-260-04,direct,1974.0,1974.0,original
132-260-05,2025,0,0,0.0,WA,WA,0.0110234657152906,132-260-005,1974.0,132-260-05,direct,1974.0,1974.0,original
132-260-06,2025,0,0,0.0,WA,WA,0.0110227840891746,132-260-006,1974.0,132-260-06,direct,1974.0,1974.0,original
132-260-08,2025,0,0,0.0,WA,WA,0.0110233559270076,132-260-008,1974.0,132-260-08,direct,1974.0,1974.0,original
