APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
023-102-050,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,12,,06/30/2022,TRPA-CONVTRF-1996,06/16/2022,098-360-007,,TRAN2022-0151,,Non-Sensitive
023-512-007,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,1,,10/24/2024,TRPA-CONVTRF-2602,10/18/2024,027-040-043,,TRAN2024-0771,,Non-Sensitive
025-021-080,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,833.0,1,,10/19/2016,TRPA-CONVTRF-437,10/03/2016,023-191-007,,TRAN2016-0684,,Non-Sensitive
025-041-023,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,21,,06/30/2023,TRPA-CONVTRF-2288,05/19/2023,027-040-043,,ERSP2023-0438,,Non-Sensitive
025-377-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,880.0,1,,03/29/2017,TRPA-CONVTRF-392,03/20/2017,023-191-007,,TRAN2016-0541,,Non-Sensitive
025-814-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,946.0,1,,06/30/2022,TRPA-CONVTRF-1981,06/16/2022,098-360-007,,TRAN2022-0122,,Non-Sensitive
026-092-026,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2151,05/22/2023,027-040-043,,ERSP2023-0212,,Non-Sensitive
026-104-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,904.0,1,,07/31/2023,TRPA-CONVTRF-2283,07/24/2023,027-040-043,,ERSP2023-0380,ERSP2023-0380,Non-Sensitive
026-115-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,973.0,1,,11/19/2015,TRPA-CONVTRF-89,06/19/2014,026-049-002,,TRAN2013-0770,,Non-Sensitive
026-122-002,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,850.0,1,,12/13/2017,TRPA-CONVTRF-99,07/11/2013,026-049-002,,TRAN2013-0304,,Non-Sensitive
026-221-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,866.0,1,,10/19/2016,TRPA-CONVTRF-372,08/19/2016,023-191-007,,TRAN2016-0399,,Non-Sensitive
026-261-001,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/15/2024,TRPA-CONVTRF-2596,08/15/2024,027-040-043,,TRAN2024-0172,,Non-Sensitive
027-072-010,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,4,,11/08/2022,TRPA-CONVTRF-1978,07/06/2022,023-392-003,,TRAN2022-0365,,Non-Sensitive
027-233-034,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/18/2023,TRPA-CONVTRF-2290,07/13/2023,027-040-043,,ERSP2022-2030,ERSP2022-2030,Non-Sensitive
027-234-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,07/31/2023,TRPA-CONVTRF-2289,07/24/2023,027-040-043,,ERSP2023-0550,ERSP2023-0550,Non-Sensitive
027-321-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,09/27/2024,TRPA-CONVTRF-2413,08/20/2024,027-040-043,,TRAN2024-0110,TRAN2024-0110,Non-Sensitive
