APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory,JURISDICTION,PLAN_ID,PLAN_NAME,ZONING_ID,ZONING_DESCRIPTION,TOWN_CENTER,LOCATION_TO_TOWNCENTER,TAZ,WITHIN_BONUSUNIT_BNDY,WITHIN_TRPA_BNDY,LOCAL_PLAN_HYPERLINK,LTINFO_HYPERLINK,PARCEL_ACRES,PARCEL_SQFT,SHAPE
023-102-050,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,12,,06/30/2022,TRPA-CONVTRF-1996,06/16/2022,098-360-007,,TRAN2022-0151,,Non-Sensitive,CSLT,111,TAHOE ISLAND,111,Tahoe Island,,Outside Buffer,146,0,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/111.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/023-102-050,0.12197859,5313,"{'rings': [[[758227.2383294664, 4312837.586315133], [758194.9284347855, 4312836.013815392], [758194.1522349128, 4312851.254112883], [758226.4621295938, 4312852.826512624], [758227.2383294664, 4312837.586315133]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
023-512-007,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,1,,10/24/2024,TRPA-CONVTRF-2602,10/18/2024,027-040-043,,TRAN2024-0771,,Non-Sensitive,CSLT,112,GARDNER MOUNTAIN,112,Gardner Mountain,,Quarter Mile Buffer,156,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/112.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/023-512-007,0.22982263,10011,"{'rings': [[[758970.1043071691, 4311499.691535389], [758937.1173125999, 4311448.325143846], [758924.3709146986, 4311456.573042488], [758957.2055092929, 4311507.93773403], [758970.1043071691, 4311499.691535389]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
025-021-080,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,833.0,1,,10/19/2016,TRPA-CONVTRF-437,10/03/2016,023-191-007,,TRAN2016-0684,,Non-Sensitive,CSLT,094,GLENWOOD,094,Glenwood,,Outside Buffer,126,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/094.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/025-021-080,1.00052643,43583,"{'rings': [[[763820.1428087158, 4314088.3417092245], [763827.4811075078, 4314058.685914107], [763777.6634157095, 4314012.471021714], [763754.9794194438, 4314037.003217675], [763743.869721273, 4314048.928715711], [763813.9200097406, 4314113.587505067], [763820.1428087158, 4314088.3417092245]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
025-041-023,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,21,,06/30/2023,TRPA-CONVTRF-2288,05/19/2023,027-040-043,,ERSP2023-0438,,Non-Sensitive,CSLT,098,Bijou/Al Tahoe Community Plan,098_SA4,Bijou/Al Tahoe Community Plan Special Area #4,,Outside Buffer,31,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/Bijou-Al_Tahoe_CP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/025-041-023,92.66032005,4036284,"{'rings': [[[762610.7261078199, 4313432.697317161], [762547.7767181834, 4313430.027917601], [762550.157917791, 4313379.5034259185], [762646.6421019072, 4313383.3773252815], [762666.1479986962, 4313356.599429689], [762672.647497626, 4313347.902231121], [762679.1461965563, 4313339.28103254], [762685.9480954362, 4313330.815833934], [762692.9016942913, 4313322.428535314], [762699.8535931474, 4313314.193636671], [762707.1095919525, 4313306.038338013], [762711.2763912668, 4313301.509138759], [762830.5664716279, 4313171.821360109], [762845.4566691769, 4313144.330464635], [762846.0589690777, 4313096.348272534], [762811.4216747796, 4312997.36288883], [762804.9521758454, 4312981.129291503], [762800.8850765144, 4312971.580393074], [762796.6518772114, 4312962.103894634], [762792.2539779358, 4312952.702796182], [762787.6926786862, 4312943.379897717], [762782.9692794643, 4312934.138099238], [762778.0853802683, 4312924.9800007455], [762773.0423810985, 4312915.90860224], [762767.8418819541, 4312906.926603718], [762762.4853828363, 4312898.036605181], [762756.9745837431, 4312889.2416066285], [762751.3109846758, 4312880.544008061], [762745.4965856327, 4312871.946709476], [762739.5329866149, 4312863.452010876], [762733.4221876208, 4312855.062812256], [762727.1656886507, 4312846.78151362], [762564.7827153839, 4312651.724645732], [762558.3492164426, 4312643.996647004], [762448.2390345698, 4312636.852148179], [762437.1247363994, 4312661.353044147], [762428.6163378004, 4312676.065541724], [762415.306439992, 4312705.54433687], [762404.6834417405, 4312728.797733042], [762394.7136433814, 4312742.278430823], [762390.7914440278, 4312752.981929062], [762389.340944266, 4312778.670524832], [762384.5725450516, 4312793.115322454], [762369.9135474646, 4312809.454319764], [762349.3184508551, 4312827.973416716], [762320.3299556272, 4312867.793810161], [762297.0795594556, 4312919.348601673], [762279.8457622919, 4312966.890093846], [762267.201764374, 4312996.98838889], [762266.4621644961, 4313008.629686974], [762260.2616655165, 4313018.177185403], [762241.3633686276, 4313058.680378735], [762233.9165698532, 4313083.028374726], [762202.8433749694, 4313152.358463313], [762181.6153784636, 4313207.244854277], [762171.810880078, 4313231.944350211], [762157.8282823795, 4313269.178744081], [762151.165783477, 4313280.05344229], [762130.4749868829, 4313328.318534344], [762126.4270875491, 4313431.834517304], [762542.2255190974, 4313449.638714373], [762596.7914101137, 4313451.987813985], [762610.7261078199, 4313432.697317161]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
025-377-009,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,880.0,1,,03/29/2017,TRPA-CONVTRF-392,03/20/2017,023-191-007,,TRAN2016-0541,,Non-Sensitive,CSLT,097,BIJOU PINES,097,Bijou Pines,,Outside Buffer,121,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/097.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/025-377-009,0.13936094,6071,"{'rings': [[[762592.541410814, 4314176.651594685], [762561.7512158826, 4314175.476694878], [762561.0941159911, 4314193.768391868], [762591.8843109217, 4314194.943191674], [762592.541410814, 4314176.651594685]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
025-814-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,946.0,1,,06/30/2022,TRPA-CONVTRF-1981,06/16/2022,098-360-007,,TRAN2022-0122,,Non-Sensitive,EL,106,MONTGOMERY ESTATES,106,Montgomery Estates,,Outside Buffer,165,0,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/106.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/025-814-013,0.36770428,16017,"{'rings': [[[763269.6012993501, 4310246.957741624], [763273.9572986336, 4310239.037542928], [763284.5300968932, 4310220.358246002], [763285.930996662, 4310217.743046433], [763259.4073010292, 4310202.853248885], [763247.4340030001, 4310224.109545385], [763235.460204971, 4310245.404041881], [763262.1360005792, 4310260.333839422], [763269.6012993501, 4310246.957741624]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-092-026,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,05/22/2023,TRPA-CONVTRF-2151,05/22/2023,027-040-043,,ERSP2023-0212,,Non-Sensitive,CSLT,099,AL TAHOE,099_SA1,Al Tahoe Special Area #1,,Outside Buffer,138,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-092-026,0.13746053,5988,"{'rings': [[[760947.3651816566, 4314313.237372199], [760932.4480841123, 4314310.787072603], [760926.5637850808, 4314346.9389666505], [760941.6332826, 4314349.390866248], [760947.3651816566, 4314313.237372199]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-104-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,904.0,1,,07/31/2023,TRPA-CONVTRF-2283,07/24/2023,027-040-043,,ERSP2023-0380,ERSP2023-0380,Non-Sensitive,CSLT,099,AL TAHOE,099_SA1,Al Tahoe Special Area #1,,Outside Buffer,138,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-104-005,0.13810096,6016,"{'rings': [[[761253.2641312964, 4314312.688972291], [761238.1944337776, 4314310.237072693], [761232.462534721, 4314346.390666742], [761247.53213224, 4314348.842566337], [761253.2641312964, 4314312.688972291]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-115-005,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,973.0,1,,11/19/2015,TRPA-CONVTRF-89,06/19/2014,026-049-002,,TRAN2013-0770,,Non-Sensitive,CSLT,099,AL TAHOE,099,Al Tahoe,,Quarter Mile Buffer,139,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-115-005,0.19698913,8581,"{'rings': [[[761703.7611571318, 4314303.892073737], [761654.4841652447, 4314296.200975005], [761653.0592654794, 4314295.9785750415], [761650.7076658662, 4314311.045372561], [761652.1308656316, 4314311.267472524], [761703.3087572064, 4314319.255371209], [761703.3265572041, 4314318.647571309], [761703.431557186, 4314315.083971895], [761703.732857137, 4314304.8545735795], [761703.7611571318, 4314303.892073737]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-122-002,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,850.0,1,,12/13/2017,TRPA-CONVTRF-99,07/11/2013,026-049-002,,TRAN2013-0304,,Non-Sensitive,CSLT,099,AL TAHOE,099,Al Tahoe,,Outside Buffer,139,0,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-122-002,0.24921672,10856,"{'rings': [[[761115.8425539201, 4314063.927813243], [761090.4154581064, 4314002.47352336], [761076.3453604225, 4314008.295622401], [761101.9028562149, 4314069.72261229], [761115.8425539201, 4314063.927813243]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-221-013,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),IPES,866.0,1,,10/19/2016,TRPA-CONVTRF-372,08/19/2016,023-191-007,,TRAN2016-0399,,Non-Sensitive,CSLT,099,AL TAHOE,099,Al Tahoe,,Quarter Mile Buffer,139,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-221-013,0.13404009,5839,"{'rings': [[[761751.1198493354, 4313714.037770845], [761721.507954211, 4313713.119070996], [761720.9770542979, 4313731.414467985], [761750.6152494187, 4313732.330967832], [761751.1198493354, 4313714.037770845]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
026-261-001,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/15/2024,TRPA-CONVTRF-2596,08/15/2024,027-040-043,,TRAN2024-0172,,Non-Sensitive,CSLT,099,AL TAHOE,099,Al Tahoe,,Quarter Mile Buffer,139,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/099.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/026-261-001,0.24829525,10816,"{'rings': [[[761794.6557421684, 4313958.4963306], [761767.2168466859, 4313957.663030736], [761766.0550468769, 4313994.247824714], [761793.4938423596, 4313995.081024578], [761794.6557421684, 4313958.4963306]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
027-072-010,Conversion With Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,4,,11/08/2022,TRPA-CONVTRF-1978,07/06/2022,023-392-003,,TRAN2022-0365,,Non-Sensitive,CSLT,TCAP,TOURIST CORE AREA PLAN,TCAP_TSC_MU,Tourist Core Area Plan - Tourist Center Mixed-Use,Stateline/Ski Run,Town Center,112,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/TCAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/027-072-010,0.22944727,9995,"{'rings': [[[763920.6482921699, 4315525.300872659], [763907.7738942895, 4315517.306873975], [763894.7469964344, 4315509.3110752925], [763878.7563990662, 4315535.288771015], [763891.7834969219, 4315543.2844696995], [763904.6578948023, 4315551.278268384], [763920.6482921699, 4315525.300872659]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
027-233-034,Conversion With Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,1,,08/18/2023,TRPA-CONVTRF-2290,07/13/2023,027-040-043,,ERSP2022-2030,ERSP2022-2030,Non-Sensitive,CSLT,097,BIJOU PINES,097,Bijou Pines,,Quarter Mile Buffer,121,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/097.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/027-233-034,0.16651959,7254,"{'rings': [[[762535.4122202192, 4314556.306732183], [762530.6946209958, 4314554.739332441], [762508.0159247294, 4314546.949433723], [762507.0041248957, 4314546.696233766], [762505.9639250673, 4314546.619233778], [762504.9257252375, 4314546.720633762], [762503.7633254295, 4314547.023533711], [762502.7559255948, 4314547.575433621], [762501.9459257284, 4314548.192833519], [762501.2499258425, 4314548.936333397], [762500.6873259358, 4314549.785233257], [762500.2739260038, 4314550.716033103], [762500.0211260449, 4314551.7025329415], [762499.092726198, 4314557.861731928], [762498.091026363, 4314564.009430915], [762526.9137216182, 4314567.718330305], [762524.8975219503, 4314583.250827748], [762530.3531210516, 4314583.877427645], [762532.1073207632, 4314584.078927612], [762535.4122202192, 4314556.306732183]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
