Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
1,,,585.01,,Building,Hard,,,0,,
2,036-041-006,036-041-006,563.71,,Building,Hard,1890.5614990994893,0.0,0,EL,EL
3,036-290-017,036-290-017,645.71,,Building,Hard,0.9462023242057463,1.0,0,EL,EL
4,036-290-001,036-290-001,927.0,2001,Building,Hard,0.2163503548160066,1.0,1,EL,EL
5,036-290-017,036-290-017,725.43,,Building,Hard,0.9462023242057463,1.0,1,EL,EL
6,036-290-015,036-290-015,830.2,,Building,Hard,0.1973557129262882,1.0,1,EL,EL
7,036-041-004,036-041-004,720.87,,Building,Hard,74.752758782536,0.0,0,EL,EL
8,036-041-004,036-041-004,1010.13,,Building,Hard,74.752758782536,0.0,0,EL,EL
9,036-041-004,036-041-004,788.06,,Building,Hard,74.752758782536,0.0,0,EL,EL
10,036-041-004,036-041-004,658.24,,Building,Hard,74.752758782536,0.0,0,EL,EL
11,036-041-004,036-041-004,545.49,,Building,Hard,74.752758782536,0.0,0,EL,EL
12,036-041-004,036-041-004,466.91,,Building,Hard,74.752758782536,0.0,0,EL,EL
13,036-280-004,036-280-004,507.91,2000,Building,Hard,0.2294865038975531,0.0,0,EL,EL
14,036-280-005,036-280-005,491.97,1950,Building,Hard,0.2219489872958717,0.0,0,EL,EL
15,036-280-006,036-280-006,739.09,2000,Building,Hard,0.2249550652988266,0.0,0,EL,EL
16,036-280-007,036-280-007,657.1,2000,Building,Hard,0.2241284973921108,0.0,0,EL,EL
17,036-041-004,036-041-004,663.93,,Building,Hard,74.752758782536,0.0,0,EL,EL
18,036-370-026,036-370-026,1179.81,1961,Building,Hard,0.8540658013610455,1.0,0,EL,EL
19,036-481-008,036-481-008,1590.93,1974,Building,Hard,0.7068399769927406,1.0,1,EL,EL
20,036-481-008,036-481-008,708.34,1974,Building,Hard,0.7068399769927406,1.0,0,EL,EL
21,036-370-010,036-370-010,4295.62,1962,Building,Hard,1.629955100424083,1.0,1,EL,EL
22,037-020-009,037-020-009,4641.93,,Building,Hard,167.7579906626958,0.0,0,EL,EL
23,036-370-026,036-370-026,1721.89,1961,Building,Hard,0.8540658013610455,1.0,1,EL,EL
24,036-481-005,036-481-005,2167.17,1976,Building,Hard,0.8641210601537954,1.0,1,EL,EL
25,037-020-009,037-020-009,1135.52,,Building,Hard,167.7579906626958,0.0,0,EL,EL
26,036-481-004,036-481-004,1341.53,1981,Building,Hard,0.6874410434262678,1.0,1,EL,EL
27,036-370-027,036-370-027,1010.15,1973,Building,Hard,0.8821967163444635,1.0,1,EL,EL
28,036-370-012,036-370-012,2857.29,1975,Building,Hard,2.062917716473136,1.0,1,EL,EL
29,036-370-024,036-370-024,1649.01,1971,Building,Hard,0.5238133682613724,1.0,1,EL,EL
30,036-370-035,036-370-035,529.16,,Building,Hard,1.4713672756187797,0.0,0,EL,EL
31,036-370-035,036-370-035,1331.02,,Building,Hard,1.4713672756187797,0.0,0,EL,EL
