Commodity,CommodityCode,Pool,Year,Direction,Units,AsOfDate,LoadedDate
Residential allocations,RES,Placer County,1986,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1987,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1988,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1989,Released,56,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1990,Released,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1991,Released,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1992,Released,83,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1993,Released,68,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1994,Released,62,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1995,Released,76,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1996,Released,88,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1997,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1998,Released,49,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1999,Released,54,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2000,Released,51,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2001,Released,55,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2002,Released,60,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2003,Released,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2004,Released,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2005,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2006,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2007,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2008,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2009,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2011,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2012,Released,0,"May 12, 2026",2026-05-15
