ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReportingYear,SweepCampaign,CorrectionCategory,CorrectionCategoryCanonical,SummaryReason,SourceFileSnapshot,LoadedAt,LoadedDate
1,007-011-01,007-011-001,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
2,007-011-023,007-011-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
3,007-011-23,007-011-023,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
4,007-011-23,007-011-023,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Under-Correction in 2023; Unit(s) added,True,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
5,014-021-01,014-021-001,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Vacant - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,Vacant - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
6,014-021-13,014-021-013,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should remain as 2 units (house and cabin),,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should remain as 2 units (house and cabin),CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
7,014-021-13,014-021-013,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Incorrectly Removed in 2023 - Unit(s) Added Back in 2026,True,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
8,014-101-03,014-101-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
9,014-101-04,014-101-004,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
10,014-190-09,014-190-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
11,014-200-09,014-200-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
12,014-220-01,014-220-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
13,014-235-10,014-235-010,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
14,014-241-07,014-241-007,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
15,014-242-08,014-242-008,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Error - should remain as 2 units,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should remain as 2 units,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
16,014-242-08,014-242-008,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,"2 units (house, guest house). ADU permit and allocation issued by EDC in 2024",,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Incorrectly Removed in 2023 - Unit(s) Added Back in 2026,True,"2 units (house, guest house). ADU permit and allocation issued by EDC in 2024",CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
17,014-244-06,014-244-006,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
18,014-292-18,014-292-018,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
19,014-310-17,014-310-017,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Error - should remain as 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should remain as 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
20,014-310-17,014-310-017,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Unit(s) over reported. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Over-Correction in 2023; Unit(s) Removed in 2026,True,Unit(s) over reported. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
21,014-310-18,014-310-018,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
22,015-020-02,015-020-002,SFRUU_or_MFRUU_TBD,2023,,,3,qa_correction,Vacant parcel - zero out. County shows unit in error. CA Sugar Pine Point State Park,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) Added Based on GIS (Errors),False,Vacant parcel - zero out. County shows unit in error. CA Sugar Pine Point State Park,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
