Year,ProjectName,Units,Notes,Description,AsOfDate,LoadedDate
2014,Aspens,48,"47 affordable, 1 moderate","Aspens: 48 units (47 affordable, 1 moderate)",2026-05-15,2026-05-15
2016,Peak 10,10,,Peak 10: 10 units,2026-05-15,2026-05-15
2018,Sierra Colina,1,,Sierra Colina: 1 unit,2026-05-15,2026-05-15
2019,Tahoe City Marina,10,,Tahoe City Marina: 10 units,2026-05-15,2026-05-15
2019,Sierra Colina,4,,Sierra Colina: 4 units,2026-05-15,2026-05-15
2020,Beach Club,25,,Beach Club: 25 units,2026-05-15,2026-05-15
2020,Wildwood Commons,23,,Wildwood Commons: 23 units,2026-05-15,2026-05-15
2020,Gondola Vista,20,,Gondola Vista: 20 units,2026-05-15,2026-05-15
2020,Sierra Colina,5,,Sierra Colina: 5 units,2026-05-15,2026-05-15
2021,Beach Club,21,,Beach Club: 21 units,2026-05-15,2026-05-15
2021,Sierra Colina,6,,Sierra Colina: 6 units,2026-05-15,2026-05-15
2021,WoodVista,6,,WoodVista: 6 units,2026-05-15,2026-05-15
2021,Tahoe Cedars,4,,Tahoe Cedars: 4 units,2026-05-15,2026-05-15
2022,Emerald Bay Cabins,6,,Emerald Bay Cabins: 6 units,2026-05-15,2026-05-15
2022,Sierra Colina,3,,Sierra Colina: 3 units,2026-05-15,2026-05-15
2023,Beach Club,24,,Beach Club: 24 units,2026-05-15,2026-05-15
2023,Sierra Colina,6,,Sierra Colina: 6 units,2026-05-15,2026-05-15
2024,Sugar Pine,69,67 affordable,Sugar Pine: 69 units (67 affordable),2026-05-15,2026-05-15
2024,Birds Nest,21,affordable,Birds Nest: 21 MF units (affordable),2026-05-15,2026-05-15
2024,395 N Lake,12,,395 N Lake: 12 MF units,2026-05-15,2026-05-15
2024,Sierra Colina,11,,Sierra Colina: 11 units,2026-05-15,2026-05-15
2024,Beach Club,8,,Beach Club: 8 units,2026-05-15,2026-05-15
2025,Sugar Pine,60,59 affordable,Sugar Pine: 60 units (59 affordable),2026-05-15,2026-05-15
2025,LTCC Dorms,41,19 affordable / 1 achievable,LTCC Dorms: 41 units (19 affordable / 1 achievable),2026-05-15,2026-05-15
2025,Beach Club,16,,Beach Club: 16 units,2026-05-15,2026-05-15
2025,Sierra Colina,8,,Sierra Colina: 8 units,2026-05-15,2026-05-15
