Relation_ID,Residential_Unit_ID,APN,APN_canon,Transaction_ID,Sequence,Is_Latest,Transaction_Type,Development_Type,Detailed_Development_Type,Development_Right,Allocation_Number,Quantity,Transaction_Record_ID,Transaction_Created_Date,Transaction_Acknowledged_Date,Year_Built,TRPA_Project_Number,Local_Project_Number,TRPA_Status,TRPA_Status_Date,Local_Status,Local_Status_Date,Status_Jan_2026,Notes
RUT-014-231-005-001-01,RU-014-231-005-001,014-231-005,014-231-005,EDCCA-ALLOC-1300,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-26,1.0,,,,2021.0,,,,,,,Completed,
RUT-014-232-001-001-01,RU-014-232-001-001,014-232-001,014-232-001,EDCCA-ALLOC-1293,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-19-O-07,1.0,,,,2020.0,314541,314540,Finaled,2021-05-10,Finaled,2020-12-21,Completed,
RUT-014-234-002-001-01,RU-014-234-002-001,014-234-002,014-234-002,EDCCA-ALLOC-1825,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-08,1.0,,,,2022.0,0339627,339626,Issued,2021-09-16,Finaled,2022-10-12,Completed,
RUT-014-234-011-001-01,RU-014-234-011-001,014-234-011,014-234-011,EDCCA-ALLOC-735,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-18-O-30,1.0,,,,2019.0,,,,,,,Completed,
RUT-014-242-008-001-01,RU-014-242-008-001,014-242-008,014-242-008,EDCCA-ALLOC-2316,1,True,Residential Allocation,Allocation,New Single-Family Residential ADU from Allocation,Residential Allocation - El Dorado County,EL-24-O-06,1.0,,,,,367591,367591,Hold Final,,Hold Final,,Not Completed,
RUT-014-242-008-002-01,RU-014-242-008-002,014-242-008,014-242-008,EDCCA-ALLOC-2316,1,True,Residential Allocation,Allocation,New Single-Family Residential ADU from Allocation,Residential Allocation - El Dorado County,EL-24-O-06,1.0,,,,,367591,367591,Hold Final,,Hold Final,,Not Completed,
RUT-014-262-003-001-01,RU-014-262-003-001,014-262-003,014-262-003,EDCCA-ALLOC-499,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-15-O-11,1.0,,,,2018.0,,,,,,,Completed,
RUT-014-262-012-001-01,RU-014-262-012-001,014-262-012,014-262-012,EDCCA-ALLOC-218,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-13-O-40,1.0,,,,2015.0,,,,,,,Completed,
RUT-014-271-004-001-01,RU-014-271-004-001,014-271-004,014-271-004,EDCCA-ALLOC-2547,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - El Dorado County,EL-22-O-04,1.0,,,,2025.0,365905,365904,Issued,2024-05-31,Finaled,2025-12-17,Completed,
RUT-014-274-007-001-01,RU-014-274-007-001,014-274-007,014-274-007,EDCCA-ALLOC-1375,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-11-O-11,1.0,,,,2013.0,,,,,,,Completed,
RUT-014-284-005-001-01,RU-014-284-005-001,014-284-005,014-284-005,EDCCA-ALLOC-408,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-15-O-09,1.0,,,,2017.0,,,,,,,Completed,
RUT-014-286-003-001-01,RU-014-286-003-001,014-286-003,014-286-003,EDCCA-ALLOC-227,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-14-O-14,1.0,,,,2015.0,,,,,,,Completed,
RUT-014-291-006-001-01,RU-014-291-006-001,014-291-006,014-291-006,EDCCA-ALLOC-2214,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-29,1.0,,,,2025.0,0349273,349272,Finaled,2025-12-04,Finaled,2025-11-05,Completed,
RUT-014-301-007-001-01,RU-014-301-007-001,014-301-007,014-301-007,EDCCA-ALLOC-1802,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-12,1.0,,,,2022.0,340349,340348,Finaled,2022-07-13,Finaled,2022-07-13,Completed,
RUT-014-302-015-001-01,RU-014-302-015-001,014-302-015,014-302-015,EDCCA-ALLOC-504,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-15-O-26,1.0,,,,2017.0,,,,,,,Completed,
RUT-014-321-002-001-01,RU-014-321-002-001,014-321-002,014-321-002,EDCCA-ALLOC-2145,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-27,1.0,,,,2024.0,0346997,346996,Finaled,2024-11-12,Finaled,2024-06-26,Completed,
RUT-014-322-008-001-01,RU-014-322-008-001,014-322-008,014-322-008,EDCCA-ALLOC-568,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-16-O-22,1.0,,,,2018.0,258996,258994,Finaled,2025-08-04,Finaled,2018-09-07,Completed,
RUT-014-352-005-001-01,RU-014-352-005-001,014-352-005,014-352-005,EDCCA-ALLOC-1477,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-19-O-23,1.0,,,,2024.0,0314544,314543,Expired Permit,2025-04-30,Finaled,2024-04-03,Completed,
RUT-015-031-007-001-01,RU-015-031-007-001,015-031-007,015-031-007,EDCCA-ALLOC-573,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-17-O-18,1.0,,,,2019.0,,,,,,,Completed,
RUT-015-031-012-001-01,RU-015-031-012-001,015-031-012,015-031-012,EDCCA-ALLOC-2542,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - El Dorado County,EL-22-O-21,1.0,,,,2025.0,366593,366553,Issued,2024-05-06,Finaled,2025-12-17,Completed,
RUT-015-033-017-001-01,RU-015-033-017-001,015-033-017,015-033-017,EDCCA-ALLOC-1322,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-11,1.0,,,,2020.0,,,,,,,Completed,
RUT-015-062-011-001-01,RU-015-062-011-001,015-062-011,015-062-011,EDCCA-ALLOC-586,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-17-O-20,1.0,,,,2020.0,,,,,,,Completed,
RUT-015-062-018-001-01,RU-015-062-018-001,015-062-018,015-062-018,EDCCA-ALLOC-590,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-18-O-04,1.0,,,,2019.0,,,,,,,Completed,
RUT-015-062-021-001-01,RU-015-062-021-001,015-062-021,015-062-021,EDCCA-ALLOC-219,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-13-O-41,1.0,,,,2016.0,,,,,,,Completed,
RUT-015-101-014-001-01,RU-015-101-014-001,015-101-014,015-101-014,EDCCA-ALLOC-2003,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - El Dorado County,EL-21-O-15,1.0,,,,2023.0,351092,351089,Finaled,2023-11-28,Finaled,2023-07-28,Completed,
RUT-015-101-017-001-01,RU-015-101-017-001,015-101-017,015-101-017,EDCCA-ALLOC-1368,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-11-O-04,1.0,,,,2013.0,,,,,,,Completed,
RUT-015-102-006-001-01,RU-015-102-006-001,015-102-006,015-102-006,EDCCA-ALLOC-270,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-14-O-24,1.0,,,,2021.0,,,,,,,Completed,
RUT-015-104-008-001-01,RU-015-104-008-001,015-104-008,015-104-008,EDCCA-ALLOC-247,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-14-O-15,1.0,,,,2015.0,,,,,,,Completed,
RUT-015-104-017-001-01,RU-015-104-017-001,015-104-017,015-104-017,EDCCA-ALLOC-1381,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-11-O-19,1.0,,,,2014.0,,,,,,,Completed,
RUT-015-104-020-001-01,RU-015-104-020-001,015-104-020,015-104-020,EDCCA-ALLOC-1412,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-34,1.0,,,,2012.0,,,,,,,Completed,
RUT-015-104-023-001-01,RU-015-104-023-001,015-104-023,015-104-023,EDCCA-ALLOC-742,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-16-O-08,1.0,,,,2020.0,,255019,,,Finaled,2020-09-30,Completed,Allocation was given to previous APN 015-104-09; this allocation was used on new APN 015-104-023
