CSV_APN,FC_APN,Year,Match_Type,APN_Changed
090-074-27,090-074-027,2012,intersect,True
123-131-01,123-131-05,2012,intersect,True
029-381-50,029-620-16,2012,intersect,True
117-020-009,117-020-025,2012,intersect,True
1418-34-113-017,1418-34-101-001,2012,intersect,True
1418-34-113-014,1418-34-101-001,2012,intersect,True
1418-34-113-013,1418-34-101-001,2012,intersect,True
1418-34-113-003,1418-34-101-001,2012,intersect,True
1418-34-113-005,1418-34-101-001,2012,intersect,True
1418-34-113-009,1418-34-101-001,2012,intersect,True
1418-34-113-007,1418-34-101-001,2012,intersect,True
1318-24-404-023,1318-24-404-016,2012,intersect,True
026-061-30,026-061-05,2012,intersect,True
021-321-35,021-321-33,2012,intersect,True
090-072-034,090-072-026,2012,intersect,True
090-072-040,090-072-026,2012,intersect,True
085-141-012,085-141-006,2012,intersect,True
084-092-040,084-092-008,2012,intersect,True
090-223-046,090-223-008,2012,intersect,True
129-071-02,129-280-21,2012,intersect,True
129-071-06,129-280-21,2012,intersect,True
129-071-07,129-280-21,2012,intersect,True
129-071-10,129-290-01,2012,intersect,True
129-071-01,129-280-21,2012,intersect,True
1319-30-514-005,1319-30-514-000,2012,intersect,True
1319-30-514-002,1319-30-514-000,2012,intersect,True
1319-30-514-020,1319-30-514-000,2012,intersect,True
1319-19-213-003,1319-19-213-002,2012,intersect,True
1319-30-520-002,1319-30-520-024,2012,intersect,True
1319-30-520-014,1319-30-520-003,2012,intersect,True
1319-30-520-015,1319-30-520-000,2012,intersect,True
1319-30-519-007,1319-30-519-024,2012,intersect,True
1319-30-519-013,1319-30-519-024,2012,intersect,True
1319-30-520-001,1319-30-520-000,2012,intersect,True
1319-30-520-020,1319-30-520-031,2012,intersect,True
1319-30-520-021,1319-30-520-032,2012,intersect,True
1319-30-522-003,1319-30-523-003,2012,intersect,True
1319-30-522-004,1319-30-522-000,2012,intersect,True
1319-30-611-003,1319-30-611-000,2012,intersect,True
1319-30-611-007,1319-30-611-000,2012,intersect,True
1319-30-614-007,1319-30-614-000,2012,intersect,True
1319-30-615-003,1319-30-615-000,2012,intersect,True
1319-30-615-004,1319-30-615-000,2012,intersect,True
