Old_APN,New_APN,Change_Year,Change_Type,Years_Updated,Years_Conflicted,Total_Units_Moved,Source
092-190-053,092-190-065,2012,rename,14,0,14,MANUAL
016-091-42,016-091-050,2012,split,14,0,14,MANUAL
117-071-025,117-071-044,2012,rename,14,0,14,MANUAL
016-300-57,016-300-059,2012,split,14,0,14,MANUAL
123-032-01,123-032-18,2012,split,8,6,32,MANUAL
015-304-031,015-304-033,2015,rename,4,4,8,MANUAL
036-350-008,036-530-028,2015,rename,8,0,8,MANUAL
1418-34-110-020,1418-34-110-062,2016,split,10,0,10,MANUAL
1318-26-101-029,1318-26-101-090,2016,split,10,0,20,MANUAL
1318-26-601-006,1318-26-601-008,2016,rename,10,0,10,MANUAL
1418-34-101-001,1418-34-113-001,2016,rename,10,0,200,MANUAL
1318-09-810-035,1318-09-810-115,2016,rename,10,0,10,MANUAL
090-071-034,090-071-038,2017,rename,9,0,18,MANUAL
035-293-017,035-293-031,2017,rename,8,0,8,MANUAL
1318-10-310-033,1318-10-310-078,2017,rename,9,0,15,MANUAL
1319-19-212-078,1319-19-212-095,2017,split,9,0,18,MANUAL
115-060-010,115-060-020,2017,split,9,0,9,MANUAL
097-164-006,097-164-013,2017,rename,9,0,9,MANUAL
026-034-008,026-034-019,2017,split,8,0,8,MANUAL
018-090-079,018-090-084,2017,rename,8,0,8,MANUAL
017-021-018,017-021-033,2017,rename,8,0,8,MANUAL
117-110-008,117-110-072,2017,rename,9,0,2,MANUAL
122-100-04,122-100-29,2017,rename,9,0,9,MANUAL
129-280-18,129-301-07,2017,rename,9,0,9,MANUAL
1418-15-201-003,1418-15-201-006,2017,split,9,0,9,MANUAL
123-032-12,123-032-26,2017,rename,9,0,9,MANUAL
084-110-014,084-110-020,2017,split,9,0,18,MANUAL
123-032-13,123-032-27,2017,rename,9,0,27,MANUAL
122-100-23,122-100-27,2017,rename,9,0,9,MANUAL
084-110-017,084-110-026,2017,split,9,0,9,MANUAL
130-312-27,130-312-30,2017,rename,9,0,9,MANUAL
016-091-050,016-091-065,2017,rename,1,8,1,MANUAL
016-081-042,016-081-046,2017,rename,8,0,8,MANUAL
016-081-043,016-081-045,2017,rename,8,0,8,MANUAL
025-451-017,025-451-028,2017,split,8,0,8,MANUAL
1418-15-601-001,1418-15-601-003,2017,rename,9,0,9,MANUAL
029-010-002,029-010-024,2017,split,8,0,16,MANUAL
126-560-37,126-560-41,2017,rename,9,0,9,MANUAL
084-092-009,084-092-042,2017,rename,9,0,9,MANUAL
084-092-016,084-092-043,2017,rename,9,0,9,MANUAL
092-142-020,092-142-029,2017,rename,9,0,9,MANUAL
092-142-010,092-142-027,2017,split,9,0,9,MANUAL
122-100-24,122-100-28,2017,rename,9,0,9,MANUAL
083-390-023,083-390-050,2017,rename,9,0,9,MANUAL
125-462-08,125-462-10,2018,rename,8,0,8,MANUAL
1318-10-310-012,1318-10-310-079,2018,rename,8,0,8,MANUAL
097-192-001,097-192-010,2018,rename,8,0,8,MANUAL
098-210-031,098-360-001,2018,split,3,5,3,MANUAL
1318-22-002-002,1318-22-310-006,2018,rename,8,0,1232,MANUAL
095-130-007,095-130-014,2018,split,8,0,40,MANUAL
093-042-021,093-042-043,2018,rename,8,0,8,MANUAL
1418-34-201-006,1418-34-201-009,2018,rename,8,0,8,MANUAL
126-560-28,126-560-42,2018,rename,8,0,8,MANUAL
080-162-017,080-162-018,2018,split,4,4,4,MANUAL
027-053-011,027-053-019,2018,rename,8,0,8,MANUAL
027-053-009,027-053-020,2018,rename,8,0,8,MANUAL
129-022-07,129-091-01,2018,rename,8,0,32,MANUAL
1418-34-201-005,1418-34-201-008,2018,rename,8,0,8,MANUAL
1418-11-311-004,1418-11-311-015,2018,rename,8,0,8,MANUAL
126-570-16,126-570-37,2019,rename,7,0,7,MANUAL
117-100-004,117-100-088,2019,rename,7,0,8,MANUAL
122-530-26,122-530-38,2021,rename,5,0,5,MANUAL
092-120-007,092-120-058,2021,rename,5,0,5,MANUAL
026-300-001,026-300-002,2021,rename,5,0,10,MANUAL
026-300-002,026-310-003,2021,rename,5,0,10,MANUAL
123-041-05,123-041-28,2022,split,4,0,4,MANUAL
117-071-015,117-071-053,2023,split,3,0,9,MANUAL
