APN,COUNTY,Years_Lost,Num_Years_Lost,Total_Units_CSV,Years_In_FC,Issue_Category,Suggested_Action
027-323-010,,"[2021, 2022, 2023, 2024, 2025]",5,240,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
123-032-01,,"[2012, 2013, 2014, 2015, 2016, 2017]",6,24,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
021-321-029,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,16,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-300-059,,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,14,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
112-190-040,,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,14,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-091-050,,"[2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",13,13,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
015-304-031,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-224-018,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-382-007,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-010-019,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
031-085-022,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
035-234-009,,"[2021, 2022, 2023, 2024, 2025]",5,10,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
015-104-009,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
015-264-017,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
017-021-015,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
017-021-020,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
018-320-011,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
021-321-009,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
027-313-002,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
034-284-028,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
036-543-011,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
015-370-30,,"[2012, 2013, 2014, 2015, 2016, 2017]",6,6,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-300-64,,"[2012, 2013, 2014, 2015, 2016, 2017]",6,6,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
018-320-18,,"[2012, 2013, 2014, 2015, 2016, 2017]",6,6,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-081-042,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-081-043,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-091-051,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-300-021,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-544-016,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
017-021-018,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
018-090-079,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
018-300-006,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
021-241-001,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
021-321-033,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
022-331-025,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
023-341-003,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-225-015,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-451-017,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-451-018,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-510-090,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
025-551-001,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
026-034-008,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
026-061-005,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
026-139-023,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
027-313-006,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
027-313-012,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
028-301-006,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-095-006,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-095-019,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-104-001,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-602-011,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
030-434-009,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
031-084-015,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
033-574-003,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
034-691-020,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
034-722-004,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
034-734-022,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
035-293-016,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
035-301-001,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
036-350-009,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
036-530-023,,"[2021, 2022, 2023, 2024, 2025]",5,5,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
016-211-014,,"[2018, 2019, 2020]",3,3,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
029-095-021,,"[2024, 2025]",2,2,NEVER,PARCEL_NEW,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
032-402-012,,"[2021, 2022, 2023, 2024, 2025]",5,1325,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-22-002-002,,"[2021, 2022, 2023, 2024, 2025]",5,770,"[2012, 2013, 2014, 2015, 2016, 2017, 2018]",PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
032-390-008,,"[2021, 2022, 2023, 2024, 2025]",5,390,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
025-920-001,,"[2021, 2022, 2023, 2024, 2025]",5,315,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
023-850-004,,"[2021, 2022, 2023, 2024, 2025]",5,170,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
023-840-011,,"[2021, 2022, 2023, 2024, 2025]",5,155,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-22-310-006,,[2018],1,154,"[2019, 2020]",PARCEL_SPLIT,APN present in FC for some years but missing for: [2018]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years.
031-370-018,,"[2021, 2022, 2023, 2024, 2025]",5,110,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
023-880-018,,"[2021, 2022, 2023, 2024, 2025]",5,90,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
023-870-003,,"[2021, 2022, 2023, 2024, 2025]",5,85,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
027-670-003,,"[2021, 2022, 2023, 2024, 2025]",5,65,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
032-440-017,,"[2021, 2022, 2023, 2024, 2025]",5,65,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-802-003,,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",12,61,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
032-450-004,,"[2021, 2022, 2023, 2024, 2025]",5,50,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-124-018,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,48,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
025-041-010,,[2025],1,41,"[2018, 2019, 2020]",PARCEL_SPLIT,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
032-460-003,,"[2021, 2022, 2023, 2024, 2025]",5,40,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-802-008,,"[2021, 2022, 2023, 2024, 2025]",5,40,"[2012, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-222-007,,"[2021, 2022, 2023, 2024, 2025]",5,35,"[2013, 2014]",PARCEL_SPLIT,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-134-046,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,32,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-10-310-010,,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,28,"[2012, 2013, 2014, 2015, 2016, 2017, 2018]",PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
095-130-007,,"[2021, 2022, 2023, 2024, 2025]",5,25,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
129-280-12,,"[2021, 2022, 2023, 2024, 2025]",5,20,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
129-280-13,,"[2021, 2022, 2023, 2024, 2025]",5,20,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-501-001,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,20,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-15-201-001,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,20,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
097-092-003,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,18,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
112-060-017,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,18,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
123-032-27,,"[2020, 2021, 2022, 2023, 2024, 2025]",6,18,"[2017, 2018, 2019]",PARCEL_SPLIT,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-15-801-005,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,18,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-401-009,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,18,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
083-202-006,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,16,"[2013, 2014]",PARCEL_SPLIT,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-702-007,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,16,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-201-001,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,16,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
084-191-001,,"[2021, 2022, 2023, 2024, 2025]",5,15,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",PARCEL_SPLIT,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
028-011-019,,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,14,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-222-051,,"[2013, 2014]",2,14,"[2012, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",PARCEL_SPLIT,"APN present in FC for some years but missing for: [2013, 2014]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years."
026-300-001,,"[2020, 2021, 2022, 2023, 2024, 2025]",6,12,"[2018, 2019]",PARCEL_SPLIT,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
027-122-004,,"[2020, 2021, 2022, 2023, 2024, 2025]",6,12,"[2018, 2019]",PARCEL_SPLIT,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-123-006,,[2025],1,12,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",PARCEL_SPLIT,"APN present in FC through 2024, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-191-023,,"[2024, 2025]",2,12,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",PARCEL_SPLIT,"APN present in FC through 2023, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
097-111-025,,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",12,12,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
097-130-027,,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",12,12,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
083-075-007,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,11,"[2013, 2014]",PARCEL_SPLIT,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
097-122-013,,"[2020, 2021, 2022, 2023, 2024, 2025]",6,11,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",PARCEL_SPLIT,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
097-130-028,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,11,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
023-860-002,,"[2021, 2022, 2023, 2024, 2025]",5,10,[2018],PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
