old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
001-070-27,001-070-18,2021,,split,1,ACCELA
031-207-017,031-207-17,2021,,rename,1,ACCELA
031-207-018,031-207-18,2021,,rename,1,ACCELA
031-207-019,031-207-19,2021,,rename,1,ACCELA
031-207-020,031-207-20,2021,,rename,1,ACCELA
031-211-002,031-211-02,2021,,rename,1,ACCELA
031-211-003,031-211-03,2021,,rename,1,ACCELA
031-207-016,031-207-16,2021,,rename,1,ACCELA
031-211-004,031-211-04,2021,,rename,1,ACCELA
031-211-006,031-211-06,2021,,rename,1,ACCELA
031-211-007,031-211-07,2021,,rename,1,ACCELA
031-211-008,031-211-08,2021,,rename,1,ACCELA
031-211-009,031-211-09,2021,,rename,1,ACCELA
031-211-010,031-211-10,2021,,rename,1,ACCELA
031-211-011,031-211-11,2021,,rename,1,ACCELA
031-211-005,031-211-05,2021,,rename,1,ACCELA
031-211-012,031-211-12,2021,,rename,1,ACCELA
031-207-015,031-207-15,2021,,rename,1,ACCELA
031-207-013,031-207-13,2021,,rename,1,ACCELA
031-206-002,031-206-02,2021,,rename,1,ACCELA
031-206-003,031-206-03,2021,,rename,1,ACCELA
031-206-004,031-206-04,2021,,rename,1,ACCELA
031-206-005,031-206-05,2021,,rename,1,ACCELA
031-206-006,031-206-06,2021,,rename,1,ACCELA
031-206-007,031-206-07,2021,,rename,1,ACCELA
031-207-014,031-207-14,2021,,rename,1,ACCELA
031-207-002,031-207-02,2021,,rename,1,ACCELA
031-207-007,031-207-07,2021,,rename,1,ACCELA
031-207-008,031-207-08,2021,,rename,1,ACCELA
031-207-009,031-207-09,2021,,rename,1,ACCELA
031-207-010,031-207-10,2021,,rename,1,ACCELA
031-207-011,031-207-11,2021,,rename,1,ACCELA
031-207-012,031-207-12,2021,,rename,1,ACCELA
031-207-004,031-207-04,2021,,rename,1,ACCELA
031-211-013,031-211-13,2021,,rename,1,ACCELA
031-211-014,031-211-14,2021,,rename,1,ACCELA
031-211-015,031-211-15,2021,,rename,1,ACCELA
031-212-019,031-212-19,2021,,rename,1,ACCELA
031-213-002,031-213-02,2021,,rename,1,ACCELA
031-213-003,031-213-03,2021,,rename,1,ACCELA
031-213-004,031-213-04,2021,,rename,1,ACCELA
031-213-005,031-213-05,2021,,rename,1,ACCELA
031-213-006,031-213-06,2021,,rename,1,ACCELA
031-212-018,031-212-18,2021,,rename,1,ACCELA
031-213-007,031-213-07,2021,,rename,1,ACCELA
031-213-009,031-213-09,2021,,rename,1,ACCELA
031-213-010,031-213-10,2021,,rename,1,ACCELA
031-213-011,031-213-11,2021,,rename,1,ACCELA
031-213-012,031-213-12,2021,,rename,1,ACCELA
031-213-013,031-213-13,2021,,rename,1,ACCELA
031-213-014,031-213-14,2021,,rename,1,ACCELA
031-213-008,031-213-08,2021,,rename,1,ACCELA
031-212-017,031-212-17,2021,,rename,1,ACCELA
031-212-016,031-212-16,2021,,rename,1,ACCELA
031-212-015,031-212-15,2021,,rename,1,ACCELA
031-211-016,031-211-16,2021,,rename,1,ACCELA
031-211-017,031-211-17,2021,,rename,1,ACCELA
031-212-002,031-212-02,2021,,rename,1,ACCELA
031-212-003,031-212-03,2021,,rename,1,ACCELA
031-212-004,031-212-04,2021,,rename,1,ACCELA
031-212-005,031-212-05,2021,,rename,1,ACCELA
031-212-006,031-212-06,2021,,rename,1,ACCELA
031-212-007,031-212-07,2021,,rename,1,ACCELA
031-212-008,031-212-08,2021,,rename,1,ACCELA
031-212-009,031-212-09,2021,,rename,1,ACCELA
031-212-010,031-212-10,2021,,rename,1,ACCELA
031-212-011,031-212-11,2021,,rename,1,ACCELA
031-212-012,031-212-12,2021,,rename,1,ACCELA
031-212-013,031-212-13,2021,,rename,1,ACCELA
031-212-014,031-212-14,2021,,rename,1,ACCELA
031-205-023,031-205-23,2021,,rename,1,ACCELA
031-213-015,031-213-15,2021,,rename,1,ACCELA
031-205-019,031-205-19,2021,,rename,1,ACCELA
031-205-017,031-205-17,2021,,rename,1,ACCELA
031-202-010,031-202-10,2021,,rename,1,ACCELA
031-202-011,031-202-11,2021,,rename,1,ACCELA
031-202-012,031-202-12,2021,,rename,1,ACCELA
031-202-013,031-202-13,2021,,rename,1,ACCELA
031-202-014,031-202-14,2021,,rename,1,ACCELA
031-202-015,031-202-15,2021,,rename,1,ACCELA
031-202-009,031-202-09,2021,,rename,1,ACCELA
031-202-016,031-202-16,2021,,rename,1,ACCELA
031-202-018,031-202-18,2021,,rename,1,ACCELA
031-202-019,031-202-19,2021,,rename,1,ACCELA
031-203-002,031-203-02,2021,,rename,1,ACCELA
031-203-003,031-203-03,2021,,rename,1,ACCELA
031-203-004,031-203-04,2021,,rename,1,ACCELA
031-203-005,031-203-05,2021,,rename,1,ACCELA
031-202-017,031-202-17,2021,,rename,1,ACCELA
031-203-006,031-203-06,2021,,rename,1,ACCELA
031-202-008,031-202-08,2021,,rename,1,ACCELA
031-202-006,031-202-06,2021,,rename,1,ACCELA
031-201-011,031-201-11,2021,,rename,1,ACCELA
031-201-012,031-201-12,2021,,rename,1,ACCELA
031-201-013,031-201-13,2021,,rename,1,ACCELA
031-201-017,031-201-17,2021,,rename,1,ACCELA
031-201-018,031-201-18,2021,,rename,1,ACCELA
031-201-020,031-201-20,2021,,rename,1,ACCELA
031-202-007,031-202-07,2021,,rename,1,ACCELA
031-201-023,031-201-23,2021,,rename,1,ACCELA
031-201-025,031-201-25,2021,,rename,1,ACCELA
031-202-001,031-202-01,2021,,rename,1,ACCELA
031-202-002,031-202-02,2021,,rename,1,ACCELA
031-202-003,031-202-03,2021,,rename,1,ACCELA
031-202-004,031-202-04,2021,,rename,1,ACCELA
031-202-005,031-202-05,2021,,rename,1,ACCELA
031-201-024,031-201-24,2021,,rename,1,ACCELA
031-203-007,031-203-07,2021,,rename,1,ACCELA
031-203-008,031-203-08,2021,,rename,1,ACCELA
031-203-009,031-203-09,2021,,rename,1,ACCELA
031-204-012,031-204-12,2021,,rename,1,ACCELA
031-205-002,031-205-02,2021,,rename,1,ACCELA
031-205-003,031-205-03,2021,,rename,1,ACCELA
031-205-004,031-205-04,2021,,rename,1,ACCELA
031-205-007,031-205-07,2021,,rename,1,ACCELA
031-205-008,031-205-08,2021,,rename,1,ACCELA
031-204-011,031-204-11,2021,,rename,1,ACCELA
031-205-009,031-205-09,2021,,rename,1,ACCELA
031-205-011,031-205-11,2021,,rename,1,ACCELA
031-205-012,031-205-12,2021,,rename,1,ACCELA
031-205-013,031-205-13,2021,,rename,1,ACCELA
031-205-014,031-205-14,2021,,rename,1,ACCELA
031-205-015,031-205-15,2021,,rename,1,ACCELA
031-205-016,031-205-16,2021,,rename,1,ACCELA
031-205-010,031-205-10,2021,,rename,1,ACCELA
031-204-010,031-204-10,2021,,rename,1,ACCELA
031-204-009,031-204-09,2021,,rename,1,ACCELA
031-204-008,031-204-08,2021,,rename,1,ACCELA
031-203-010,031-203-10,2021,,rename,1,ACCELA
031-203-011,031-203-11,2021,,rename,1,ACCELA
031-203-014,031-203-14,2021,,rename,1,ACCELA
031-203-015,031-203-15,2021,,rename,1,ACCELA
031-203-016,031-203-16,2021,,rename,1,ACCELA
031-203-017,031-203-17,2021,,rename,1,ACCELA
031-203-018,031-203-18,2021,,rename,1,ACCELA
031-203-019,031-203-19,2021,,rename,1,ACCELA
031-203-020,031-203-20,2021,,rename,1,ACCELA
031-204-002,031-204-02,2021,,rename,1,ACCELA
031-204-003,031-204-03,2021,,rename,1,ACCELA
031-204-004,031-204-04,2021,,rename,1,ACCELA
031-204-005,031-204-05,2021,,rename,1,ACCELA
031-204-006,031-204-06,2021,,rename,1,ACCELA
031-204-007,031-204-07,2021,,rename,1,ACCELA
031-205-018,031-205-18,2021,,rename,1,ACCELA
031-201-007,031-201-07,2021,,rename,1,ACCELA
031-214-002,031-214-02,2021,,rename,1,ACCELA
031-214-004,031-214-04,2021,,rename,1,ACCELA
031-224-012,031-224-12,2021,,rename,1,ACCELA
031-224-013,031-224-13,2021,,rename,1,ACCELA
031-224-014,031-224-14,2021,,rename,1,ACCELA
031-224-015,031-224-15,2021,,rename,1,ACCELA
031-225-002,031-225-02,2021,,rename,1,ACCELA
031-225-003,031-225-03,2021,,rename,1,ACCELA
031-224-011,031-224-11,2021,,rename,1,ACCELA
031-225-004,031-225-04,2021,,rename,1,ACCELA
031-225-006,031-225-06,2021,,rename,1,ACCELA
031-225-007,031-225-07,2021,,rename,1,ACCELA
031-225-008,031-225-08,2021,,rename,1,ACCELA
031-225-009,031-225-09,2021,,rename,1,ACCELA
031-225-010,031-225-10,2021,,rename,1,ACCELA
031-225-011,031-225-11,2021,,rename,1,ACCELA
031-225-005,031-225-05,2021,,rename,1,ACCELA
031-226-002,031-226-02,2021,,rename,1,ACCELA
031-224-010,031-224-10,2021,,rename,1,ACCELA
031-224-008,031-224-08,2021,,rename,1,ACCELA
031-223-010,031-223-10,2021,,rename,1,ACCELA
031-223-011,031-223-11,2021,,rename,1,ACCELA
031-223-012,031-223-12,2021,,rename,1,ACCELA
031-223-013,031-223-13,2021,,rename,1,ACCELA
031-223-014,031-223-14,2021,,rename,1,ACCELA
031-223-015,031-223-15,2021,,rename,1,ACCELA
031-224-009,031-224-09,2021,,rename,1,ACCELA
031-223-016,031-223-16,2021,,rename,1,ACCELA
031-224-002,031-224-02,2021,,rename,1,ACCELA
031-224-003,031-224-03,2021,,rename,1,ACCELA
031-224-004,031-224-04,2021,,rename,1,ACCELA
031-224-005,031-224-05,2021,,rename,1,ACCELA
031-224-006,031-224-06,2021,,rename,1,ACCELA
031-224-007,031-224-07,2021,,rename,1,ACCELA
031-223-017,031-223-17,2021,,rename,1,ACCELA
031-226-003,031-226-03,2021,,rename,1,ACCELA
031-226-004,031-226-04,2021,,rename,1,ACCELA
