priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
HIGH: UNKNOWN + no genealogy,027-313-16,EL,UNKNOWN,5,10,"[2012, 2013, 2014, 2015, 2016]",[2017],027-313-02,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,015-304-31,EL,UNKNOWN,4,8,"[2012, 2015, 2016, 2017]","[2013, 2014]",015-304-34,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-617-001,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-617-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-617-002,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-617-008,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-617-003,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-617-004,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-617-007,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-617-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-617-009,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-617-004,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-621-006,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-621-003,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-710-001,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-710-017,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,015-264-17,EL,UNKNOWN,5,5,"[2012, 2014, 2015, 2016, 2017]",[2013],015-264-25,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
