ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReconciliationNote,LoadedAt
8,014-101-03,014-101-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
9,014-101-04,014-101-004,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
10,014-190-09,014-190-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
11,014-200-09,014-200-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
12,014-220-01,014-220-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
28,015-032-27,015-032-027,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
48,015-211-21,015-211-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
50,015-212-10,015-212-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
51,015-213-24,015-213-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
86,015-400-06,015-400-006,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
