ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt
1,007-011-01,007-011-001,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
2,007-011-023,007-011-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
3,007-011-23,007-011-023,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00
4,007-011-23,007-011-023,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
5,014-021-01,014-021-001,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Vacant - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
6,014-021-13,014-021-013,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should remain as 2 units (house and cabin),,Ken,2026-05-04T07:57:36.418395+00:00
7,014-021-13,014-021-013,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,Ken,2026-05-04T07:57:36.418395+00:00
8,014-101-03,014-101-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
9,014-101-04,014-101-004,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
10,014-190-09,014-190-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
11,014-200-09,014-200-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
12,014-220-01,014-220-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,Ken,2026-05-04T07:57:36.418395+00:00
13,014-235-10,014-235-010,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,Ken,2026-05-04T07:57:36.418395+00:00
