APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
015-264-17,2012 Final,1.0,2012,015-264-17,,
015-304-31,2012 Final,2.0,2012,015-304-31,,
016-091-42,2012 Final,1.0,2012,016-091-42,,
016-300-57,2012 Final,1.0,2012,016-300-57,,
027-621-15,2012 Final,1.0,2012,027-621-15,,
029-381-50,2012 Final,20.0,2012,029-381-50,,
033-255-06,2012 Final,1.0,2012,033-255-06,,
033-255-08,2012 Final,1.0,2012,033-255-08,,
035-296-14,2012 Final,1.0,2012,035-296-14,,
036-350-08,2012 Final,1.0,2012,036-350-08,,
036-543-11,2012 Final,1.0,2012,036-543-11,,
092-190-053,2012 Final,1.0,2012,092-190-053,,
097-122-002,2012 Final,1.0,2012,097-122-002,,
097-122-015,2012 Final,1.0,2012,097-122-015,,
097-130-029,2012 Final,1.0,2012,097-130-029,,
112-180-009,2012 Final,1.0,2012,112-180-009,,
112-190-040,2012 Final,1.0,2012,112-190-040,,
117-020-009,2012 Final,1.0,2012,117-020-009,,
117-071-025,2012 Final,1.0,2012,117-071-025,,
122-181-37,2012 Final,1.0,2012,122-181-37,,
123-021-04,2012 Final,1.0,2012,123-021-04,,
123-032-01,2012 Final,4.0,2012,123-032-01,,
126-080-25,2012 Final,1.0,2012,126-080-25,,
1319-30-514-002,2012 Final,1.0,2012,1319-30-514-002,,
1319-30-514-003,2012 Final,1.0,2012,1319-30-514-003,,
1319-30-514-004,2012 Final,1.0,2012,1319-30-514-004,,
1319-30-514-005,2012 Final,1.0,2012,1319-30-514-005,,
1319-30-514-007,2012 Final,1.0,2012,1319-30-514-007,,
1319-30-514-008,2012 Final,1.0,2012,1319-30-514-008,,
1319-30-514-009,2012 Final,1.0,2012,1319-30-514-009,,
1319-30-514-011,2012 Final,1.0,2012,1319-30-514-011,,
1319-30-514-012,2012 Final,1.0,2012,1319-30-514-012,,
1319-30-514-014,2012 Final,1.0,2012,1319-30-514-014,,
1319-30-514-015,2012 Final,1.0,2012,1319-30-514-015,,
1319-30-514-017,2012 Final,1.0,2012,1319-30-514-017,,
1319-30-514-018,2012 Final,1.0,2012,1319-30-514-018,,
1319-30-514-019,2012 Final,1.0,2012,1319-30-514-019,,
1319-30-514-020,2012 Final,1.0,2012,1319-30-514-020,,
1319-30-514-021,2012 Final,1.0,2012,1319-30-514-021,,
1319-30-514-022,2012 Final,1.0,2012,1319-30-514-022,,
1319-30-514-024,2012 Final,1.0,2012,1319-30-514-024,,
1319-30-515-001,2012 Final,1.0,2012,1319-30-515-001,,
1319-30-515-002,2012 Final,1.0,2012,1319-30-515-002,,
1319-30-515-003,2012 Final,1.0,2012,1319-30-515-003,,
1319-30-515-004,2012 Final,1.0,2012,1319-30-515-004,,
1319-30-519-004,2012 Final,1.0,2012,1319-30-519-004,,
1319-30-519-005,2012 Final,1.0,2012,1319-30-519-005,,
1319-30-519-007,2012 Final,1.0,2012,1319-30-519-007,,
1319-30-519-013,2012 Final,1.0,2012,1319-30-519-013,,
1319-30-520-001,2012 Final,1.0,2012,1319-30-520-001,,
1319-30-520-002,2012 Final,1.0,2012,1319-30-520-002,,
