Year,CSV_Total,FC_Total,Diff,Match,qa_check
2012,47408,47310,-98,False,units_total_mismatch
2013,47448,47348,-100,False,units_total_mismatch
2014,47546,47449,-97,False,units_total_mismatch
2015,47624,47527,-97,False,units_total_mismatch
2016,47690,47585,-105,False,units_total_mismatch
2017,47756,47725,-31,False,units_total_mismatch
2018,47817,47791,-26,False,units_total_mismatch
2019,47894,47865,-29,False,units_total_mismatch
2020,48071,48041,-30,False,units_total_mismatch
2021,48197,48163,-34,False,units_total_mismatch
2022,48293,48252,-41,False,units_total_mismatch
2023,48392,48355,-37,False,units_total_mismatch
2024,48576,48379,-197,False,units_total_mismatch
2025,48784,48581,-203,False,units_total_mismatch
