Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
015-331-04,1886,1886,1886,1886,1886,1886,,,,,,,,
015-331-004,,,,,,,1886,1886,1886,1886,1886,1886,1886,1886
015-331-10,5862,5862,5862,5862,5862,5862,,,,,,,,
015-331-010,,,,,,,5862,5862,5862,5862,5862,5862,5862,5862
015-331-28,1856,1856,1856,1856,1856,1856,,,,,,,,
015-331-028,,,,,,,1856,1856,1856,1856,1856,1856,1856,1856
016-292-34,316,316,316,316,316,316,,,,,,,,
016-292-034,,,,,,,316,316,316,,,,,
016-410-11,544,544,544,544,544,544,,,,,,,,
016-410-011,,,,,,,544,544,544,544,544,544,544,544
016-410-10,8592,8592,8592,8592,8592,8592,,,,,,,,
016-410-012,,,,,,,8592,8592,8592,8592,8592,8592,8592,8592
018-320-12,1163,,1163,1163,1163,1163,,,,,,,,
018-320-11,,1163,,,,,,,,,,,,
018-320-018,,,,,,,1163,1163,1163,1163,1163,1163,1163,1163
022-210-30,25780,25780,25780,25780,25780,25780,,,,,,,,
022-210-030,,,,,,,25780,25780,25780,25780,25780,25780,25780,25780
022-210-32,49809,49809,49809,49809,49809,49809,,,,,,,,
022-210-032,,,,,,,49809,49809,49809,49809,49809,49809,49809,49809
023-111-32,4476,4476,4476,4476,4476,4476,,,,,,,,
023-111-032,,,,,,,4476,4476,4476,4476,4476,4476,4476,4476
023-111-36,1812,1812,1812,1812,1812,1812,,,,,,,,
023-111-036,,,,,,,1812,1812,1812,1812,1812,1812,1812,1812
023-111-37,6354,6354,6354,6354,6354,6354,,,,,,,,
023-111-037,,,,,,,6354,6354,6354,6354,6354,6354,6354,6354
023-132-21,820,820,820,820,820,820,,,,,,,,
023-132-021,,,,,,,820,820,820,820,820,820,820,820
023-151-09,1220,1220,1220,1220,1220,1220,,,,,,,,
023-151-009,,,,,,,1220,1220,1220,1220,1220,1220,1220,1220
023-161-17,8454,8454,8454,8454,8454,8454,,,,,,,,
023-161-017,,,,,,,8454,8454,8454,8454,8454,8454,8454,8454
023-161-33,5787,5787,5787,5787,5787,5787,,,,,,,,
023-161-033,,,,,,,5787,5787,5787,5787,5787,5787,5787,5787
023-161-34,3230,3230,3230,3230,3230,3230,,,,,,,,
023-161-034,,,,,,,3230,3230,3230,3230,3230,3230,3230,3230
023-171-10,734,734,734,734,734,734,,,,,,,,
023-171-010,,,,,,,734,734,734,734,734,734,734,734
023-171-11,3425,3425,3425,3425,3425,3425,,,,,,,,
023-171-011,,,,,,,3425,3425,3425,3425,3425,3425,3425,3425
023-171-18,3608,3608,3608,3608,3608,3608,,,,,,,,
023-171-018,,,,,,,3608,3608,3608,3608,3608,3608,3608,3608
023-171-23,12784,12784,12784,12784,12784,12784,,,,,,,,
023-171-023,,,,,,,12784,12784,12784,12784,12784,12784,12784,12784
023-171-24,7075,7075,7075,7075,7075,7075,,,,,,,,
023-171-024,,,,,,,7075,7075,7075,7075,7075,7075,7075,7075
023-172-01,7843,7843,7843,7843,7843,7843,,,,,,,,
023-172-001,,,,,,,7843,7843,7843,7843,7843,7843,7843,7843
023-172-022,,,,,,,1067,1067,1067,1067,1067,1067,1067,1067
023-172-034,,,,,,,2557,2557,2557,2557,2557,2557,2557,2557
023-172-035,,,,,,,100,100,100,100,100,100,100,100
023-172-22,1067,1067,1067,1067,1067,1067,,,,,,,,
023-172-34,2557,2557,2557,2557,2557,2557,,,,,,,,
023-172-35,100,100,100,100,100,100,,,,,,,,
023-181-010,,,,,,,7668,7668,7668,7668,7668,7668,7668,7668
023-181-019,,,,,,,2483,2483,2483,2483,2483,2483,2483,2483
023-181-022,,,,,,,2814,2814,2814,2814,2814,2814,2814,2814
023-181-10,7668,7668,7668,7668,7668,7668,,,,,,,,
023-181-19,2483,2483,2483,2483,2483,2483,,,,,,,,
023-181-22,2814,2814,2814,2814,2814,2814,,,,,,,,
023-181-038,,,,,,,,,,,2520,2520,2520,2520
023-181-43,3924,3924,3924,3924,3924,3924,,,,,,,,
023-181-47,1716,1716,1716,1716,1716,1716,,,,,,,,
023-181-043,,,,,,,3924,3924,3924,3924,3924,3924,3924,3924
023-181-047,,,,,,,1716,1716,1716,1716,1716,1716,1716,1716
023-182-01,13860,13860,13860,13860,13860,13860,,,,,,,,
023-182-001,,,,,,,13860,13860,13860,13860,13860,13860,13860,13860
023-182-06,1525,1525,1525,1525,1525,1525,,,,,,,,
023-182-006,,,,,,,1525,1525,1525,1525,1525,1525,1525,1525
023-182-29,1791,1791,1791,1791,1791,1791,,,,,,,,
023-182-30,4617,4617,4617,4617,4617,4617,,,,,,,,
023-182-029,,,,,,,1791,1791,1791,1791,1791,1791,1791,1791
023-182-030,,,,,,,4617,4617,4617,4617,4617,4617,4617,4617
023-191-18,4431,4431,4431,4431,4431,4431,,,,,,,,
023-191-21,9918,9918,9918,9918,9918,9918,,,,,,,,
023-191-23,14782,14782,14782,14782,14782,14782,,,,,,,,
023-191-018,,,,,,,4431,4431,4431,4431,4431,4431,4431,4431
023-191-021,,,,,,,9918,9918,9918,9918,9918,9918,9918,9918
023-191-023,,,,,,,14782,14782,14782,14782,14782,14782,14782,14782
023-192-008,,,,,,,5656,5656,5656,5656,5656,5656,5656,5656
023-192-08,5656,5656,5656,5656,5656,5656,,,,,,,,
023-201-04,5687,5687,5687,5687,5687,5687,,,,,,,,
023-201-004,,,,,,,5687,5687,5687,5687,5687,5687,5687,5687
023-201-11,24779,24779,24779,24779,24779,24779,,,,,,,,
023-201-011,,,,,,,24779,24779,24779,24779,24779,24779,24779,24779
023-201-21,16862,16862,16862,16862,16862,16862,,,,,,,,
023-201-021,,,,,,,16862,16862,16862,16862,16862,16862,16862,16862
023-201-22,2080,2080,2080,2080,2080,2080,,,,,,,,
023-201-29,14604,14604,14604,14604,14604,14604,,,,,,,,
023-201-30,9429,9429,9429,9429,9429,9429,,,,,,,,
023-201-36,2730,2730,2730,2730,2730,2730,,,,,,,,
023-201-38,2343,2343,2343,2343,2343,2343,,,,,,,,
023-201-022,,,,,,,2080,2080,2080,2080,2080,2080,2080,2080
023-201-029,,,,,,,14604,14604,14604,14604,14604,14604,14604,14604
023-201-030,,,,,,,9429,9429,9429,9429,9429,9429,9429,9429
023-201-036,,,,,,,2730,2730,2730,2730,2730,2730,2730,2730
023-201-038,,,,,,,2343,2343,2343,2343,2343,2343,2343,2343
023-201-042,,,,,,,3077,3077,3077,3077,3077,3077,3077,3077
023-201-043,,,,,,,953,953,953,953,953,953,953,953
023-201-044,,,,,,,176,176,176,176,176,176,176,176
023-201-053,,,,,,,10701,10701,10701,10701,10701,10701,10701,10701
023-201-055,,,,,,,2610,2610,2610,2610,2610,2610,2610,2610
023-201-057,,,,,,,5763,5763,5763,5763,5763,5763,5763,5763
