"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Commercial Floor Area (CFA) - Bijou/Al Tahoe Community Plan","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","6,150","2","","Yes"
"Commercial Floor Area (CFA) - California North Stateline Town Center (inactive)","Commercial Floor Area (CFA)","Placer County, CA (PLCO)","0","0","Formerly called the ""CA North Stateline Community Plan (032), which was separated from the NV North Stateline CP as part of the RPU.

4500 sf were in this pool at the time of the RPU. 

With the adoption of the Placer County Tahoe Basin Area Plan, this pool was retired and moved into the ""North Tahoe East Mixed Use Subdistrict""","No"
"Commercial Floor Area (CFA) - Carnelian Bay Community Plan (inactive)","Commercial Floor Area (CFA)","Placer County, CA (PLCO)","0","0","This pool became inactive with the adoption of the Placer County Area Plan. At the time it was inactivated it had 1,250 sf of CFA in it which was moved to the Placer County General CFA Pool.","No"
"Commercial Floor Area (CFA) - CSLT 2007 EIP Second Round","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","6,883","4","","Yes"
"Commercial Floor Area (CFA) - CSLT Accomplishment of EIP in CP","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","0","4","","Yes"
"Commercial Floor Area (CFA) - CSLT Area Outside of CPS","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","0","0","","Yes"
"Commercial Floor Area (CFA) - CSLT Community Plan Recharge","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","636","8","","Yes"
"Commercial Floor Area (CFA) - CSLT Pre CP Adoption","Commercial Floor Area (CFA)","City of South Lake Tahoe (CSLT)","0","0","","Yes"
"Commercial Floor Area (CFA) - Douglas non-community plan (inactive)","Commercial Floor Area (CFA)","Douglas County, NV (DGCO)","0","0","","No"
"Commercial Floor Area (CFA) - El Dorado non-community plan","Commercial Floor Area (CFA)","El Dorado County, CA (ELDO)","0","0","","Yes"
"Commercial Floor Area (CFA) - Greater Tahoe City Mixed Use Subdistrict","Commercial Floor Area (CFA)","Placer County, CA (PLCO)","19,655","1","This pool was formerly called ""Tahoe City Community Plan"" but was renamed in 2018 to align with the new Placer County Area Plan.","Yes"
"Commercial Floor Area (CFA) - Incline Village Com. Community Plan (inactive)","Commercial Floor Area (CFA)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
"Commercial Floor Area (CFA) - Incline Village Tourist Community Plan (inactive)","Commercial Floor Area (CFA)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
"Commercial Floor Area (CFA) - Kings Beach Ind. Community Plan (inactive)","Commercial Floor Area (CFA)","Placer County, CA (PLCO)","0","0","This pool was made inactive due to the adoption of the Placer County Area Plan which replaced all community plans and plan area statements within Placer County. The remaining 3,456 sf of CFA in this pool was transferred to the Placer County General CFA pool.","No"
"Commercial Floor Area (CFA) - Kingsbury Community Plan (inactive)","Commercial Floor Area (CFA)","Douglas County, NV (DGCO)","0","0","This pool was consolidated into the South Shore Area Plan pool when the Area Plan was adopted","No"
"Commercial Floor Area (CFA) - Meyers Area Plan","Commercial Floor Area (CFA)","El Dorado County, CA (ELDO)","33,395","2","This pool was formerly called the ""Meyers Community Plan"" and was renamed with the adoption of the Meyers Area Plan.","Yes"
"Commercial Floor Area (CFA) - North Stateline Community Plan (033)  (inactive)","Commercial Floor Area (CFA)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
