old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
001-010-11,001-010-13,,,,1,LTINFO
001-010-13,1418-00-001-010,,,,1,LTINFO
001-020-01,1418-00-001-001,,,,1,LTINFO
001-020-04,001-020-14,,,,1,LTINFO
001-020-04,001-020-15,,,,1,LTINFO
001-020-05,001-020-16,,,,1,LTINFO
001-020-05,1418-03-401-006,,,,1,LTINFO
001-020-14,1418-03-401-001,,,,1,LTINFO
001-020-15,1418-03-401-005,,,,1,LTINFO
001-020-15,1418-10-511-010,,,,1,LTINFO
001-020-16,1418-03-401-002,,,,1,LTINFO
001-030-01,001-030-14,,,,1,LTINFO
001-030-03,1418-03-401-011,,,,1,LTINFO
001-030-04,1418-03-401-012,,,,1,LTINFO
001-030-06,1418-03-401-015,,,,1,LTINFO
001-030-07,001-030-16,,,,1,LTINFO
001-030-14,1418-03-401-010,,,,1,LTINFO
001-030-16,1418-03-401-014,,,,1,LTINFO
001-030-19,1418-03-301-010,,,,1,LTINFO
001-030-22,1418-03-301-008,,,,1,LTINFO
001-040-02,1418-03-801-001,,,,1,LTINFO
001-040-04,1418-03-801-004,,,,1,LTINFO
001-040-08,1418-03-802-002,,,,1,LTINFO
001-040-11,1418-03-802-006,,,,1,LTINFO
001-040-16,1418-10-502-002,,,,1,LTINFO
001-040-19,1418-10-502-004,,,,1,LTINFO
001-040-22,001-040-31,,,,1,LTINFO
001-040-24,1418-03-402-001,,,,1,LTINFO
001-040-28,1418-10-501-002,,,,1,LTINFO
001-040-31,1418-03-801-002,,,,1,LTINFO
001-050-05,1418-11-303-001,,,,1,LTINFO
001-050-06,1418-11-303-002,,,,1,LTINFO
001-050-15,1418-10-601-001,,,,1,LTINFO
001-050-17,1418-10-602-001,,,,1,LTINFO
001-050-25,1418-11-201-001,,,,1,LTINFO
001-050-28,001-050-34,,,,1,LTINFO
001-050-34,1418-10-602-002,,,,1,LTINFO
001-060-03,001-060-13,,,,1,LTINFO
001-060-03,001-060-14,,,,1,LTINFO
001-060-06,1418-10-501-009,,,,1,LTINFO
001-060-07,1418-10-501-008,,,,1,LTINFO
001-060-11,1418-10-510-002,,,,1,LTINFO
001-060-13,1418-10-501-006,,,,1,LTINFO
001-060-14,1418-10-501-007,,,,1,LTINFO
001-070-05,1418-10-702-007,,,,1,LTINFO
001-070-16,1418-10-802-002,,,,1,LTINFO
001-070-17,1418-10-802-001,,,,1,LTINFO
001-070-18,001-070-19,,,,1,LTINFO
001-070-19,001-070-21,,,,1,LTINFO
001-070-20,1418-10-701-001,,,,1,LTINFO
001-070-21,001-070-23,,,,1,LTINFO
001-070-23,001-070-24,,,,1,LTINFO
001-070-24,001-070-27,,,,1,LTINFO
001-070-27,001-070-28,,,,1,LTINFO
001-070-28,1418-10-802-003,,,,1,LTINFO
001-080-01,1418-15-101-001,,,,1,LTINFO
001-080-02,1418-10-401-001,,,,1,LTINFO
001-080-03,1418-10-401-002,,,,1,LTINFO
001-080-09,001-080-24,,,,1,LTINFO
001-080-12,1418-10-801-003,,,,1,LTINFO
001-080-18,1418-10-401-003,,,,1,LTINFO
001-080-21,1418-10-801-005,,,,1,LTINFO
001-080-24,001-080-28,,,,1,LTINFO
001-080-27,1418-10-801-006,,,,1,LTINFO
001-080-28,1418-10-801-007,,,,1,LTINFO
001-090-12,1418-11-310-001,,,,1,LTINFO
001-090-21,1418-03-301-009,,,,1,LTINFO
001-090-28,001-090-31,,,,1,LTINFO
001-090-30,1418-11-110-001,,,,1,LTINFO
001-090-31,001-090-34,,,,1,LTINFO
