old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
125-232-27,125-232-21,2013,0.8994,split,1,SPATIAL
094-171-009,094-171-007,2013,0.9443,merge,1,SPATIAL
017-041-34,017-041-20,2013,0.9301,rename,1,SPATIAL
093-042-040,093-042-006,2013,0.8103,split,1,SPATIAL
090-071-036,090-071-029,2013,0.9618,rename,1,SPATIAL
098-010-038,098-010-034,2013,1.0,rename,1,SPATIAL
094-140-066,094-140-063,2013,0.9128,merge,1,SPATIAL
093-042-037,093-042-009,2013,0.7835,split,1,SPATIAL
112-190-065,112-190-062,2013,0.9763,rename,1,SPATIAL
093-020-026,093-020-022,2013,0.9661,rename,1,SPATIAL
116-220-062,116-220-060,2013,0.933,rename,1,SPATIAL
1418-34-310-013,1418-34-310-012,2013,1.0,rename,1,SPATIAL
036-530-27,036-530-23,2013,0.8323,split,1,SPATIAL
093-042-039,093-042-007,2013,0.7547,split,1,SPATIAL
117-071-050,117-071-041,2013,0.9969,merge,1,SPATIAL
098-010-040,098-010-035,2013,0.754,split,1,SPATIAL
023-341-21,023-341-03,2013,1.0,merge,1,SPATIAL
090-074-027,090-074-009,2013,0.6902,split,1,SPATIAL
097-130-042,097-130-029,2013,1.0,merge,1,SPATIAL
123-161-32,123-161-04,2013,0.9609,rename,1,SPATIAL
1318-15-711-030,1318-15-711-029,2013,1.0,rename,1,SPATIAL
094-140-068,094-140-063,2013,0.9214,merge,1,SPATIAL
125-163-39,125-163-32,2013,0.9586,rename,1,SPATIAL
1318-27-001-013,1318-27-001-008,2013,0.938,rename,1,SPATIAL
092-160-032,092-160-020,2013,0.9276,rename,1,SPATIAL
026-086-13,026-086-08,2013,1.0,rename,1,SPATIAL
084-151-029,084-151-004,2013,1.0,rename,1,SPATIAL
028-301-65,028-301-25,2013,0.8847,split,1,SPATIAL
036-530-28,036-350-08,2013,0.5591,split,1,SPATIAL
097-130-040,097-130-028,2013,1.0,merge,1,SPATIAL
097-130-039,097-130-028,2013,0.7516,merge,1,SPATIAL
016-332-42,016-332-24,2013,0.8195,split,1,SPATIAL
018-300-25,018-300-11,2013,1.0,merge,1,SPATIAL
1418-34-211-046,1418-34-211-028,2013,0.7594,split,1,SPATIAL
123-145-21,123-145-02,2013,0.9978,rename,1,SPATIAL
1319-19-201-004,1319-19-201-001,2013,1.0,rename,1,SPATIAL
018-130-32,018-130-27,2013,0.9999,merge,1,SPATIAL
031-020-50,031-020-48,2013,0.9993,merge,1,SPATIAL
1418-10-702-008,1418-10-702-005,2013,0.8652,split,1,SPATIAL
090-134-054,090-134-001,2013,0.9912,rename,1,SPATIAL
125-172-35,125-174-00,2013,1.0,rename,1,SPATIAL
117-180-062,117-180-053,2013,0.9832,rename,1,SPATIAL
126-082-66,126-082-08,2013,0.789,split,1,SPATIAL
123-131-05,123-131-01,2013,0.7112,merge,1,SPATIAL
125-172-36,125-173-00,2013,1.0,rename,1,SPATIAL
093-043-004,093-043-002,2013,0.9999,rename,1,SPATIAL
021-241-07,021-241-01,2013,0.9779,merge,1,SPATIAL
029-095-25,029-095-19,2013,1.0,rename,1,SPATIAL
097-130-038,097-130-027,2013,1.0,rename,1,SPATIAL
093-052-014,093-052-013,2013,1.0,rename,1,SPATIAL
1319-30-610-003,1319-30-610-002,2013,1.0,merge,1,SPATIAL
034-722-44,034-722-04,2013,0.5041,split,1,SPATIAL
093-042-032,093-042-015,2013,0.8108,split,1,SPATIAL
1319-30-610-004,1319-30-610-002,2013,1.0,merge,1,SPATIAL
032-314-37,032-314-14,2013,1.0,merge,1,SPATIAL
094-540-028,094-540-013,2013,0.9641,merge,1,SPATIAL
018-300-24,018-300-11,2013,1.0,merge,1,SPATIAL
1418-27-601-008,1418-27-601-004,2013,0.583,merge,1,SPATIAL
092-160-033,092-160-021,2013,0.9837,rename,1,SPATIAL
130-241-64,130-241-33,2013,0.8288,split,1,SPATIAL
029-095-26,029-095-20,2013,0.9304,rename,1,SPATIAL
094-233-015,094-233-005,2013,0.9866,rename,1,SPATIAL
027-361-15,027-361-14,2013,0.5357,merge,1,SPATIAL
025-224-20,025-224-18,2013,1.0,merge,1,SPATIAL
090-222-051,090-222-007,2013,0.7577,merge,1,SPATIAL
130-241-63,130-241-32,2013,0.9564,rename,1,SPATIAL
027-323-20,027-323-10,2013,0.9206,merge,1,SPATIAL
125-163-38,125-163-33,2013,0.9951,rename,1,SPATIAL
083-085-042,083-085-035,2013,0.7623,merge,1,SPATIAL
090-135-043,090-135-037,2013,1.0,rename,1,SPATIAL
036-472-09,036-472-08,2013,0.5,split,1,SPATIAL
084-151-030,084-151-017,2013,0.6687,split,1,SPATIAL
