APN,Year,Tourist_Units,CommercialFloorArea_SqFt
015-331-004,2018,7,1886.0
015-331-004,2019,7,1886.0
015-331-004,2020,7,1886.0
015-331-004,2021,7,1886.0
015-331-004,2022,7,1886.0
015-331-004,2023,7,1886.0
015-331-004,2024,7,1886.0
015-331-005,2018,12,0.0
015-331-005,2019,12,0.0
015-331-005,2020,12,0.0
015-331-005,2021,12,0.0
015-331-005,2022,12,0.0
015-331-005,2023,12,0.0
015-331-005,2024,12,0.0
015-331-010,2018,0,5862.0
015-331-010,2019,0,5862.0
015-331-010,2020,0,5862.0
015-331-010,2021,0,5862.0
015-331-010,2022,0,5862.0
015-331-010,2023,0,5862.0
015-331-010,2024,0,5862.0
015-331-028,2018,0,1856.0
015-331-028,2019,0,1856.0
015-331-028,2020,0,1856.0
015-331-028,2021,0,1856.0
015-331-028,2022,0,1856.0
015-331-028,2023,0,1856.0
015-331-028,2024,0,1856.0
015-331-04,2012,7,1886.0
015-331-05,2012,12,0.0
015-331-10,2012,0,5862.0
015-331-28,2012,0,1856.0
016-041-010,2018,22,0.0
016-041-010,2019,22,0.0
016-041-010,2020,22,0.0
016-041-010,2021,22,0.0
016-041-010,2022,22,0.0
016-041-010,2023,22,0.0
016-041-010,2024,22,0.0
016-041-10,2012,22,0.0
016-292-034,2018,0,124.0
016-292-034,2019,0,124.0
016-292-034,2020,0,124.0
016-292-34,2012,0,124.0
016-410-011,2018,0,544.0
016-410-011,2019,0,544.0
016-410-011,2020,0,544.0
016-410-011,2021,0,544.0
016-410-011,2022,0,544.0
016-410-011,2023,0,544.0
016-410-011,2024,0,544.0
016-410-012,2018,0,8592.0
016-410-012,2019,0,8592.0
016-410-012,2020,0,8592.0
016-410-012,2021,0,8592.0
016-410-012,2022,0,8592.0
016-410-012,2023,0,8592.0
016-410-012,2024,0,8592.0
016-410-10,2012,0,8592.0
016-410-11,2012,0,544.0
018-320-018,2018,0,1163.0
018-320-018,2019,0,1163.0
018-320-018,2020,0,1163.0
018-320-018,2021,0,1163.0
018-320-018,2022,0,1163.0
018-320-018,2023,0,1163.0
018-320-018,2024,0,1163.0
018-320-12,2012,0,1163.0
022-210-030,2018,0,25780.0
022-210-030,2019,0,25780.0
022-210-030,2020,0,25780.0
022-210-030,2021,0,25780.0
022-210-030,2022,0,25780.0
022-210-030,2023,0,25780.0
022-210-030,2024,0,25780.0
022-210-30,2012,0,25780.0
023-111-032,2018,0,4476.0
023-111-032,2019,0,4476.0
023-111-032,2020,0,4476.0
