Transaction Number,Development Right,Jurisdiction Pool,Transaction Status,Created Year,Allocated Quantity
N/A,Commercial Floor Area (CFA),TRPA,Draft,2014,23237
TRPA-ALLOC-1051,Commercial Floor Area (CFA),TRPA,Draft,2020,23156
CSLT-ALLOC-2552,Commercial Floor Area (CFA),CSLT,Draft,2024,6025
TRPA-ALLOC-1977,Commercial Floor Area (CFA),WA,Approved,2022,5226
TRPA-ALLOC-444,Commercial Floor Area (CFA),CSLT,Approved,2016,5000
TRPA-ALLOC-442,Commercial Floor Area (CFA),CSLT,Approved,2016,5000
CSLT-ALLOC-776,Commercial Floor Area (CFA),CSLT,Approved,2019,4689
TRPA-ALLOC-443,Commercial Floor Area (CFA),CSLT,Approved,2016,3847
TRPA-ALLOC-445,Commercial Floor Area (CFA),CSLT,Approved,2016,3176
TRPA-ALLOC-1777,Commercial Floor Area (CFA),WA,Approved,2021,2974
CSLT-ALLOC-1804,Commercial Floor Area (CFA),CSLT,Approved,2021,2800
TRPA-ALLOC-448,Commercial Floor Area (CFA),DG,Approved,2016,2730
CSLT-ALLOC-1002,Commercial Floor Area (CFA),CSLT,Proposed,2020,2520
TRPA-ALLOC-438,Commercial Floor Area (CFA),EL,Approved,2016,2500
TRPA-ALLOC-773,Commercial Floor Area (CFA),PL,Approved,2019,1828
CSLT-ALLOC-330,Commercial Floor Area (CFA),CSLT,Approved,2015,1460
CSLT-ALLOC-2368,Commercial Floor Area (CFA),CSLT,Draft,2024,1407
CSLT-ALLOC-777,Commercial Floor Area (CFA),CSLT,Approved,2019,1386
TRPA-ALLOC-2949,Commercial Floor Area (CFA),CSLT,Draft,2025,1333
CSLT-ALLOC-2551,Commercial Floor Area (CFA),CSLT,Draft,2024,1331
TRPA-ALLOC-441,Commercial Floor Area (CFA),CSLT,Approved,2016,1307
TRPA-ALLOC-2402,Commercial Floor Area (CFA),CSLT,Approved,2024,1147
CSLT-ALLOC-2031,Commercial Floor Area (CFA),CSLT,Approved,2022,1141
CSLT-ALLOC-1001,Commercial Floor Area (CFA),CSLT,Approved,2020,1124
TRPA-ALLOC-2076,Commercial Floor Area (CFA),PL,Approved,2022,1044
CSLT-ALLOC-2956,Commercial Floor Area (CFA),CSLT,Draft,2025,1033
CSLT-ALLOC-510,Commercial Floor Area (CFA),CSLT,Approved,2017,970
CSLT-ALLOC-2948,Commercial Floor Area (CFA),CSLT,Draft,2025,944
CSLT-ALLOC-2286,Commercial Floor Area (CFA),CSLT,Approved,2023,825
CSLT-ALLOC-2952,Commercial Floor Area (CFA),CSLT,Draft,2025,712
CSLT-ALLOC-509,Commercial Floor Area (CFA),CSLT,Approved,2017,600
CSLT-ALLOC-2951,Commercial Floor Area (CFA),CSLT,Draft,2025,592
TRPA-ALLOC-2950,Commercial Floor Area (CFA),CSLT,Draft,2025,523
TRPA-ALLOC-446,Commercial Floor Area (CFA),CSLT,Approved,2016,486
TRPA-ALLOC-1052,Commercial Floor Area (CFA),PL,Approved,2020,418
CSLT-ALLOC-2953,Commercial Floor Area (CFA),CSLT,Draft,2025,405
CSLT-ALLOC-2955,Commercial Floor Area (CFA),CSLT,Draft,2025,350
TRPA-ALLOC-439,Commercial Floor Area (CFA),EL,Approved,2016,255
CSLT-ALLOC-507,Commercial Floor Area (CFA),CSLT,Approved,2017,184
N/A,Tourist Accommodation Unit (TAU),TRPA,Draft,2014,50
N/A,Tourist Accommodation Unit (TAU),TRPA,Draft,2014,40
N/A,Tourist Accommodation Unit (TAU),TRPA,Draft,2017,48
