APN,2012 Final,2013 Final,2014 Final,2015 Final,2016 Final,2017 Final,2018 Final,2019 Final,2020 Final,2021 Final,2022 Final,2023 Final,2024 Final,2025 Final
007-011-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
007-011-23,3,3,3,3,3,3,3,3,3,3,3,3,3,3
014-021-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-021-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-021-13,2,2,2,2,2,2,2,2,2,2,2,2,2,2
014-091-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-130-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-190-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-200-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-220-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-231-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-231-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-231-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-231-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-232-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-232-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-232-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-232-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-233-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-234-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-235-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-235-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-235-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-236-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-237-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-238-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-241-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-241-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-242-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
014-243-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-243-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-244-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-248-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-248-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-261-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-262-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-271-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-272-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-273-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-274-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-281-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-282-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-283-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-284-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-285-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-285-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-285-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-285-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-285-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-286-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-286-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-286-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-286-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-286-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-291-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
014-292-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
