APN,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
015-331-004,,,,,,,7,7,7,7,7,7,7,7
015-331-005,,,,,,,12,12,12,12,12,12,12,12
015-331-04,7,7,7,7,7,7,,,,,,,,
015-331-05,12,12,12,12,12,12,,,,,,,,
016-041-010,,,,,,,22,22,22,22,22,22,22,22
016-041-10,22,22,22,22,22,22,,,,,,,,
023-111-037,,,,,,,10,10,10,10,10,10,10,10
023-111-046,,,,,,,30,30,30,30,30,30,30,30
023-111-37,10,10,10,10,10,10,,,,,,,,
023-111-46,30,30,30,30,30,30,,,,,,,,
023-132-004,,,,,,,11,11,11,11,11,11,11,11
023-132-023,,,,,,,16,16,16,16,16,16,16,16
023-132-04,11,11,11,11,11,11,,,,,,,,
023-132-23,16,16,16,16,16,16,,,,,,,,
023-141-006,,,,,,,21,21,21,21,21,21,21,21
023-141-06,21,21,21,21,21,21,,,,,,,,
023-161-005,,,,,,,21,21,21,21,21,21,21,21
023-161-006,,,,,,,17,17,17,17,17,17,17,17
023-161-05,21,21,21,21,21,21,,,,,,,,
023-161-06,17,17,17,17,17,17,,,,,,,,
023-211-022,,,,,,,21,21,21,21,21,21,,
023-211-035,,,,,,,18,18,18,18,18,18,18,18
023-211-041,,,,,,,18,18,18,18,18,18,18,18
023-211-22,21,21,21,21,21,21,,,,,,,,
023-211-35,18,18,18,18,18,18,,,,,,,,
023-211-41,18,18,18,18,18,18,,,,,,,,
023-251-030,,,,,,,21,21,21,21,21,21,21,21
023-251-30,21,21,21,21,21,21,,,,,,,,
025-580-007,,,,,,,8,8,8,8,8,8,8,8
025-580-07,8,8,8,8,8,8,,,,,,,,
026-043-015,,,,,,,22,22,22,22,22,22,22,22
026-043-15,22,22,22,22,22,22,,,,,,,,
026-084-006,,,,,,,15,15,15,15,15,15,15,15
026-084-06,15,15,15,15,15,15,,,,,,,,
026-114-026,,,,,,,26,26,26,26,26,26,26,26
026-114-26,26,26,26,26,26,26,,,,,,,,
027-020-010,,,,,,,60,60,60,60,60,60,60,60
027-020-017,,,,,,,50,50,50,50,50,50,50,50
027-020-10,60,60,60,60,60,60,,,,,,,,
027-020-17,50,50,50,50,50,50,,,,,,,,
027-040-033,,,,,,,140,140,140,140,140,140,140,140
027-040-07,110,110,110,110,110,,,,,,,,,
027-040-33,140,140,140,140,140,140,,,,,,,,
027-071-029,,,,,,,54,54,54,54,54,54,54,54
027-071-29,54,54,54,54,54,54,,,,,,,,
027-082-025,,,,,,,11,11,11,11,11,11,11,11
027-082-25,11,11,11,11,11,11,,,,,,,,
027-083-008,,,,,,,120,120,120,120,120,120,120,120
027-083-08,120,120,120,120,120,120,,,,,,,,
027-090-025,,,,,,,261,261,261,261,261,261,261,261
027-090-25,261,261,261,261,261,261,,,,,,,,
027-123-023,,,,,,,24,24,24,24,24,24,24,24
027-123-23,24,24,24,24,24,24,,,,,,,,
027-170-002,,,,,,,65,65,65,65,65,65,65,65
027-170-02,65,65,65,65,65,65,,,,,,,,
027-322-019,,,,,,,12,12,12,12,12,12,12,12
027-322-020,,,,,,,9,9,9,9,9,9,9,9
027-322-19,12,12,12,12,12,12,,,,,,,,
027-322-20,9,9,9,9,9,9,,,,,,,,
027-350-001,,,,,,,36,36,36,36,36,36,36,36
027-350-006,,,,,,,32,32,32,32,32,32,32,32
027-350-01,36,36,36,36,36,36,,,,,,,,
027-350-016,,,,,,,28,28,28,28,28,28,28,28
027-350-020,,,,,,,44,44,44,44,44,44,44,44
027-350-024,,,,,,,29,29,29,29,29,29,29,29
027-350-06,32,32,32,32,32,32,,,,,,,,
027-350-16,28,28,28,28,28,28,,,,,,,,
027-350-20,44,44,44,44,44,44,,,,,,,,
027-350-24,29,29,29,29,29,29,,,,,,,,
027-690-004,,,,,,,364,364,364,364,364,364,364,364
027-690-04,364,364,364,364,364,364,,,,,,,,
028-081-008,,,,,,,12,12,12,12,12,12,12,12
028-081-08,12,12,12,12,12,12,,,,,,,,
028-231-001,,,,,,,160,160,160,160,160,160,160,160
028-231-01,160,160,160,160,160,160,,,,,,,,
029-041-002,,,,,,,20,20,20,20,20,20,20,20
029-041-009,,,,,,,5,5,5,5,5,5,5,5
029-041-017,,,,,,,20,20,20,20,20,20,20,20
029-041-018,,,,,,,5,5,5,5,5,5,5,5
029-041-02,20,20,20,20,20,20,,,,,,,,
029-041-020,,,,,,,19,19,19,19,19,19,19,19
029-041-030,,,,,,,62,62,62,62,62,62,62,62
029-041-041,,,,,,,36,36,36,36,36,36,36,36
029-041-047,,,,,,,23,23,23,23,23,23,23,23
029-041-052,,,,,,,37,37,37,37,37,37,37,37
029-041-055,,,,,,,145,145,145,145,145,145,145,145
029-041-056,,,,,,,17,17,17,17,17,17,17,17
029-041-057,,,,,,,30,30,30,30,30,30,30,30
029-041-060,,,,,,,38,38,38,38,38,38,38,38
029-041-061,,,,,,,20,20,20,20,20,20,20,20
029-041-09,5,5,5,5,5,5,,,,,,,,
029-041-17,20,20,20,20,20,20,,,,,,,,
029-041-18,5,5,5,5,5,5,,,,,,,,
029-041-20,19,19,19,19,19,19,,,,,,,,
029-041-30,62,62,62,62,62,62,,,,,,,,
029-041-41,36,36,36,36,36,36,,,,,,,,
029-041-47,23,23,23,23,23,23,,,,,,,,
029-041-52,37,37,37,37,37,37,,,,,,,,
029-041-55,145,145,145,145,145,145,,,,,,,,
029-041-56,17,17,17,17,17,17,,,,,,,,
029-041-57,30,30,30,30,30,30,,,,,,,,
029-041-60,38,38,38,38,38,38,,,,,,,,
029-041-61,20,20,20,20,20,20,,,,,,,,
029-051-001,,,,,,,38,38,38,38,38,38,38,38
029-051-008,,,,,,,24,24,24,24,24,24,24,24
029-051-01,38,38,38,38,38,38,,,,,,,,
029-051-010,,,,,,,15,15,15,15,21,21,21,21
029-051-019,,,,,,,41,41,41,41,41,41,41,41
029-051-020,,,,,,,57,57,57,57,57,57,57,57
029-051-021,,,,,,,73,73,73,73,73,73,73,73
029-051-08,24,24,24,24,24,24,,,,,,,,
029-051-10,15,15,15,15,15,15,,,,,,,,
029-051-19,41,41,41,41,41,41,,,,,,,,
029-051-20,57,57,57,57,57,57,,,,,,,,
029-051-17,,73,73,,,,,,,,,,,
029-051-21,73,,,73,73,73,,,,,,,,
029-052-001,,,,,,,30,30,30,30,30,30,30,30
029-052-002,,,,,,,12,12,12,12,12,12,12,12
029-052-003,,,,,,,17,17,17,17,17,17,17,17
029-052-009,,,,,,,30,30,30,30,30,30,30,30
029-052-01,30,30,30,30,30,30,,,,,,,,
029-052-013,,,,,,,19,19,19,19,19,19,19,19
029-052-018,,,,,,,34,34,34,34,34,34,34,34
029-052-019,,,,,,,57,57,57,57,57,57,57,57
029-052-02,12,12,12,12,12,12,,,,,,,,
029-052-03,17,17,17,17,17,17,,,,,,,,
029-052-09,30,30,30,30,30,30,,,,,,,,
029-052-13,19,19,19,19,19,19,,,,,,,,
029-052-18,34,34,34,34,34,34,,,,,,,,
029-052-19,57,57,57,57,57,57,,,,,,,,
029-053-008,,,,,,,6,6,6,6,6,6,6,6
029-053-013,,,,,,,62,62,62,62,62,62,62,62
029-053-08,6,6,6,6,6,6,,,,,,,,
029-053-13,62,62,62,62,62,62,,,,,,,,
029-063-002,,,,,,,103,103,103,103,103,103,103,103
029-063-02,103,103,103,103,103,103,,,,,,,,
029-064-004,,,,,,,14,14,14,14,14,14,14,14
029-064-006,,,,,,,21,21,21,21,21,21,21,21
029-064-04,14,14,14,14,14,14,,,,,,,,
029-064-06,21,21,21,21,21,21,,,,,,,,
029-065-001,,,,,,,32,32,32,32,32,32,32,32
029-065-003,,,,,,,19,19,19,19,19,19,19,19
029-065-004,,,,,,,22,22,22,22,22,22,22,22
029-065-01,32,32,32,32,32,32,,,,,,,,
029-065-03,19,19,19,19,19,19,,,,,,,,
029-065-04,22,22,22,22,22,22,,,,,,,,
029-081-002,,,,,,,8,8,8,8,8,8,8,8
029-081-017,,,,,,,22,22,22,22,22,22,22,22
029-081-018,,,,,,,18,18,18,18,18,18,18,18
029-081-02,8,8,8,8,8,8,,,,,,,,
029-081-17,22,22,22,22,22,22,,,,,,,,
029-081-18,18,18,18,18,18,18,,,,,,,,
029-082-017,,,,,,,16,16,16,16,16,16,16,16
029-082-17,16,16,16,16,16,16,,,,,,,,
029-083-020,,,,,,,58,58,58,58,58,58,58,58
029-083-023,,,,,,,116,116,116,116,116,116,116,116
029-083-14,66,66,66,66,66,66,,,,,,,,
029-083-16,27,27,27,27,27,27,,,,,,,,
029-083-016,,,,,,,27,27,27,,,,,
029-083-20,58,58,58,58,58,58,,,,,,,,
029-083-22,50,50,50,50,50,50,,,,,,,,
029-095-007,,,,,,,24,24,24,24,24,24,24,24
029-095-010,,,,,,,65,65,65,65,65,65,65,65
029-095-07,24,24,24,24,24,24,,,,,,,,
029-095-10,65,65,65,65,65,65,,,,,,,,
029-150-007,,,,,,,34,34,34,34,34,34,34,34
029-150-010,,,,,,,28,28,28,28,28,28,28,28
029-150-07,34,34,34,34,34,34,,,,,,,,
029-150-10,28,28,28,28,28,28,,,,,,,,
029-160-003,,,,,,,74,74,74,74,74,74,74,74
029-160-03,74,74,74,74,74,74,,,,,,,,
029-161-005,,,,,,,21,21,21,21,21,21,21,21
029-161-023,,,,,,,21,21,21,21,21,21,21,21
029-161-025,,,,,,,45,45,45,45,45,45,45,45
029-161-05,21,21,21,21,21,21,,,,,,,,
029-161-23,21,21,21,21,21,21,,,,,,,,
029-161-25,45,45,45,45,45,45,,,,,,,,
029-162-002,,,,,,,32,32,32,32,32,32,32,32
029-162-007,,,,,,,36,36,36,36,36,36,36,36
029-162-02,32,32,32,32,32,32,,,,,,,,
029-162-07,36,36,36,36,36,36,,,,,,,,
029-163-013,,,,,,,92,92,92,92,92,92,92,92
029-163-13,92,92,92,92,92,92,,,,,,,,
029-164-001,,,,,,,16,16,16,16,16,16,16,16
029-164-01,16,16,16,16,16,16,,,,,,,,
029-190-032,,,,,,,400,400,400,400,400,400,400,400
029-190-32,400,400,400,400,400,400,,,,,,,,
029-351-001,,,,,,,15,15,15,15,15,15,15,15
029-351-01,15,15,15,15,15,15,,,,,,,,
029-351-020,,,,,,,24,24,24,24,24,24,24,24
029-351-20,24,24,24,24,24,24,,,,,,,,
029-352-010,,,,,,,20,20,20,20,20,20,20,20
029-352-10,20,20,20,20,20,20,,,,,,,,
029-371-016,,,,,,,23,23,23,23,23,23,23,23
029-371-16,23,23,23,23,23,23,,,,,,,,
029-381-049,,,,,,,45,45,45,45,45,45,45,45
029-381-49,45,45,45,45,45,45,,,,,,,,
029-441-018,,,,,,,110,110,110,110,110,110,110,110
