"APN","Record Type","DevelopmentRight","LandCapability","IPESScore","CumulativeBankedQuantity","RemainingBankedQuantity","Jurisdiction","LocalPlan","DateBankedOrApproved","HRA","LastUpdated","TransactionNumber","SendingParcel","ReceivingParcel","LandBank","TransactionApprovalDate"
"015-370-024","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","848","1",,,,,,"10/09/2020","TRPA-ALLOCASSGN-1289","083-102-007",,,"10/09/2020"
"022-222-016","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","486","1",,,,,,"08/26/2014","TRPA-ALLOCASSGN-82","023-644-026",,,"03/10/2014"
"022-342-012","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","647","1",,,,,,"06/08/2016","TRPA-ALLOCASSGN-328","015-113-003",,,"09/03/2015"
"023-481-001","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","989","1",,,,,,"09/20/2017","TRPA-ALLOCASSGN-544","027-074-012",,,"09/20/2017"
"023-481-002","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","989","1",,,,,,"09/20/2017","TRPA-ALLOCASSGN-546","027-074-021",,,"09/20/2017"
"023-903-001","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","939","1",,,,,,"07/24/2019","TRPA-ALLOCASSGN-598","081-093-015",,,
"025-792-007","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","942","1",,,,,,"07/06/2022","TRPA-ALLOCASSGN-2002","023-561-014",,,"07/06/2022"
"026-061-014","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","815","1",,,,,,"03/26/2018","TRPA-ALLOCASSGN-331","026-061-04",,,"05/10/2016"
"027-112-009","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","713","1",,,,,,"11/13/2019","TRPA-ALLOCASSGN-897","027-112-026",,,"09/05/2019"
"028-090-093","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","646","1",,,,,,"06/13/2014","TRPA-ALLOCASSGN-136","033-306-003",,,"06/13/2014"
"028-190-031","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","817","1",,,,,,"05/05/2016","TRPA-ALLOCASSGN-318","033-513-005",,,"07/11/2014"
"029-415-004","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","681","1",,,,,,"10/19/2016","TRPA-ALLOCASSGN-369","023-571-011",,,"08/18/2016"
"029-605-007","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","794","1",,,,,,"10/31/2018","TRPA-ALLOCASSGN-128","025-360-027",,,"04/23/2014"
"030-380-055","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","769","1",,,,,,"06/20/2019","TRPA-ALLOCASSGN-83","081-073-011",,,"03/10/2014"
"031-236-009","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","841","1",,,,,,"12/13/2017","TRPA-ALLOCASSGN-329","031-278-009",,,"11/18/2015"
"034-266-013","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","827","1",,,,,,"09/24/2021","TRPA-ALLOCASSGN-1784","030-581-001",,,"09/21/2021"
"034-583-001","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","953","1",,,,,,"10/07/2021","TRPA-ALLOCASSGN-1798","033-306-007",,,"10/04/2021"
"080-153-002","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","753","1",,,,,,"06/08/2022","TRPA-ALLOCASSGN-1993","033-223-006",,,"06/08/2022"
"081-042-012","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","787","1",,,,,,"12/15/2021","TRPA-ALLOCASSGN-1829","030-581-002",,,
"081-051-001","Allocation Assignment Receiving Parcel","Residential Allocation","IPES","924","1",,,,,,"06/22/2020","TRPA-ALLOCASSGN-1253","081-093-015",,,"05/21/2020"
"015-113-003","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"06/08/2016","TRPA-ALLOCASSGN-328",,"022-342-012",,"09/03/2015"
"023-561-014","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"07/06/2022","TRPA-ALLOCASSGN-2002",,"025-792-007",,"07/06/2022"
"023-571-011","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"10/19/2016","TRPA-ALLOCASSGN-369",,"029-415-004",,"08/18/2016"
"023-644-026","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"08/26/2014","TRPA-ALLOCASSGN-82",,"022-222-016",,"03/10/2014"
"025-360-027","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"10/31/2018","TRPA-ALLOCASSGN-128",,"029-605-007",,"04/23/2014"
"026-061-04","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"03/26/2018","TRPA-ALLOCASSGN-331",,"026-061-014",,"05/10/2016"
"027-074-012","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"09/20/2017","TRPA-ALLOCASSGN-544",,"023-481-001",,"09/20/2017"
"027-074-021","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"09/20/2017","TRPA-ALLOCASSGN-546",,"023-481-002",,"09/20/2017"
"027-112-026","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"11/13/2019","TRPA-ALLOCASSGN-897",,"027-112-009",,"09/05/2019"
"030-581-001","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"09/24/2021","TRPA-ALLOCASSGN-1784",,"034-266-013",,"09/21/2021"
"030-581-002","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"12/15/2021","TRPA-ALLOCASSGN-1829",,"081-042-012",,
"031-278-009","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"12/13/2017","TRPA-ALLOCASSGN-329",,"031-236-009",,"11/18/2015"
"033-223-006","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"06/08/2022","TRPA-ALLOCASSGN-1993",,"080-153-002",,"06/08/2022"
"033-306-003","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"06/13/2014","TRPA-ALLOCASSGN-136",,"028-090-093",,"06/13/2014"
"033-306-007","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"10/07/2021","TRPA-ALLOCASSGN-1798",,"034-583-001",,"10/04/2021"
"033-513-005","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"05/05/2016","TRPA-ALLOCASSGN-318",,"028-190-031",,"07/11/2014"
"081-073-011","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"06/20/2019","TRPA-ALLOCASSGN-83",,"030-380-055",,"03/10/2014"
"081-093-015","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"07/24/2019","TRPA-ALLOCASSGN-598",,"023-903-001",,
"081-093-015","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"06/22/2020","TRPA-ALLOCASSGN-1253",,"081-051-001",,"05/21/2020"
"083-102-007","Allocation Assignment Sending Parcel","Residential Allocation",,,"1",,,,,,"10/09/2020","TRPA-ALLOCASSGN-1289",,"015-370-024",,"10/09/2020"
"014-231-005","Allocation Receiving Parcel","Residential Allocation","IPES","826","1",,,,,,"10/26/2020","EDCCA-ALLOC-1300",,,,"10/13/2020"
"014-232-001","Allocation Receiving Parcel","Residential Allocation","IPES","836","1",,,,,,"10/13/2020","EDCCA-ALLOC-1293",,,,"04/27/2020"
"014-234-002","Allocation Receiving Parcel","Residential Allocation","IPES","846","1",,,,,,"11/19/2021","EDCCA-ALLOC-1825",,,,
"014-234-011","Allocation Receiving Parcel","Residential Allocation","IPES","846","1",,,,,,"10/15/2019","EDCCA-ALLOC-735",,,,"09/14/2018"
"014-242-008","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"08/01/2023","EDCCA-ALLOC-2316",,,,
"014-262-003","Allocation Receiving Parcel","Residential Allocation","IPES","819","1",,,,,,"01/27/2017","EDCCA-ALLOC-499",,,,"01/27/2017"
"014-262-012","Allocation Receiving Parcel","Residential Allocation","IPES","807","1",,,,,,"10/09/2014","EDCCA-ALLOC-218",,,,"06/27/2014"
"014-271-004","Allocation Receiving Parcel","Residential Allocation","IPES","809","1",,,,,,"06/04/2024","EDCCA-ALLOC-2547",,,,
"014-274-007","Allocation Receiving Parcel","Residential Allocation","IPES","868","1",,,,,,"01/12/2021","EDCCA-ALLOC-1375",,,,"05/20/2013"
"014-282-014","Allocation Receiving Parcel","Residential Allocation","IPES","811","1",,,,,,"06/17/2024","EDCCA-ALLOC-2553",,,,
"014-284-005","Allocation Receiving Parcel","Residential Allocation","IPES","787","1",,,,,,"03/30/2017","EDCCA-ALLOC-408",,,,"08/03/2016"
"014-286-003","Allocation Receiving Parcel","Residential Allocation","IPES","805","1",,,,,,"10/09/2014","EDCCA-ALLOC-227",,,,"08/12/2014"
"014-291-006","Allocation Receiving Parcel","Residential Allocation","IPES","797","1",,,,,,"04/24/2023","EDCCA-ALLOC-2214",,,,
"014-301-007","Allocation Receiving Parcel","Residential Allocation","IPES","757","1",,,,,,"10/13/2021","EDCCA-ALLOC-1802",,,,
"014-302-015","Allocation Receiving Parcel","Residential Allocation","IPES","797","1",,,,,,"01/27/2017","EDCCA-ALLOC-504",,,,"01/27/2017"
"014-321-002","Allocation Receiving Parcel","Residential Allocation","IPES","667","1",,,,,,"03/27/2023","EDCCA-ALLOC-2145",,,,
