Year,APN,OID
2012,010-170-01,578439.0
2012,010-170-02,578437.0
2012,010-180-04,579066.0
2012,010-190-01,578814.0
2012,010-190-02,578551.0
2012,010-190-03,579041.0
2012,010-190-05,578552.0
2012,010-190-06,579055.0
2012,010-190-07,579023.0
2012,010-210-01,581707.0
2012,010-210-02,581712.0
2012,010-210-03,581713.0
2012,010-210-04,581754.0
2012,010-210-05,581753.0
2012,010-210-06,581751.0
2012,010-230-01,581766.0
2012,010-230-02,581767.0
2012,010-250-01,585561.0
2012,010-250-06,550516.0
2012,013-020-01,569822.0
2012,013-020-06,583276.0
2012,013-040-02,591842.0
2012,014-080-04,548656.0
2012,014-210-01,549130.0
2012,014-247-06,542818.0
2012,014-247-07,542816.0
2012,014-247-08,542820.0
2012,014-247-09,542819.0
2012,014-247-10,542817.0
2012,014-247-11,593061.0
2012,014-247-12,593060.0
2012,014-247-13,593059.0
2012,015-032-26,595725.0
2012,015-032-28,595724.0
2012,015-032-29,595763.0
2012,015-104-21,574401.0
2012,015-104-22,574416.0
2012,015-111-03,574243.0
2012,015-111-04,574242.0
2012,015-112-13,593054.0
2012,015-112-14,593055.0
2012,015-162-24,574435.0
2012,015-201-25,596149.0
2012,015-201-26,596150.0
2012,015-211-22,593056.0
2012,015-211-23,593057.0
2012,015-213-25,595751.0
2012,015-213-26,595750.0
2012,015-213-27,595749.0
2012,015-251-29,574881.0
2012,015-251-30,574861.0
2012,015-254-35,575001.0
2012,015-254-37,575002.0
2012,015-254-38,574980.0
2012,015-264-24,598982.0
2012,015-264-25,598983.0
2012,015-302-35,578374.0
2012,015-302-38,593058.0
2012,015-302-39,578357.0
2012,015-304-33,599020.0
2012,015-304-34,599019.0
2012,015-314-29,578393.0
2012,015-314-30,578362.0
2012,015-315-15,542822.0
2012,015-315-16,542821.0
2012,015-322-27,598984.0
2012,015-322-28,598985.0
2012,015-351-10,573784.0
2012,015-351-14,573817.0
2012,015-351-16,573838.0
2012,016-091-50,595748.0
2012,016-091-51,595747.0
