old_apn,new_apn,change_year,change_type,is_primary,year_source,notes_excerpt,source,fc_last_year,fc_new_first
132-231-10,132-630-01,2024.0,rename,1,old_apn_last+1,NOTE #1: APN 132-231-11 existed inside the boundaries of 132-231-10 and has been absorbed into APN 132-231-10.  NOTE #2:,notes_2,2023,2024
117-071-054,117-071-055,2024.0,rename,1,old_apn_last+1,"NOTE #1: APNs 117-071-053 & 117-071-054 are part of a deed restricted ""project area"". These parcels are permanently deed",notes_2,2023,2024
117-071-044,117-071-053,2023.0,split,1,old_apn_last+1,NOTE 1: 117-071-015 & 117-071-044 are part of a deed restricted project area. These parcels are permanently deed restric,notes_2,2022,2023
117-071-044,117-071-054,2023.0,split,0,old_apn_last+1,NOTE 1: 117-071-015 & 117-071-044 are part of a deed restricted project area. These parcels are permanently deed restric,notes_2,2022,2023
130-312-28,130-241-56,2026.0,split,1,old_apn_last+1,"Previous APN's: 130-241-41, 130-312-24 & 130-312-17 were combined to form 130-312-26, which was subsequently split to fo",notes_2,2025,2012
130-312-28,130-312-27,2026.0,split,0,old_apn_last+1,"Previous APN's: 130-241-41, 130-312-24 & 130-312-17 were combined to form 130-312-26, which was subsequently split to fo",notes_2,2025,2012
130-312-28,130-312-28,2026.0,split,0,old_apn_last+1,"Previous APN's: 130-241-41, 130-312-24 & 130-312-17 were combined to form 130-312-26, which was subsequently split to fo",notes_2,2025,2012
130-312-28,130-312-17,2026.0,split,0,old_apn_last+1,"Previous APN's: 130-241-41, 130-312-24 & 130-312-17 were combined to form 130-312-26, which was subsequently split to fo",notes_2,2025,
117-010-011,117-010-013,2012.0,split,1,new_apn_first,"Previous APN: 117-010-005 (APN 117-010-005 consisted of two sections: one on the lakeshore side of HWY 28 and the other,",notes_2,,2012
117-010-011,117-010-014,2012.0,split,0,new_apn_first,"Previous APN: 117-010-005 (APN 117-010-005 consisted of two sections: one on the lakeshore side of HWY 28 and the other,",notes_2,,2012
117-010-011,117-010-016,2012.0,split,0,new_apn_first,"Previous APN: 117-010-005 (APN 117-010-005 consisted of two sections: one on the lakeshore side of HWY 28 and the other,",notes_2,,2012
097-083-013,097-083-011,2026.0,split,1,old_apn_last+1,Previous APN's: 097-083-009 & 097-083-010 (boundary line was adjusted and resulted in two new APN's: 097-083-011 & 097-0,notes_2,2025,2012
097-083-013,097-083-013,2026.0,split,0,old_apn_last+1,Previous APN's: 097-083-009 & 097-083-010 (boundary line was adjusted and resulted in two new APN's: 097-083-011 & 097-0,notes_2,2025,2012
132-231-09,132-630-01,2024.0,rename,1,old_apn_last+1,"NOTE #1: APNs 132-231-09 and 132-231-10 are part of a deed restricted ""project area"". These parcels are permanently deed",notes_2,2023,2024
123-032-24,123-032-33,2025.0,split,1,old_apn_last+1,"NOTE #1 IPES results listed under 123-032-24. IPES results are for parcel 123-032-23 & 24.  NOTE #2: APNs 123-032-18, 12",notes_2,2024,2025
123-032-24,123-032-34,2025.0,split,0,old_apn_last+1,"NOTE #1 IPES results listed under 123-032-24. IPES results are for parcel 123-032-23 & 24.  NOTE #2: APNs 123-032-18, 12",notes_2,2024,2025
