Year,APN
2012,
2012,014-080-02
2012,014-247-04
2012,015-032-01
2012,015-104-19
2012,015-111-02
2012,015-112-12
2012,015-162-08
2012,015-162-18
2012,015-201-01
2012,015-211-21
2012,015-213-24
2012,015-251-27
2012,015-254-31
2012,015-264-17
2012,015-264-22
2012,015-302-03
2012,015-302-10
2012,015-302-11
2012,015-302-20
2012,015-304-31
2012,015-314-24
2012,015-315-11
2012,015-322-12
2012,016-091-42
2012,016-211-14
2012,016-251-03
2012,016-300-21
2012,016-300-24
2012,016-300-56
2012,016-300-57
2012,016-332-24
2012,016-544-16
2012,017-021-15
2012,017-021-27
2012,017-041-19
2012,017-041-20
2012,018-090-12
2012,018-090-58
2012,018-130-27
2012,018-280-03
2012,018-282-09
2012,018-300-04
2012,018-300-06
2012,018-300-11
2012,018-320-08
2012,019-030-06
2012,019-030-07
2012,019-050-12
2012,019-050-13
2012,019-061-03
2012,019-071-05
2012,021-011-03
2012,021-021-03
2012,021-031-18
2012,021-031-27
2012,021-031-28
2012,021-201-10
2012,021-221-02
2012,021-241-01
2012,021-241-04
2012,021-251-12
2012,021-321-29
2012,021-321-30
2012,021-331-05
2012,021-331-08
2012,021-331-13
2012,021-381-04
2012,021-391-01
2012,021-420-27
2012,021-420-54
2012,022-122-17
2012,022-161-08
2012,022-161-09
2012,022-171-73
2012,022-181-16
2012,022-181-17
2012,022-331-25
2012,022-332-37
2012,022-332-38
2012,022-343-07
2012,022-343-21
2012,023-101-32
2012,023-201-02
2012,023-201-69
2012,023-201-73
2012,023-221-25
2012,023-271-02
2012,023-311-01
2012,023-311-02
2012,023-311-10
2012,023-311-11
2012,023-341-03
2012,023-491-23
2012,023-491-28
2012,023-501-25
2012,023-501-26
2012,023-601-07
2012,023-601-08
2012,023-700-01
2012,023-744-30
2012,023-891-01
2012,023-891-02
2012,025-010-52
2012,025-010-53
2012,025-041-12
2012,025-041-13
2012,025-051-27
2012,025-211-07
2012,025-211-16
2012,025-211-17
2012,025-224-18
2012,025-225-04
2012,025-225-05
2012,025-225-06
2012,025-271-04
2012,025-271-05
2012,025-312-18
2012,025-312-19
2012,025-360-16
2012,025-382-04
2012,025-382-05
2012,025-382-07
2012,025-382-10
2012,025-443-14
2012,025-481-56
2012,025-510-35
2012,025-510-90
2012,025-510-91
2012,025-813-02
2012,025-813-03
2012,025-813-20
2012,025-881-04
2012,025-881-05
2012,026-026-09
2012,026-031-03
2012,026-037-06
2012,026-038-01
2012,026-043-04
2012,026-043-06
2012,026-043-07
2012,026-045-01
2012,026-046-17
2012,026-074-06
2012,026-074-14
2012,026-082-01
2012,026-082-05
2012,026-086-08
2012,026-091-05
2012,026-091-06
2012,026-098-19
2012,026-099-04
2012,026-099-05
2012,026-099-08
2012,026-105-16
2012,026-111-06
2012,026-190-02
2012,026-221-32
2012,026-221-33
2012,026-221-34
2012,027-010-04
2012,027-010-08
2012,027-010-10
2012,027-010-11
2012,027-010-18
2012,027-010-20
2012,027-010-21
2012,027-071-02
2012,027-071-25
2012,027-071-26
2012,027-082-31
2012,027-084-25
2012,027-111-02
2012,027-122-13
2012,027-142-28
2012,027-144-25
2012,027-144-26
2012,027-151-30
2012,027-151-31
2012,027-202-06
2012,027-202-11
2012,027-323-10
2012,027-323-16
2012,027-351-01
2012,027-351-05
2012,027-361-14
2012,027-364-20
2012,027-364-24
2012,027-621-15
2012,027-690-13
2012,028-121-15
2012,028-292-01
2012,028-301-25
2012,029-030-02
2012,029-030-03
2012,029-031-01
2012,029-031-02
2012,029-031-04
2012,029-031-05
2012,029-032-01
2012,029-032-02
2012,029-032-03
2012,029-032-04
2012,029-032-07
2012,029-032-08
2012,029-032-09
2012,029-032-10
2012,029-033-01
2012,029-033-02
2012,029-033-03
2012,029-033-04
2012,029-033-06
2012,029-033-07
2012,029-033-08
2012,029-033-10
2012,029-033-11
2012,029-033-12
2012,029-033-13
2012,029-033-14
2012,029-034-01
2012,029-034-02
2012,029-034-03
2012,029-034-04
2012,029-034-05
2012,029-034-06
2012,029-034-07
2012,029-034-09
2012,029-034-10
2012,029-034-11
2012,029-034-12
2012,029-034-13
2012,029-034-14
2012,029-034-16
2012,029-034-17
2012,029-034-18
2012,029-034-19
2012,029-034-21
2012,029-034-23
2012,029-034-24
2012,029-034-28
2012,029-034-30
2012,029-034-31
2012,029-034-34
2012,029-034-35
2012,029-034-36
2012,029-035-01
2012,029-035-02
2012,029-035-06
2012,029-035-07
2012,029-035-09
2012,029-035-10
2012,029-035-11
2012,029-035-12
2012,029-035-14
2012,029-035-15
2012,029-035-16
2012,029-035-17
2012,029-035-18
2012,029-036-01
2012,029-036-02
2012,029-036-03
2012,029-036-04
2012,029-036-06
2012,029-036-09
2012,029-036-10
2012,029-036-11
2012,029-036-12
2012,029-036-13
2012,029-036-14
2012,029-036-16
2012,029-036-22
2012,029-036-23
2012,029-036-24
2012,029-036-25
2012,029-036-27
2012,029-036-28
2012,029-036-32
2012,029-036-33
