Lost_APN,Candidate_New_APN,Confidence,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Total_Units_CSV,Match_Source,Issue_Category
1418-10-802-003,1418-10-802-012,MEDIUM_GAP,2013,2024,2024,61,KK,PARCEL_SPLIT
1418-10-802-011,1418-10-802-004,MEDIUM_GAP,2025,2012,2012,48,KK,UNKNOWN
1418-10-802-008,1418-10-802-012,MEDIUM_GAP,2016,2024,2024,40,KK,PARCEL_SPLIT
097-092-003,097-092-014,MEDIUM_GAP,2016,2023,2023,18,ACCELA,PARCEL_SPLIT
112-190-040,112-190-064,MEDIUM_NEW_ONLY,,2012,2012,14,KK,PARCEL_NEW
018-320-18,018-320-12,MEDIUM_GAP,2025,2012,2012,14,KK,PARCEL_NEW
018-320-18,018-320-11,MEDIUM_GAP,2025,2013,2013,14,KK,PARCEL_NEW
016-300-64,016-300-59,MEDIUM_GAP,2025,2012,2012,14,KK,PARCEL_NEW
126-080-25,126-080-28,MEDIUM_GAP,2013,2022,2022,13,KK,UNKNOWN
097-122-013,097-122-033,MEDIUM_GAP,2020,2024,2024,11,KK,PARCEL_SPLIT
031-213-016,031-213-03,MEDIUM_GAP,2025,2012,2012,11,KK,UNKNOWN
027-313-16,027-313-06,MEDIUM_OLD_ONLY,2025,,2026,10,KK,UNKNOWN
117-230-008,117-230-007,MEDIUM_GAP,2025,2012,2012,10,KK,PARCEL_SPLIT
015-264-017,015-264-25,MEDIUM_GAP,2013,2012,2012,8,KK,PARCEL_NEW
036-543-011,036-472-009,MEDIUM_GAP,2013,2012,2012,8,ACCELA,PARCEL_NEW
1319-30-617-003,1319-30-617-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
093-083-011,093-083-048,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
093-083-009,093-083-046,MEDIUM_GAP,2020,2019,2019,6,ACCELA,PARCEL_SPLIT
093-083-008,093-083-045,MEDIUM_GAP,2020,2019,2019,6,ACCELA,PARCEL_SPLIT
093-083-010,093-083-047,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
090-162-016,090-162-045,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
026-122-033,026-122-036,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
093-083-012,093-083-051,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
1319-30-617-002,1319-30-617-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
026-105-006,026-105-023,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
1319-30-617-007,1319-30-617-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
1319-30-710-001,1319-30-710-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
1319-30-617-001,1319-30-617-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
098-192-002,098-192-011,MEDIUM_GAP,2020,2019,2019,6,ACCELA,PARCEL_SPLIT
098-231-024,098-231-039,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
093-083-014,093-083-050,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
093-083-015,093-083-044,MEDIUM_GAP,2020,2019,2019,6,KK,PARCEL_SPLIT
098-010-036,098-010-041,MEDIUM_GAP,2020,2019,2019,6,ACCELA,PARCEL_SPLIT
1319-30-617-009,1319-30-617-000,MEDIUM_GAP,2025,2012,2012,6,KK,UNKNOWN
1319-30-514-002,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-005,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-011,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-003,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-614-006,1319-30-614-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-004,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-614-004,1319-30-614-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-008,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
115-060-010,115-060-023,MEDIUM_GAP,2016,2023,2023,5,KK,PARCEL_SPLIT
1319-30-514-007,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-014,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-009,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-011,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-012,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-017,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-018,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
