Lost_APN,Candidate_New_APN,Issue_Category,Match_Source,Match_Type,Total_Units_CSV,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Confidence,In_FC_Old,In_FC_New,Promote_Ready,old_apn,new_apn,change_year,change_type,is_primary,year_source,source,fc_last_year,fc_new_first,Old_Unit_Years,New_Unit_Years,Status
129-280-12,129-301-01,PARCEL_SPLIT,ACCELA,accela_rename,36,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-12,129-301-01,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-13,129-301-02,PARCEL_SPLIT,KK,kk_rename,36,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-13,129-301-02,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
084-191-001,084-191-003,PARCEL_SPLIT,KK,kk_rename,18,2019.0,2020.0,2020,HIGH,1,1,YES,084-191-001,084-191-003,2020,rename,1,fc_last_old+1,KK,2019.0,2020.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
084-172-005,084-172-007,PARCEL_SPLIT,ACCELA,accela_rename,18,2016.0,2017.0,2017,HIGH,1,1,YES,084-172-005,084-172-007,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
117-180-038,117-180-065,PARCEL_SPLIT,KK,kk_rename,16,2017.0,2018.0,2018,HIGH,1,1,YES,117-180-038,117-180-065,2018,rename,1,fc_last_old+1,KK,2017.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
115-050-039,115-050-052,PARCEL_SPLIT,ACCELA,accela_rename,14,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,115-050-039,115-050-052,2018,rename,1,fc_first_new,ACCELA,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1318-24-701-008,1318-24-701-010,PARCEL_SPLIT,KK,kk_rename,10,2015.0,2016.0,2016,HIGH,1,1,YES,1318-24-701-008,1318-24-701-010,2016,rename,1,fc_last_old+1,KK,2015.0,2016.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-03-301-002,1418-03-301-013,PARCEL_SPLIT,ACCELA,accela_rename,10,2015.0,2016.0,2016,HIGH,1,1,YES,1418-03-301-002,1418-03-301-013,2016,rename,1,fc_last_old+1,ACCELA,2015.0,2016.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-34-211-046,1418-34-211-048,PARCEL_SPLIT,KK,kk_rename,10,2015.0,2016.0,2016,HIGH,1,1,YES,1418-34-211-046,1418-34-211-048,2016,rename,1,fc_last_old+1,KK,2015.0,2016.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-03,129-292-29,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-03,129-292-29,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-06,129-292-30,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-06,129-292-30,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-02,129-292-28,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-02,129-292-28,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-10,129-292-32,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-10,129-292-32,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
