APN,ParcelTrackerNotes
123-032-01,"Portions of this parcel are now part of APNs 123-032-18, 123-032-19, 123-032-20, 123-032-21, 123-032-22, 123-032-23 and 123-032-24."
016-091-42,New APN's: 016-091-50 and 016-091-51 (parcel was split to form two new APN's)
016-300-57,"New APN's: 016-300-59 & 016-300-60 (APN 016-300-56 was combined with a portion of 016-300-57 to form APN 016-300-60; the remainder of 016-300-57 became APN 016-300-59).
Previous APN's: 016-300-54 & 016-300-25 (all of parcel -25 was combined with a portion of -54 to form 016-300-57)"
033-255-06,
033-255-08,
092-190-053,New APN: 092-190-065 (boundary line adjustment resulted in a new APN).
097-122-002,"New APN: 097-122-028 (parcels 097-122-002, 097-122-014 & 097-122-015 were combined to form a new APN)."
097-122-015,"New APN: 097-122-028 (parcels 097-122-002, 097-122-014 & 097-122-015 were combined to form a new APN)."
112-190-040,
117-071-025,New APN: 117-071-044
122-181-37,
123-021-04,New APNs for portions of this parcel are 123-201-01 (Lot 1) and 123-201-02 (Lot 2).
1418-34-110-039,New APN's: 1418-34-110-059 & 1418-34-110-060 (Parcel was split to form two new APN's)
034-734-026,
1318-22-002-002,"New APNs: 1318-22-310-006 (common area)
                     1318-22-310-001 through 1318-22-310-005 (Bldgs 1-4 & 7)
                     1318-22-710-001 through 1318-22-710-007 (Bldgs 5, 6 & 8-12)
Previous APN: 007-090-06"
1418-34-101-001,"New APN's: 1418-34-113-001 (common area/Lot A), 1418-34-113-002 (common area/Lot B) and 1418-34-113-003 through 1418-34-113-017 (small, individual lots 1 through 017).
Verification file (VBOU2009-0668) banked 5 ERU but also noted that units existed onsite: 3 residential units of use and 17 mobile home units."
027-323-10,New APNs: 027-323-19 & 027-323-20 (APNs 027-323-16 & 027-323-10 were merged and then re-divided into new parcel configurations).
1418-10-802-008,"NOTE: Project area deed restriction on this parcel along with APN 1418-10-702-005. Parcels are treated as permanently merged for the purposes of density calculation.
Land Capability Challenge and Land Capability Challenge Appeal on file for various parts of parcel."
090-124-018,NOTE: No verifications of land class or existing coverage have been conducted on this parcel.
095-130-007,"New APNs: 095-130-014, 095-130-013 & 095-130-012 (a portion of -007 was combined with 095-140-001 & 095-140-002 to form 095-130-014; another portion of -007 made 095-130-013; the final portion of -007 was used to make 095-130-012)."
129-280-12,
129-280-13,
090-134-046,
129-022-07,"New APNs: 129-091-01, -02, -03, -04 (housing units) and 129-091-05 (common area)--parcel was subdivided."
1318-10-310-010,"NOTE: Based on past TRPA approvals, parcel 1318-10-310-010 (possibly containing 4 legal lots of record) is considered a ""project area"". Lot line adjustment permit LLAD2016-0236 renumbered the parcel to 1318-10-310-082. Lot line adjustment permit ERSP2019-0324 resulted in the 4 parcels being renumbered 1318-10-310-090, -091, -092, & -093. All future projects on the resultant new APNs will be subject to the ""project area"" restrictions for coverage and development rights and will not be reviewed outside of those ""project area"" restrictions. Consult T. Avance at TRPA for more information."
123-032-13,New APN: 123-032-27 (a portion of 123-032-11 and all of 123-032-13 were combined to form 123-032-27; the remainder of 123-032-11 was combined with 123-032-12 to form 123-032-26).
1318-26-101-029,"New APNs: 1318-26-101-090 & 1318-26-101-091 (parcel was split).
"
1418-10-501-001,"Previous APN:  001-040-05
"
1418-15-201-001,
084-110-014,"New APNs: 084-110-020 & 084-110-021 (parcel was subdivided)
Previous APN: 084-110-002 (parcel -002 was combined with 084-110-009 and subsequently split into 084-110-014 and 084-110-017)."
084-172-005,Parcel is located in TRPA-defined shorezone.
084-191-001,"This parcel is part of a deed-restricted ""project area"" for the purpose of land coverage calculation that includes APNs 084-191-001, 084-121-001 & 084-010-007. All parcel area, land capability, existing coverage & development rights, and banked coverage & development rights for all parcels in the ""project area"" have been combined and are shown on APN 084-010-007."
090-071-034,New APN: 090-071-038 (APNs: 090-071-008 & 090-071-034 were merged)
112-060-017,
1319-19-212-078,New APNs: 1319-19-212-095 & 1319-19-212-096
1418-34-401-009,
090-222-051,Previous APN: 090-222-007 (Parcel was split and lot line was slightly adjusted with an adjacent parcel [now 090-222-060] to form 3 new APN's)
115-050-039,
117-180-038,"SEE 117-180-065 FOR LCC RESULTS OF COMBINED PARCELS 117-180-037 & 038.

Previous APN: 117-180-26 (parcel was split to form 117-180-037 & 117-180-038)"
026-300-001,"New APN: 026-300-002 (one combined parcel)
Previous APNs: parcels 026-043-06, 026-043-07, & 026-043-19 were combined to form 026-300-01 (common area) & 026-301-01, 026-301-02, 026-302-03, 026-302-04 & 026-303-05 (condo units)"
1318-10-310-033,New APN: 1318-10-310-078 (parcel was consolidated with 1318-10-310-036.)
090-123-006,
094-110-007,
1418-34-211-046,
027-122-004,
090-191-023,New APN: 090-191-053 (parcels 090-191-022 and 090-191-023 were merged to form a new APN).
093-034-004,
097-100-022,"NEW APN: 097-100-046--this new APN is not yet in the TRPA database.
Per TRPA Current Planning - Verified parcel size is the combination of parcels 097-100-021 & 022 for purposes of land coverage verification and LCV land classes."
