Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
015-370-30,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,015-370-11,kk_rename,NO,NEEDS_CHANGE_YEAR
015-370-30,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,015-370-11,kk_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,016-300-064,accela_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,016-300-59,kk_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,016-300-064,kk_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,016-300-064,accela_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,016-300-59,kk_rename,NO,NEEDS_CHANGE_YEAR
016-300-64,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,016-300-064,kk_rename,NO,NEEDS_CHANGE_YEAR
018-320-18,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,018-320-11,kk_rename,NO,NEEDS_CHANGE_YEAR
018-320-18,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,018-320-12,kk_rename,NO,NEEDS_CHANGE_YEAR
018-320-18,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,018-320-11,kk_rename,NO,NEEDS_CHANGE_YEAR
018-320-18,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,018-320-12,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,112-190-064,accela_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,112-190-064,accela_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
112-190-040,PARCEL_NEW,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,112-190-064,kk_rename,NO,NEEDS_CHANGE_YEAR
015-264-017,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,015-264-25,kk_rename,NO,NEEDS_CHANGE_YEAR
015-264-017,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,015-264-25,kk_rename,NO,NEEDS_CHANGE_YEAR
025-225-014,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,025-225-031,kk_rename,NO,NEEDS_CHANGE_YEAR
025-225-014,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,025-225-031,kk_rename,NO,NEEDS_CHANGE_YEAR
027-313-002,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,027-313-016,accela_rename,NO,NEEDS_CHANGE_YEAR
027-313-002,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,027-313-016,kk_rename,NO,NEEDS_CHANGE_YEAR
027-313-002,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,027-313-016,accela_rename,NO,NEEDS_CHANGE_YEAR
027-313-002,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,027-313-016,kk_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,028-301-068,accela_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,028-301-068,kk_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,028-301-068,kk_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,028-301-068,accela_rename,NO,NEEDS_CHANGE_YEAR
