Residential Allocation Number,Development Right Pool,Issuance Year,Type,Sequence,Allocation Status,Transaction,Pool,Previous Transaction(s),Receiving Parcel APN,Construction Status
DG-13-R-01,DG,2013,R,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-169,,Unallocated
DG-13-O-02,DG,2013,O,2,Allocated,DCNV-ALLOC-170,Residential Allocation - Douglas County,,1318-23-814-001,Not Completed
DG-13-R-03,DG,2013,R,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-171,,Unallocated
DG-13-O-04,DG,2013,O,4,Allocated,DCNV-ALLOC-172,Residential Allocation - Douglas County,,1418-10-802-004,Not Completed
DG-13-R-05,DG,2013,R,5,Allocated,DCNV-ALLOC-138,Residential Allocation - Douglas County,DCNV-ALLOC-173,1318-22-002-056,Completed
DG-13-R-06,DG,2013,R,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-174,,Unallocated
DG-13-R-07,DG,2013,R,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-175,,Unallocated
DG-13-R-08,DG,2013,R,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-176,,Unallocated
DG-14-O-01,DG,2014,O,1,Allocated,TRPA-ALLOC-757,Residential Allocation - Douglas County,,1319-18-310-038,Completed
DG-14-R-02,DG,2014,R,2,Allocated,DCNV-ALLOC-130,Residential Allocation - Douglas County,,1318-22-002-053,Completed
DG-14-R-03,DG,2014,R,3,Allocated,DCNV-ALLOC-131,Residential Allocation - Douglas County,,1318-22-002-054,Completed
DG-14-R-04,DG,2014,R,4,Allocated,DCNV-ALLOC-132,Residential Allocation - Douglas County,,1318-22-002-055,Completed
DG-14-O-05,DG,2014,O,5,Allocated,DCNV-ALLOC-135,Residential Allocation - Douglas County,,1418-10-802-007,Not Completed
DG-14-R-06,DG,2014,R,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,DCNV-ALLOC-133,,Unallocated
DG-14-O-07,DG,2014,O,7,Allocated,DCNV-ALLOC-134,Residential Allocation - Douglas County,,1418-15-701-010,Completed
DG-14-O-08,DG,2014,O,8,Allocated,DCNV-ALLOC-137,Residential Allocation - Douglas County,,1418-34-601-001,Not Completed
DG-14-R-09,DG,2014,R,9,Allocated,DCNV-ALLOC-1789,Residential Allocation - Douglas County,DCNV-ALLOC-129,1418-10-502-004,Completed
DG-15-O-01,DG,2015,O,1,Allocated,DCNV-ALLOC-2075,Residential Allocation - Douglas County,DCNV-ALLOC-831,1418-15-511-006,Not Completed
DG-15-O-02,DG,2015,O,2,Allocated,DCNV-ALLOC-748,Residential Allocation - Douglas County,,1318-23-301-001,Completed
DG-15-O-03,DG,2015,O,3,Allocated,DCNV-ALLOC-343,Residential Allocation - Douglas County,,1418-34-401-006,Completed
DG-15-O-04,DG,2015,O,4,Allocated,DCNV-ALLOC-749,Residential Allocation - Douglas County,,1318-23-301-001,Completed
DG-15-O-05,DG,2015,O,5,Allocated,DCNV-ALLOC-750,Residential Allocation - Douglas County,,1318-23-301-001,Completed
DG-15-O-06,DG,2015,O,6,Allocated,DCNV-ALLOC-857,Residential Allocation - Douglas County,,1418-11-110-015,Completed
DG-15-O-07,DG,2015,O,7,Allocated,DCNV-ALLOC-2028,Residential Allocation - Douglas County,DCNV-ALLOC-826,1418-15-511-026,Completed
DG-15-O-08,DG,2015,O,8,Allocated,DCNV-ALLOC-828,Residential Allocation - Douglas County,,1318-10-310-041,Completed
DG-15-O-09,DG,2015,O,9,Allocated,DCNV-ALLOC-896,Residential Allocation - Douglas County,,1418-15-110-021,Completed
DG-15-O-10,DG,2015,O,10,Allocated,DCNV-ALLOC-633,Residential Allocation - Douglas County,,1418-34-110-065,Completed
DG-16-O-01,DG,2016,O,1,Allocated,DCNV-ALLOC-2011,Residential Allocation - Douglas County,DCNV-ALLOC-1114,1318-23-814-009,Not Completed
DG-16-O-02,DG,2016,O,2,Allocated,DCNV-ALLOC-1152,Residential Allocation - Douglas County,,1318-23-610-037,Completed
DG-16-O-03,DG,2016,O,3,Allocated,DCNV-ALLOC-1241,Residential Allocation - Douglas County,,1318-23-810-017,Completed
DG-16-O-04,DG,2016,O,4,Allocated,DCNV-ALLOC-1254,Residential Allocation - Douglas County,,1418-11-110-004,Completed
DG-16-O-05,DG,2016,O,5,Allocated,DCNV-ALLOC-1256,Residential Allocation - Douglas County,,1418-34-112-006,Completed
DG-16-O-06,DG,2016,O,6,Allocated,DCNV-ALLOC-1268,Residential Allocation - Douglas County,,1318-26-102-001,Completed
DG-16-O-07,DG,2016,O,7,Allocated,DCNV-ALLOC-1449,Residential Allocation - Douglas County,,1318-16-810-022,Completed
DG-16-O-08,DG,2016,O,8,Allocated,DCNV-ALLOC-1858,Residential Allocation - Douglas County,,1418-34-401-014,Completed
DG-16-O-09,DG,2016,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-16-O-10,DG,2016,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-17-O-01,DG,2017,O,1,Allocated,DCNV-ALLOC-1828,Residential Allocation - Douglas County,,1418-34-401-004,Completed
DG-17-O-02,DG,2017,O,2,Allocated,DCNV-ALLOC-1857,Residential Allocation - Douglas County,,1418-27-210-037,Completed
DG-17-O-03,DG,2017,O,3,Allocated,DCNV-ALLOC-1870,Residential Allocation - Douglas County,,1418-27-210-035,Not Completed
DG-17-O-04,DG,2017,O,4,Allocated,DCNV-ALLOC-1873,Residential Allocation - Douglas County,,1318-10-310-066,Completed
DG-17-O-05,DG,2017,O,5,Allocated,DCNV-ALLOC-2370,Residential Allocation - Douglas County,,1418-34-110-047,Completed
DG-17-O-06,DG,2017,O,6,Allocated,DCNV-ALLOC-2281,Residential Allocation - Douglas County,,1318-23-810-061,Completed
DG-17-O-07,DG,2017,O,7,Allocated,DCNV-ALLOC-2285,Residential Allocation - Douglas County,,1418-34-111-040,Not Completed
DG-17-O-08,DG,2017,O,8,Allocated,DCNV-ALLOC-2371,Residential Allocation - Douglas County,,1318-15-611-059,Not Completed
DG-17-O-09,DG,2017,O,9,Allocated,DCNV-ALLOC-2410,Residential Allocation - Douglas County,,1318-23-201-002,Not Completed
DG-17-O-10,DG,2017,O,10,Allocated,DCNV-ALLOC-2635,Residential Allocation - Douglas County,,1318-23-212-071,Not Completed
DG-18-O-01,DG,2018,O,1,Allocated,DCNV-ALLOC-2415,Residential Allocation - Douglas County,,1318-23-212-068,Not Completed
DG-18-O-02,DG,2018,O,2,Allocated,DCNV-ALLOC-2534,Residential Allocation - Douglas County,,1318-23-811-002,Not Completed
DG-18-O-03,DG,2018,O,3,Allocated,DCNV-ALLOC-2627,Residential Allocation - Douglas County,,1318-10-417-054,Not Completed
DG-18-O-04,DG,2018,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-18-O-05,DG,2018,O,5,Allocated,DCNV-ALLOC-2937,Residential Allocation - Douglas County,,1418-15-511-023,Not Completed
DG-18-O-06,DG,2018,O,6,Allocated,DCNV-ALLOC-3034,Residential Allocation - Douglas County,,1418-03-801-001,Not Completed
DG-18-O-07,DG,2018,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-18-O-08,DG,2018,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-18-O-09,DG,2018,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-18-O-10,DG,2018,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-01,DG,2019,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-02,DG,2019,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-03,DG,2019,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-04,DG,2019,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-05,DG,2019,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-06,DG,2019,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-07,DG,2019,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-08,DG,2019,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-09,DG,2019,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-19-O-10,DG,2019,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-01,DG,2020,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-02,DG,2020,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-03,DG,2020,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-04,DG,2020,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-05,DG,2020,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-06,DG,2020,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-07,DG,2020,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-08,DG,2020,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-09,DG,2020,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-20-O-10,DG,2020,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-01,DG,2021,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-02,DG,2021,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-03,DG,2021,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-04,DG,2021,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-05,DG,2021,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-06,DG,2021,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-07,DG,2021,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-08,DG,2021,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-09,DG,2021,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-21-O-10,DG,2021,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-01,DG,2022,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-02,DG,2022,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-03,DG,2022,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-04,DG,2022,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-05,DG,2022,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-06,DG,2022,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-07,DG,2022,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-08,DG,2022,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-09,DG,2022,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-22-O-10,DG,2022,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-01,DG,2023,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-02,DG,2023,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-03,DG,2023,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-04,DG,2023,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-05,DG,2023,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-06,DG,2023,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-07,DG,2023,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-08,DG,2023,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-09,DG,2023,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-23-O-10,DG,2023,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-01,DG,2024,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-02,DG,2024,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-03,DG,2024,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-04,DG,2024,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-05,DG,2024,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-06,DG,2024,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-07,DG,2024,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-08,DG,2024,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-09,DG,2024,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-24-O-10,DG,2024,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-01,DG,2025,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-02,DG,2025,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-03,DG,2025,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-04,DG,2025,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-05,DG,2025,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-06,DG,2025,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-07,DG,2025,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-08,DG,2025,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-09,DG,2025,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-25-O-10,DG,2025,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-01,DG,2026,O,1,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-02,DG,2026,O,2,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-03,DG,2026,O,3,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-04,DG,2026,O,4,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-05,DG,2026,O,5,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-06,DG,2026,O,6,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-07,DG,2026,O,7,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-08,DG,2026,O,8,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-09,DG,2026,O,9,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
DG-26-O-10,DG,2026,O,10,Unallocated,Start Transaction,Residential Allocation - Douglas County,,,Unallocated
EL-13-O-01,EL,2013,O,1,Allocated,EDCCA-ALLOC-177,Residential Allocation - El Dorado County,,080-154-012,Completed
EL-13-O-02,EL,2013,O,2,Allocated,EDCCA-ALLOC-204,Residential Allocation - El Dorado County,,033-841-045,Completed
EL-13-O-03,EL,2013,O,3,Allocated,EDCCA-ALLOC-205,Residential Allocation - El Dorado County,,080-172-001,Completed
EL-13-O-04,EL,2013,O,4,Allocated,EDCCA-ALLOC-206,Residential Allocation - El Dorado County,,080-114-008,Completed
EL-13-O-05,EL,2013,O,5,Allocated,EDCCA-ALLOC-178,Residential Allocation - El Dorado County,,032-323-011,Completed
EL-13-O-06,EL,2013,O,6,Allocated,EDCCA-ALLOC-179,Residential Allocation - El Dorado County,,033-451-003,Completed
EL-13-O-07,EL,2013,O,7,Allocated,EDCCA-ALLOC-207,Residential Allocation - El Dorado County,,034-313-006,Completed
EL-13-O-08,EL,2013,O,8,Allocated,EDCCA-ALLOC-208,Residential Allocation - El Dorado County,,033-841-046,Completed
EL-13-O-09,EL,2013,O,9,Allocated,EDCCA-ALLOC-209,Residential Allocation - El Dorado County,,034-433-005,Completed
EL-13-O-10,EL,2013,O,10,Allocated,EDCCA-ALLOC-180,Residential Allocation - El Dorado County,,080-145-009,Completed
EL-13-O-11,EL,2013,O,11,Allocated,EDCCA-ALLOC-210,Residential Allocation - El Dorado County,,015-370-020,Completed
