APN,County,In_CSV,In_FC,FC_Years,FC_Has_Units,Padded_Variant,Padded_In_FC,Depadded_Variant,Depadded_In_FC,Pattern
007-011-01,CC,True,True,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",True,007-011-001,True,,False,OTHER
007-011-23,CC,True,True,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",True,007-011-023,True,,False,OTHER
015-032-26,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-032-026,True,,False,OTHER
015-032-29,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-032-029,True,,False,OTHER
015-111-03,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-111-003,True,,False,OTHER
015-112-13,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-112-013,True,,False,OTHER
015-162-24,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-162-024,True,,False,OTHER
015-201-25,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-201-025,True,,False,OTHER
015-211-23,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-211-023,True,,False,OTHER
015-213-26,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-213-026,True,,False,OTHER
015-251-29,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-251-029,True,,False,OTHER
015-302-35,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-302-035,True,,False,OTHER
015-302-38,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-302-038,True,,False,OTHER
015-314-30,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-314-030,True,,False,OTHER
015-315-16,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-315-016,True,,False,OTHER
015-322-28,EL,True,True,"[2014, 2015, 2016, 2017]",True,015-322-028,True,,False,OTHER
015-351-10,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-351-010,True,,False,OTHER
015-351-14,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-351-014,True,,False,OTHER
015-351-16,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,015-351-016,True,,False,OTHER
015-370-027,EL,True,True,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",True,,False,015-370-27,False,OTHER
016-091-65,EL,True,True,[2017],True,016-091-065,True,,False,OTHER
016-211-16,EL,True,True,"[2014, 2015, 2016, 2017]",True,016-211-016,True,,False,OTHER
016-211-17,EL,True,True,"[2014, 2015, 2016, 2017]",True,016-211-017,True,,False,OTHER
016-251-12,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,016-251-012,True,,False,OTHER
016-300-60,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,016-300-060,True,,False,OTHER
016-300-63,EL,True,True,"[2014, 2015, 2016, 2017]",True,016-300-063,True,,False,OTHER
016-332-42,EL,True,True,"[2014, 2015, 2016, 2017]",True,016-332-042,True,,False,OTHER
016-544-20,EL,True,True,"[2014, 2015, 2016, 2017]",True,016-544-020,True,,False,OTHER
017-021-28,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,017-021-028,True,,False,OTHER
017-021-31,EL,True,True,"[2014, 2015, 2016, 2017]",True,017-021-031,True,,False,OTHER
017-041-34,EL,True,True,"[2015, 2016, 2017]",True,017-041-034,True,,False,OTHER
018-300-23,EL,True,True,"[2014, 2015, 2016, 2017]",True,018-300-023,True,,False,OTHER
018-320-13,EL,True,True,"[2014, 2015, 2016, 2017]",True,018-320-013,True,,False,OTHER
021-031-32,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,021-031-032,True,,False,OTHER
021-031-34,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,021-031-034,True,,False,OTHER
021-201-16,EL,True,True,"[2014, 2015, 2016, 2017]",True,021-201-016,True,,False,OTHER
021-241-07,EL,True,True,"[2014, 2015, 2016, 2017]",True,021-241-007,True,,False,OTHER
021-321-32,EL,True,True,"[2015, 2016, 2017]",True,021-321-032,True,,False,OTHER
021-331-17,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,021-331-017,True,,False,OTHER
021-331-23,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,021-331-023,True,,False,OTHER
021-381-09,EL,True,True,"[2013, 2014, 2015, 2016, 2017]",True,021-381-009,True,,False,OTHER
