AccountID,AccountScope,CommodityPoolID,JurisdictionID,JurisdictionAbbrev,CommodityID,CommodityShortName,BucketType,MaxCapacity
1,jurisdiction,,1.0,SLT,1,CFA,Existing,
2,jurisdiction,,1.0,SLT,1,CFA,Banked,
3,jurisdiction,,1.0,SLT,1,CFA,Allocated,
4,jurisdiction,,1.0,SLT,2,Hard Cover.,Existing,
5,jurisdiction,,1.0,SLT,2,Hard Cover.,Banked,
6,jurisdiction,,1.0,SLT,2,Hard Cover.,Allocated,
7,jurisdiction,,1.0,SLT,3,Soft Cover.,Existing,
8,jurisdiction,,1.0,SLT,3,Soft Cover.,Banked,
9,jurisdiction,,1.0,SLT,3,Soft Cover.,Allocated,
10,jurisdiction,,1.0,SLT,4,Pot. Cover.,Existing,
11,jurisdiction,,1.0,SLT,4,Pot. Cover.,Banked,
12,jurisdiction,,1.0,SLT,4,Pot. Cover.,Allocated,
13,jurisdiction,,1.0,SLT,5,SFRUU,Existing,
14,jurisdiction,,1.0,SLT,5,SFRUU,Banked,
15,jurisdiction,,1.0,SLT,5,SFRUU,Allocated,
16,jurisdiction,,1.0,SLT,6,PAOT,Existing,
17,jurisdiction,,1.0,SLT,6,PAOT,Banked,
18,jurisdiction,,1.0,SLT,6,PAOT,Allocated,
19,jurisdiction,,1.0,SLT,7,PRUU,Existing,
20,jurisdiction,,1.0,SLT,7,PRUU,Banked,
21,jurisdiction,,1.0,SLT,7,PRUU,Allocated,
22,jurisdiction,,1.0,SLT,8,Res. Alloc.,Existing,
23,jurisdiction,,1.0,SLT,8,Res. Alloc.,Banked,
24,jurisdiction,,1.0,SLT,8,Res. Alloc.,Allocated,
25,jurisdiction,,1.0,SLT,9,RBU,Existing,
26,jurisdiction,,1.0,SLT,9,RBU,Banked,
27,jurisdiction,,1.0,SLT,9,RBU,Allocated,
28,jurisdiction,,1.0,SLT,10,Rest. Cred.,Existing,
29,jurisdiction,,1.0,SLT,10,Rest. Cred.,Banked,
30,jurisdiction,,1.0,SLT,10,Rest. Cred.,Allocated,
31,jurisdiction,,1.0,SLT,11,TAU,Existing,
32,jurisdiction,,1.0,SLT,11,TAU,Banked,
33,jurisdiction,,1.0,SLT,11,TAU,Allocated,
34,jurisdiction,,1.0,SLT,12,RFA,Existing,
35,jurisdiction,,1.0,SLT,12,RFA,Banked,
36,jurisdiction,,1.0,SLT,12,RFA,Allocated,
37,jurisdiction,,1.0,SLT,13,TFA,Existing,
38,jurisdiction,,1.0,SLT,13,TFA,Banked,
39,jurisdiction,,1.0,SLT,13,TFA,Allocated,
40,jurisdiction,,1.0,SLT,14,MFRUU,Existing,
41,jurisdiction,,1.0,SLT,14,MFRUU,Banked,
42,jurisdiction,,1.0,SLT,14,MFRUU,Allocated,
43,jurisdiction,,1.0,SLT,15,Moor. Alloc.,Existing,
44,jurisdiction,,1.0,SLT,15,Moor. Alloc.,Banked,
45,jurisdiction,,1.0,SLT,15,Moor. Alloc.,Allocated,
46,jurisdiction,,1.0,SLT,16,Pier Alloc.,Existing,
47,jurisdiction,,1.0,SLT,16,Pier Alloc.,Banked,
48,jurisdiction,,1.0,SLT,16,Pier Alloc.,Allocated,
49,jurisdiction,,1.0,SLT,17,SZ Structure,Existing,
50,jurisdiction,,1.0,SLT,17,SZ Structure,Banked,
51,jurisdiction,,1.0,SLT,17,SZ Structure,Allocated,
52,jurisdiction,,2.0,DG,1,CFA,Existing,
53,jurisdiction,,2.0,DG,1,CFA,Banked,
54,jurisdiction,,2.0,DG,1,CFA,Allocated,
55,jurisdiction,,2.0,DG,2,Hard Cover.,Existing,
56,jurisdiction,,2.0,DG,2,Hard Cover.,Banked,
57,jurisdiction,,2.0,DG,2,Hard Cover.,Allocated,
58,jurisdiction,,2.0,DG,3,Soft Cover.,Existing,
59,jurisdiction,,2.0,DG,3,Soft Cover.,Banked,
60,jurisdiction,,2.0,DG,3,Soft Cover.,Allocated,
61,jurisdiction,,2.0,DG,4,Pot. Cover.,Existing,
62,jurisdiction,,2.0,DG,4,Pot. Cover.,Banked,
63,jurisdiction,,2.0,DG,4,Pot. Cover.,Allocated,
64,jurisdiction,,2.0,DG,5,SFRUU,Existing,
