EntryID,EventID,EntryDate,Year,JurisdictionAbbrev,CommodityPoolID,CommodityShortName,BucketType,Quantity,MovementType,ParcelNumber,SourceSystem,SourceID,Notes
1,1126,2004-07-09,2004.0,,,Pot. Cover.,Banked,-3768.0,LBT,,corral_tdr,corral_tdr:1126,LandBankID=3
2,1126,2004-07-09,2004.0,WA,,Pot. Cover.,Existing,3768.0,LBT,125-211-06,corral_tdr,corral_tdr:1126,
3,1127,2004-07-09,2004.0,,,Pot. Cover.,Banked,-96.0,LBT,,corral_tdr,corral_tdr:1127,LandBankID=3
4,1127,2004-07-09,2004.0,WA,,Pot. Cover.,Existing,96.0,LBT,125-211-07,corral_tdr,corral_tdr:1127,
5,1125,2004-08-31,2004.0,,,Pot. Cover.,Banked,-1891.0,LBT,,corral_tdr,corral_tdr:1125,LandBankID=3
6,1125,2004-08-31,2004.0,WA,,Pot. Cover.,Existing,1891.0,LBT,126-470-08,corral_tdr,corral_tdr:1125,
7,1123,2004-09-01,2004.0,WA,,Pot. Cover.,Existing,-10000.0,LBA,125-030-06,corral_tdr,corral_tdr:1123,
8,1123,2004-09-01,2004.0,,,Pot. Cover.,Banked,10000.0,LBA,,corral_tdr,corral_tdr:1123,LandBankID=3
9,1124,2004-09-07,2004.0,,,Pot. Cover.,Banked,-1439.0,LBT,,corral_tdr,corral_tdr:1124,LandBankID=3
10,1124,2004-09-07,2004.0,WA,,Pot. Cover.,Existing,1439.0,LBT,125-221-08,corral_tdr,corral_tdr:1124,
11,1128,2004-11-02,2004.0,,,Pot. Cover.,Banked,-1729.0,LBT,,corral_tdr,corral_tdr:1128,LandBankID=3
12,1128,2004-11-02,2004.0,WA,,Pot. Cover.,Existing,1729.0,LBT,125-562-09,corral_tdr,corral_tdr:1128,
13,1129,2005-03-28,2005.0,WA,,Pot. Cover.,Existing,-10000.0,LBA,125-030-06,corral_tdr,corral_tdr:1129,
14,1129,2005-03-28,2005.0,,,Pot. Cover.,Banked,10000.0,LBA,,corral_tdr,corral_tdr:1129,LandBankID=3
15,1130,2005-06-08,2005.0,,,Pot. Cover.,Banked,-1077.0,LBT,,corral_tdr,corral_tdr:1130,LandBankID=3
16,1130,2005-06-08,2005.0,WA,,Pot. Cover.,Existing,1077.0,LBT,122-125-05,corral_tdr,corral_tdr:1130,
17,1131,2005-06-08,2005.0,,,Pot. Cover.,Banked,-1539.0,LBT,,corral_tdr,corral_tdr:1131,LandBankID=3
18,1131,2005-06-08,2005.0,WA,,Pot. Cover.,Existing,1539.0,LBT,122-125-05,corral_tdr,corral_tdr:1131,
19,1153,2006-01-01,2006.0,WA,,Soft Cover.,Existing,-32920.0,LBA,048-041-15,corral_tdr,corral_tdr:1153,
20,1153,2006-01-01,2006.0,,,Soft Cover.,Banked,32920.0,LBA,,corral_tdr,corral_tdr:1153,LandBankID=3
21,1222,2006-01-01,2006.0,DG,,Soft Cover.,Existing,-21716.0,LBA,1318-15-703-004,corral_tdr,corral_tdr:1222,
22,1222,2006-01-01,2006.0,,,Soft Cover.,Banked,21716.0,LBA,,corral_tdr,corral_tdr:1222,LandBankID=3
23,1154,2006-05-26,2006.0,,,Soft Cover.,Banked,-60.0,LBT,,corral_tdr,corral_tdr:1154,LandBankID=3
24,1154,2006-05-26,2006.0,WA,,Soft Cover.,Existing,60.0,LBT,125-511-20,corral_tdr,corral_tdr:1154,
