Year,CommodityPoolID,CommodityShortName,ALLOC
2010,14,CFA,-2997.0
2010,71,Res. Alloc.,-2.0
2011,70,Res. Alloc.,-1.0
2012,69,Res. Alloc.,-1.0
2012,70,Res. Alloc.,-3.0
2012,71,Res. Alloc.,-19.0
2012,72,Res. Alloc.,-1.0
2013,11,CFA,-2500.0
2013,14,CFA,-4375.0
2013,20,CFA,-5000.0
2013,69,Res. Alloc.,-6.0
2013,70,Res. Alloc.,-4.0
2013,71,Res. Alloc.,-27.0
2013,72,Res. Alloc.,-1.0
2014,11,CFA,-255.0
2014,19,CFA,-2730.0
2014,26,PAOT,-60.0
2014,69,Res. Alloc.,-18.0
2014,70,Res. Alloc.,-16.0
2014,71,Res. Alloc.,-48.0
2014,105,TAU,-50.0
2015,20,CFA,-8662.0
2015,69,Res. Alloc.,-25.0
2015,70,Res. Alloc.,-4.0
2015,71,Res. Alloc.,-27.0
2015,72,Res. Alloc.,-14.0
2015,106,CFA,-3847.0
2015,107,CFA,-2767.0
2016,1,CFA,-970.0
2016,17,CFA,-600.0
2016,22,CFA,-15000.0
2016,54,PAOT,-168.0
2016,69,Res. Alloc.,-5.0
2016,70,Res. Alloc.,-4.0
2016,71,Res. Alloc.,-18.0
2016,72,Res. Alloc.,-7.0
2016,106,CFA,-4689.0
2016,110,CFA,-4689.0
2017,69,Res. Alloc.,-15.0
2017,70,Res. Alloc.,-4.0
2017,71,Res. Alloc.,-61.0
2017,72,Res. Alloc.,-18.0
2017,73,Res. Alloc.,-7.0
2017,85,RBU,-1.0
2018,22,CFA,-1386.0
2018,69,Res. Alloc.,-23.0
2018,70,Res. Alloc.,-7.0
2018,71,Res. Alloc.,-61.0
2018,72,Res. Alloc.,-21.0
2018,73,Res. Alloc.,-9.0
2018,75,RBU,-8.0
2019,26,PAOT,-32.0
2019,69,Res. Alloc.,-3.0
2019,70,Res. Alloc.,-3.0
2019,71,Res. Alloc.,-3.0
2019,72,Res. Alloc.,-7.0
2019,73,Res. Alloc.,-11.0
2019,84,RBU,-1.0
2019,105,TAU,-48.0
2019,119,RBU,-1.0
2020,1,CFA,-1124.0
2020,69,Res. Alloc.,-16.0
2020,70,Res. Alloc.,-2.0
2020,71,Res. Alloc.,-40.0
2020,72,Res. Alloc.,-13.0
2020,85,RBU,-3.0
2020,120,RBU,-2.0
2021,69,Res. Alloc.,-28.0
2021,70,Res. Alloc.,-1.0
2021,71,Res. Alloc.,-3.0
2021,72,Res. Alloc.,-9.0
2021,73,Res. Alloc.,-5.0
2021,85,RBU,-4.0
2021,118,RBU,-40.0
2021,119,RBU,-178.0
2021,120,RBU,-1.0
2021,129,Res. Alloc.,-4.0
2021,130,Res. Alloc.,-2.0
2021,132,CFA,-2974.0
2022,14,CFA,-418.0
2022,22,CFA,-3941.0
2022,69,Res. Alloc.,-3.0
2022,70,Res. Alloc.,-4.0
2022,71,Res. Alloc.,-5.0
2022,72,Res. Alloc.,-1.0
2022,73,Res. Alloc.,-1.0
2022,76,RBU,-4.0
2022,118,RBU,-30.0
2022,120,RBU,-4.0
2022,129,Res. Alloc.,-4.0
2022,130,Res. Alloc.,-2.0
2023,21,CFA,-1038.0
2023,70,Res. Alloc.,-2.0
2023,72,Res. Alloc.,-1.0
2023,73,Res. Alloc.,-1.0
2023,83,RBU,-20.0
2023,85,RBU,-70.0
2023,120,RBU,-6.0
2023,129,Res. Alloc.,-1.0
2024,107,CFA,-1972.0
2024,120,RBU,-1.0
