CSLT_PermitType,Reporting_Category
SFD New,Residential Projects
SFD Alter,Residential Projects
SFD Add,Residential Projects
SFD Repair,Residential Projects
MFD New,Residential Projects
SFD REPAIR,Not Reported
REROOF RES,Residential Projects
SFD ADD,Residential Projects
SFD NEW,Residential Projects
MECH,Not Reported
ENCROACH,Not Reported
COMM ALTER,Commercial Projects
REROOF COM,Not Reported
ELEC/PLUMB,Not Reported
GARAGE RES,Residential Projects
ELECTRICAL,Not Reported
REDEVELOP,Not Reported
MFD ALTER,Residential Projects
MFD NEW,Residential Projects
FAU,Not Reported
FIREPLACE,Not Reported
ENC NEW,Not Reported
PLUMB/MECH,Not Reported
COMM RPR,Commercial Projects
ENC R & R,Not Reported
REDEV ALTE,Not Reported
SFD ALTER,Residential Projects
RED SPRINK,Not Reported
PLUMBING,Not Reported
DECK/STAIR,Not Reported
SIGN,Not Reported
WTR HTR,Not Reported
DEMO RES,Residential Projects
TRPA ONLY,
MFD REPAIR,Residential Projects
SPRINKLERS,Not Reported
FIRE ALARM,Not Reported
REVISION,Not Reported
RED SIGN,Not Reported
DEMO COMM,Commercial Projects
RED FIRE A,Not Reported
RED REV,Not Reported
COMM NEW,Commercial Projects
TEMP POWER,Not Reported
P-FENRES,Not Reported
P-SGNSTF,Not Reported
COMM ADD,Commercial Projects
MFD ADD,Residential Projects
SIDESTUCCO,Not Reported
P-TMPACT,Not Reported
GRADING,Grading Projects
ENC EXIST,Not Reported
RED T PWR,Not Reported
FNDTN COM,Not Reported
ELEC/MECH,Not Reported
FNDTN RES,Not Reported
TOWERS,Not Reported
MISC STRUC,Not Reported
SPRNKLRC,Not Reported
SPRNKLRR,Not Reported
LPG,Not Reported
ANSULSYSTM,Not Reported
WALL HTR,Not Reported
P-FENCOM,Not Reported
DEFER SUB,Not Reported
WINDOW,Not Reported
FIREDSPA,Not Reported
SOLAR,Not Reported
GENERATOR,Not Reported
EVCS,Not Reported
ADU,Residential Projects
SFD REMOD,Residential Projects
WTR HTR CO,Not Reported
Condo Alte,Commercial Projects
Comm Add,Commercial Projects
Comm New,Commercial Projects
Sprinkler,Not Reported
Plumbing,Not Reported
Redevelopm,Not Reported
Reroof Res,Not Reported
FAU Change,Not Reported
Comm Alter,Commercial Projects
MFD Alter,Residential Projects
Public New,Recreation/Public Service Projects
Comm Repai,Commercial Projects
TempPow,Not Reported
Res Garage,Residential Projects
DeckStairs,Not Reported
Electrical,Not Reported
PubSprink,Not Reported
Public Alt,Recreation/Public Service Projects
Wtr Htr,Not Reported
MFD Repair,Residential Projects
Fire Alarm,Not Reported
RdevFire,Not Reported
RdevSprink,Not Reported
RdevTElec,Not Reported
Fireplace,Not Reported
PubFireNF,Not Reported
Demo Comm,Commercial Projects
Mechanical,Not Reported
Demo Res,Residential Projects
PlumbMech,Not Reported
PubDemoNF,Not Reported
PubAltNF,Not Reported
Grading,Grading Projects
RDEVDEMO,Not Reported
ElecPlumb,Not Reported
PubRprNF,Not Reported
Reroof Com,Not Reported
RDEVALTER,Not Reported
RdevGrad,Grading Projects
Public Ele,Not Reported
EncrOnly,Not Reported
Revision,Not Reported
